Index,Date,DOY,Time,VPD,PAR,HCOS1,HCON1,HCON2,HCIS9,HCON3,HCOS4,HCON5,HCOS6,HCON6,HCOS7,HCON8,HCOS8,HCIN8,HCON9,HCOS2,HCON4,LOON10,LOOS10,LOIN10,LOIS10,LOON11,LOOS11,LOON17,LOOS17,LOON15,LOOS15,LOON14,LOOS14,LOON12,LOOS12,LOON16,LOON13
1,11/1/2017,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11/1/2017,305,15,0,0,0,0,0,0,0.00030727,0,0,0,0,0,0,0,0,0,0,0.0001027,0,0,0,0,0.00050964,0,0,0,0,0,0.00070429,0,0,0.0062913,0,7.41E-06
3,11/1/2017,305,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020539,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012229,0,1.48E-05
4,11/1/2017,305,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012744,0,0
5,11/1/2017,305,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015558,0,0
6,11/1/2017,305,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013781,0,0
7,11/1/2017,305,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012004,0,0
8,11/1/2017,305,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012522,0,0
9,11/1/2017,305,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008907,0,0
10,11/1/2017,305,215,-1.11E-16,0,0,0,0,0.00014797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42E-05,0,0,0,0,0,0,0,0,0,0.011718,0,0
11,11/1/2017,305,230,0,0,0,0,0,0.0028235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027694,0,0,0,0,0,0,0,0,0,0.014554,0,0
12,11/1/2017,305,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029032,0,0,0,0,0,0.0039927,0,0,0,0.026382,0,0
13,11/1/2017,305,300,0,0,0,0,0,0.0036879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024592,0,0.0035598,0,0,0,0,0,0,0,0.024089,0,0
14,11/1/2017,305,315,1.11E-16,0,0,0,0,0.0048718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0050542,0,7.76E-05,0,0,0,0,0,0,0,0.022746,0,0
15,11/1/2017,305,330,0,0,0,0,0,0.015013,0,0,0,0,0,6.73E-06,0,0,0,0,0,0,0,0,0,0.0048986,0,0.0051891,0,0,0,0.0028727,0,0,0,0.020928,0,0
16,11/1/2017,305,345,1.11E-16,0,0,0,0,0.022925,0,0,0,0,0,2.02E-05,0,0,0,0,0,0,0,0,0,0.0047431,0,0,0,0,0,0.0057853,0,0,0,0.019109,0,0
17,11/1/2017,305,400,-1.11E-16,0,0,0,0,0.02328,0,0,0,0,0,3.36E-05,0,0,0,0,0,0,0,0,0,0.0044426,0,0,0,0,0,0.0070593,0,0,0,0.017291,0,0
18,11/1/2017,305,415,-1.11E-16,0,0,0,0,0.02746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044321,0,0,0,0,0,0.0088883,0,0,0,0.015473,0,0
19,11/1/2017,305,430,0,0,0,0,0,0.031144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041316,0,0,0,0,0,0,0,0,0,0.013655,0,0
