Index,Date,DOY,Time,VPD,PAR,HCOS1,HCON1,HCON2,HCIS9,HCON3,HCOS4,HCON5,HCOS6,HCON6,HCOS7,HCON8,HCOS8,HCIN8,HCON9,HCOS2,HCON4,LOON10,LOOS10,LOIN10,LOIS10,LOON11,LOOS11,LOON17,LOOS17,LOON15,LOOS15,LOON14,LOOS14,LOON12,LOOS12,LOON16,LOON13
1,6/1/2017,152,645,0,88.5,0,0.0035935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6/1/2017,152,700,-2.22E-16,147.6,0.0015286,0.0074146,0.00086612,0,0.00050545,0,0.0031966,0.00036772,4.66E-05,0,0.0022449,0,0.0038791,0.00014848,0.0039589,8.48E-06,.,0.0019277,0.0029062,0,0.00032632,0.0024081,0.0010548,0.0059449,0,0,0.0040632,0.0035685,0.007373,0.0002306,0,0.0031088
3,6/1/2017,152,715,0,231.6,0.0038115,0.015034,0.0046112,0,0.00054837,0.00067706,0.0070354,0.0043733,0,0,0.0044983,8.82E-05,0.0044709,0.00011913,0.01097,0.0001814,.,0.0036913,0.0081195,0,0.0057415,0.0025515,0.0072938,0.01076,0,0,0.0067712,0.0052582,0.020824,0,4.88E-06,0.0052431
4,6/1/2017,152,730,0,304.2,0.0038484,0.02421,0.0092562,0,0.00089992,0.00014511,0.011531,0.010068,0,0,0.0073924,0.00065787,0.0085571,0.00026758,0.01453,0.00035432,.,0.003921,0.01571,0,0.0082223,0.0026949,0.010161,0.021885,0,0,0.013689,0.011828,0.032586,0,8.63E-05,0.0053978
5,6/1/2017,152,745,0,385.9,0.0056896,0.035681,0.01512,0,0.0048171,0,0.019244,0.018258,0,0,0.013332,0.00092736,0.012498,0.00059392,0.022827,0.0010211,.,0.0043215,0.027044,0,0.015066,0.0028383,0.01784,0.037029,0,0,0.022127,0.019369,0.054256,0,0.003018,0.0065456
6,6/1/2017,152,800,0,471.5,0.0087483,0.047241,0.022094,0,0.0079813,0,0.026751,0.024107,0,0,0.018044,0.0013473,0.014159,0.0007424,0.030427,0.0016885,.,0,0.040781,0,0.020813,0.0098425,0.025804,0.048925,0,0,0.033434,0.026841,0.079083,0,0.0054876,0.013306
7,6/1/2017,152,815,0,538.8,0.012435,0.065272,0.030072,0,0.0088079,0.0010817,0.036506,0.030022,0,0,0.022471,0.0041818,0.021185,0.010776,0.041681,0.0060015,.,0,0.060679,0,0.027829,0.010645,0.033892,0.061474,0,0,0.045364,0.03497,0.11245,0,0.0086108,0.016089
8,6/1/2017,152,830,0,627.3,0.017227,0.080528,0.036635,0.0077705,0.0088512,0,0.047287,0.038141,0,0,0.029072,0.0047554,0.023593,0.044111,0.047673,0.0070076,.,0,0.081654,0,0.036517,0.0048941,0.041411,0.073166,0.015868,0,0.061596,0.042483,0.16016,0,0.0083718,0.016448
9,6/1/2017,152,845,0,727.1,0.02581,0.10381,0.042504,0.030747,0.0088944,0,0.058464,0.048171,0,0,0.032592,0.0074559,0.024745,0.1119,0.059475,0.0068484,.,0,0.10997,0,0.050368,0.012254,0.046048,0.093271,0.036523,0,0.11764,0.074969,0.23221,0,0.0087749,0.018431
10,6/1/2017,152,900,0,841,0.056177,0.15318,0.056984,0.053826,0.012557,0.0045646,0.082853,0.080296,0,0,0.047954,0.025234,0.03246,0.2077,0.077843,0.011203,.,0.026069,0.17553,4.43E-05,0.10588,0.061598,0.069829,0.15156,0.084805,0,0.22176,0.14154,0.33058,0,0.017768,0.029903
11,6/1/2017,152,915,0,949,0.10359,0.22616,0.10016,0.10777,0.019919,0.038633,0.12522,0.16463,0.019912,0.013097,0.086956,0.070101,0.044027,0.335,0.1136,0.049908,.,0.10785,0.27529,0.06623,0.2107,0.1937,0.11566,0.26035,0.2042,0.0099817,0.32981,0.21865,0.51614,0,0.065773,0.083688
12,6/1/2017,152,930,0,1014,0.1888,0.32921,0.16707,0.16609,0.030813,0.11722,0.18896,0.26696,0.070711,0.088364,0.16491,0.14147,0.067286,0.43594,0.19069,0.14353,.,0.24507,0.37068,0.12112,0.32591,0.41426,0.17459,0.37292,0.35406,0.078971,0.44833,0.32583,0.70666,0,0.16029,0.26035
13,6/1/2017,152,945,0.20055,1064,0.26927,0.41904,0.22202,0.18203,0.044624,0.186,0.25525,0.36566,0.12281,0.15103,0.23819,0.21521,0.11056,0.48147,0.2651,0.21658,.,0.38474,0.44926,0.16425,0.42086,0.72887,0.26445,0.48765,0.47202,0.17502,0.51282,0.41469,0.86125,0.069368,0.26153,0.41235
14,6/1/2017,152,1000,0.42532,1129,0.31581,0.45777,0.28639,0.21267,0.093402,0.25527,0.30802,0.46299,0.1828,0.19243,0.302,0.25893,0.15358,0.55702,0.35967,0.28504,.,0.49913,0.47541,0.20131,0.50049,0.97566,0.36499,0.59679,0.61993,0.31171,0.56806,0.48441,0.94314,0.20044,0.37134,0.54612
15,6/1/2017,152,1015,0.68746,1192,0.36395,0.499,0.34254,0.22808,0.17646,0.30994,0.34791,0.51447,0.22953,0.24168,0.35679,0.30589,0.18705,0.62834,0.44436,0.34779,.,0.52773,0.47605,0.23097,0.56283,1.0626,0.43579,0.72271,0.68715,0.41679,0.63793,0.53396,1.0757,0.28793,0.42349,0.65359
16,6/1/2017,152,1030,0.94793,1236,0.38681,0.53575,0.37246,0.23332,0.22213,0.32349,0.36814,0.54303,0.25723,0.27698,0.40096,0.34446,0.20679,0.6544,0.49092,0.37602,.,0.53243,0.4825,0.23448,0.58917,1.0851,0.45772,0.83622,0.68564,0.41266,0.68329,0.55906,1.2182,0.2992,0.43132,0.6956
17,6/1/2017,152,1045,1.2871,1304,0.38458,0.52696,0.38651,0.23834,0.22773,0.33959,0.38632,0.57894,0.284,0.297,0.42062,0.36246,0.22383,0.66539,0.49363,0.37657,.,0.57269,0.49105,0.24779,0.60371,1.0798,0.48881,0.84538,0.69911,0.34873,0.72764,0.58584,1.2634,0.27773,0.45075,0.71986
18,6/1/2017,152,1100,1.4887,1352,0.39788,0.53284,0.39361,0.25305,0.23549,0.35231,0.40439,0.59836,0.29996,0.30777,0.43986,0.37582,0.23008,0.66761,0.49636,0.38872,.,0.53831,0.49911,0.24963,0.61215,1.0815,0.54496,0.8674,0.71275,0.38794,0.75211,0.61223,1.3345,0.33856,0.47175,0.70689
19,6/1/2017,152,1115,1.6785,1428,0.42885,0.55338,0.40697,0.2681,0.24693,0.36498,0.41829,0.61874,0.30399,0.31049,0.45337,0.37883,0.22032,0.66,0.5287,0.39723,.,0.53667,0.50875,0.24689,0.62929,1.123,0.56133,0.92593,0.73215,0.4491,0.78431,0.64501,1.3784,0.37423,0.48219,0.65246
20,6/1/2017,152,1130,1.6412,1459,0.4571,0.54913,0.42144,0.27368,0.25591,0.3833,0.4353,0.64792,0.31581,0.32406,0.4833,0.385,0.21603,0.66221,0.54889,0.40812,.,0.65697,0.5302,0.24803,0.65167,1.1738,0.59376,0.96598,0.73442,0.47889,0.83765,0.67963,1.4291,0.43124,0.50303,0.7335
21,6/1/2017,152,1145,1.9768,1490,0.46191,0.5504,0.43152,0.28467,0.25864,0.39471,0.43768,0.65018,0.31877,0.32397,0.49484,0.38258,0.21152,0.66737,0.54621,0.4113,.,0.6381,0.53711,0.24337,0.65837,1.1309,0.61368,0.95383,0.74288,0.49749,0.85471,0.67986,1.5031,0.43696,0.50887,0.86004
22,6/1/2017,152,1200,1.9797,1507,0.45029,0.58395,0.4382,0.29498,0.25991,0.40944,0.43563,0.65394,0.31275,0.31164,0.50515,0.38132,0.21232,0.6686,0.55137,0.41317,.,0.60129,0.53747,0.2431,0.64945,1.0995,0.62179,0.95583,0.75825,0.53511,0.84559,0.67865,1.5523,0.42922,0.51223,0.88992
23,6/1/2017,152,1215,2.2086,1536,0.44816,0.62499,0.44463,0.29558,0.28897,0.40396,0.4267,0.65969,0.2997,0.29761,0.50289,0.37522,0.21286,0.6654,0.57292,0.4027,.,0.6393,0.54034,0.24073,0.6393,1.1041,0.61565,0.97991,0.73451,0.5244,0.84059,0.67505,1.5977,0.41455,0.52398,0.87426
