Index,Date,DOY,Time,VPD,PAR,LAON1,LAOS1,LAIN1,LAIS1,LAON2,LAOS2,LAON3,LAON4,LAOS4,LAON5,LAON6,LAOS6,LAON7,LAON8,LAOS8,LAON9,LB0N10,LBOS10,LBIN10,LBIS10,LBON11,LBOS11,LBON12,LBOS12,LBON13,LBON14,LBOS14,LBON15,LBON16,LBOS16,LBON17,LBOS17
1,6/1/2017,152,645,0,88.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,.,0,0,0,0,0,0,0,0,0,0,.,0
2,6/1/2017,152,700,-2.22E-16,147.6,0.0016294,0.0029952,0.001749,0.0053349,0.0025404,0.00090042,6.02E-05,0,0.0060398,0.0080086,0.0014361,0.0038701,0,0.0038854,6.82E-05,0.0052773,0.006321,.,0,.,0,5.94E-05,0.00016881,0.0019375,0.0050585,0.0019059,0,0.0021966,0.0011746,8.79E-05,.,3.73E-05
3,6/1/2017,152,715,0,231.6,0.0055732,0.0031808,0.0048921,0.0063869,0.011466,0.0059189,0.0012457,0.00061668,0.0096159,0.016899,0.0017149,0.0084517,0,0.0077997,0.0015238,0.012944,0.0066079,.,0,.,0,0.0047856,0.00033763,0.0038821,0.01558,0.0090494,0,0.0087168,0.0014784,0.0023976,.,0.0023621
4,6/1/2017,152,730,0,304.2,0.009759,0.0068505,0.0086904,0.0063923,0.017826,0.0091534,0.0092547,0.0014843,0.0049398,0.025479,0.0018004,0.010844,0,0.0090983,0.0081182,0.014821,0.0068947,.,0,.,0,0.0082521,0.00050644,0.0040174,0.025065,0.016146,0,0.014984,0.003356,0.0090379,.,0.0077784
5,6/1/2017,152,745,0,385.9,0.015693,0.013196,0.014058,0.012193,0.027948,0.015431,0.01161,0.0047602,0.016465,0.035142,0.001886,0.017221,0,0.016672,0.009283,0.024423,0.0071816,.,0,.,0,0.011578,0.002463,0.0049777,0.041323,0.025357,0,0.02304,0.010364,0.011039,.,0.0097511
6,6/1/2017,152,800,0,471.5,0.021694,0.014715,0.021176,0.013658,0.04032,0.021958,0.020018,0.0090283,0.019,0.046584,0.0019715,0.024382,0,0.022227,0.015979,0.029352,0.0074684,.,0,.,0,0.016744,0.0090236,0.0095914,0.058668,0.039663,0,0.033493,0.012986,0.01797,.,0.014268
7,6/1/2017,152,815,0,538.8,0.027326,0.020936,0.028789,0.019811,0.050572,0.028913,0.025722,0.012187,0.0099078,0.061237,0.00051248,0.028976,0,0.029407,0.019395,0.037999,0.0084314,.,0,.,0,0.019459,0.010846,0.012568,0.077973,0.055364,0,0.045948,0.019946,0.02285,.,0.019813
8,6/1/2017,152,830,0,627.3,0.031467,0.025191,0.03975,0.025632,0.070296,0.040363,0.041141,0.024976,0.019319,0.084674,0.0013697,0.036664,0,0.040075,0.027847,0.054653,0.018283,.,0.00041775,.,0,0.025714,0.018688,0.013879,0.11252,0.079579,0,0.067401,0.029389,0.032297,.,0.025618
9,6/1/2017,152,845,0,727.1,0.030979,0.03315,0.060142,0.032346,0.084909,0.053698,0.073082,0.030424,0.035645,0.10146,0.0065012,0.04685,0,0.048722,0.037763,0.060193,0.03079,.,0.018391,.,0,0.031534,0.027505,0.01976,0.13954,0.090703,0,0.091698,0.03732,0.040994,.,0.03433
10,6/1/2017,152,900,0,841,0.036709,0.037973,0.069485,0.037058,0.099925,0.065521,0.13124,0.04194,0.064699,0.11657,0.024658,0.064787,0.021655,0.079028,0.063644,0.068059,0.063897,.,0.050723,.,0,0.035356,0.050931,0.025879,0.20225,0.11092,0,0.11488,0.048994,0.053417,.,0.054061
11,6/1/2017,152,915,0,949,0.063942,0.047788,0.079137,0.044486,0.16477,0.10066,0.23761,0.080339,0.13789,0.15252,0.07679,0.1081,0.074324,0.16672,0.12618,0.097912,0.12549,.,0.075935,.,0,0.056249,0.12376,0.039431,0.3406,0.15686,0.022982,0.14333,0.086577,0.084255,.,0.083411
12,6/1/2017,152,930,0,1014,0.12508,0.075948,0.09763,0.059805,0.23372,0.15471,0.36689,0.12709,0.22333,0.19563,0.14627,0.16729,0.16684,0.27407,0.19894,0.11761,0.21143,.,0.10088,.,0.010867,0.097695,0.19364,0.065994,0.44105,0.21962,0.084548,0.19018,0.12452,0.12551,.,0.13317
13,6/1/2017,152,945,0.20055,1064,0.2265,0.14271,0.12938,0.086764,0.33689,0.23864,0.48407,0.19392,0.32005,0.2459,0.24349,0.26025,0.26512,0.40715,0.30726,0.17182,0.35704,.,0.15989,.,0.036367,0.14127,0.31082,0.11546,0.56682,0.32286,0.17855,0.29194,0.18001,0.18442,.,0.24153
14,6/1/2017,152,1000,0.42532,1129,0.39001,0.27631,0.18787,0.1346,0.45361,0.37406,0.5879,0.30632,0.43971,0.3424,0.3492,0.38519,0.36994,0.54651,0.44538,0.28611,0.51515,.,0.2513,.,0.10662,0.23495,0.4799,0.22397,0.69874,0.46464,0.29714,0.46592,0.28188,0.28512,.,0.37675
15,6/1/2017,152,1015,0.68746,1192,0.51444,0.4123,0.25373,0.18248,0.55866,0.49053,0.64917,0.39469,0.54613,0.45442,0.4244,0.47163,0.42651,0.61893,0.51062,0.41245,0.58996,.,0.29657,.,0.20656,0.3416,0.55419,0.3253,0.77923,0.58928,0.35979,0.60714,0.3745,0.37394,.,0.45889
16,6/1/2017,152,1030,0.94793,1236,0.60883,0.51119,0.30308,0.22306,0.70934,0.63506,0.68039,0.45434,0.61367,0.48679,0.5041,0.56055,0.45989,0.68837,0.563,0.50265,0.65232,.,0.31504,.,0.29362,0.41489,0.58392,0.37239,0.82941,0.64425,0.40681,0.64223,0.42257,0.41717,.,0.4912
