YST,PLOT,DBH,study,tree,clone,space,silvi,SIZE,density,year
7,1211,18.79600024,201301,12,A,L,1,0.0404282,24.73523327,2016
8,1211,20.82799952,201301,12,A,L,1,0.0404282,24.73523327,2017
9,1211,23.11400097,201301,12,A,L,1,0.0404282,24.73523327,2018
7,1211,18.03399976,201301,13,A,L,1,0.0404282,24.73523327,2016
8,1211,19.81200048,201301,13,A,L,1,0.0404282,24.73523327,2017
9,1211,21.59,201301,13,A,L,1,0.0404282,24.73523327,2018
7,1211,20.06600024,201301,15,A,L,1,0.0404282,24.73523327,2016
8,1211,21.59,201301,15,A,L,1,0.0404282,24.73523327,2017
9,1211,23.36799952,201301,15,A,L,1,0.0404282,24.73523327,2018
7,1211,19.30399976,201301,16,A,L,1,0.0404282,24.73523327,2016
8,1211,21.84400097,201301,16,A,L,1,0.0404282,24.73523327,2017
9,1211,24.63799952,201301,16,A,L,1,0.0404282,24.73523327,2018
7,1211,19.05,201301,21,A,L,1,0.0404282,24.73523327,2016
8,1211,20.32,201301,21,A,L,1,0.0404282,24.73523327,2017
9,1211,21.84400097,201301,21,A,L,1,0.0404282,24.73523327,2018
7,1211,13.20799952,201301,22,A,L,1,0.0404282,24.73523327,2016
8,1211,13.71600024,201301,22,A,L,1,0.0404282,24.73523327,2017
9,1211,13.71600024,201301,22,A,L,1,0.0404282,24.73523327,2018
7,1211,19.81200048,201301,24,A,L,1,0.0404282,24.73523327,2016
8,1211,21.33599903,201301,24,A,L,1,0.0404282,24.73523327,2017
9,1211,22.35200048,201301,24,A,L,1,0.0404282,24.73523327,2018
7,1211,20.32,201301,25,A,L,1,0.0404282,24.73523327,2016
8,1211,22.60599903,201301,25,A,L,1,0.0404282,24.73523327,2017
9,1211,25.14599903,201301,25,A,L,1,0.0404282,24.73523327,2018
7,1211,16.51,201301,30,A,L,1,0.0404282,24.73523327,2016
8,1211,17.27200048,201301,30,A,L,1,0.0404282,24.73523327,2017
9,1211,19.81200048,201301,30,A,L,1,0.0404282,24.73523327,2018
7,1211,18.54200048,201301,31,A,L,1,0.0404282,24.73523327,2016
8,1211,20.32,201301,31,A,L,1,0.0404282,24.73523327,2017
9,1211,21.84400097,201301,31,A,L,1,0.0404282,24.73523327,2018
7,1211,20.32,201301,32,A,L,1,0.0404282,24.73523327,2016
8,1211,22.60599903,201301,32,A,L,1,0.0404282,24.73523327,2017
9,1211,24.89200048,201301,32,A,L,1,0.0404282,24.73523327,2018
7,1211,17.27200048,201301,33,A,L,1,0.0404282,24.73523327,2016
8,1211,18.79600024,201301,33,A,L,1,0.0404282,24.73523327,2017
9,1211,20.57400097,201301,33,A,L,1,0.0404282,24.73523327,2018
7,1211,21.59,201301,34,A,L,1,0.0404282,24.73523327,2016
8,1211,23.87599903,201301,34,A,L,1,0.0404282,24.73523327,2017
9,1211,26.16200048,201301,34,A,L,1,0.0404282,24.73523327,2018
7,1211,17.01799952,201301,39,A,L,1,0.0404282,24.73523327,2016
8,1211,19.55799952,201301,39,A,L,1,0.0404282,24.73523327,2017
9,1211,21.84400097,201301,39,A,L,1,0.0404282,24.73523327,2018
7,1211,18.54200048,201301,40,A,L,1,0.0404282,24.73523327,2016
8,1211,19.55799952,201301,40,A,L,1,0.0404282,24.73523327,2017
9,1211,21.08200048,201301,40,A,L,1,0.0404282,24.73523327,2018
7,1211,16.51,201301,41,A,L,1,0.0404282,24.73523327,2016
8,1211,18.03399976,201301,41,A,L,1,0.0404282,24.73523327,2017
9,1211,19.05,201301,41,A,L,1,0.0404282,24.73523327,2018
7,1211,19.30399976,201301,42,A,L,1,0.0404282,24.73523327,2016
8,1211,21.84400097,201301,42,A,L,1,0.0404282,24.73523327,2017
9,1211,23.87599903,201301,42,A,L,1,0.0404282,24.73523327,2018
7,1211,21.08200048,201301,43,A,L,1,0.0404282,24.73523327,2016
8,1211,23.11400097,201301,43,A,L,1,0.0404282,24.73523327,2017
9,1211,24.63799952,201301,43,A,L,1,0.0404282,24.73523327,2018
7,1211,20.32,201301,48,A,L,1,0.0404282,24.73523327,2016
8,1211,22.86,201301,48,A,L,1,0.0404282,24.73523327,2017
9,1211,24.89200048,201301,48,A,L,1,0.0404282,24.73523327,2018
7,1211,18.28799952,201301,49,A,L,1,0.0404282,24.73523327,2016
8,1211,20.32,201301,49,A,L,1,0.0404282,24.73523327,2017
9,1211,21.84400097,201301,49,A,L,1,0.0404282,24.73523327,2018
7,1211,19.81200048,201301,50,A,L,1,0.0404282,24.73523327,2016
8,1211,21.59,201301,50,A,L,1,0.0404282,24.73523327,2017
9,1211,23.87599903,201301,50,A,L,1,0.0404282,24.73523327,2018
7,1211,15.49399976,201301,51,A,L,1,0.0404282,24.73523327,2016
8,1211,17.78,201301,51,A,L,1,0.0404282,24.73523327,2017
9,1211,19.81200048,201301,51,A,L,1,0.0404282,24.73523327,2018
7,1211,17.52600024,201301,52,A,L,1,0.0404282,24.73523327,2016
8,1211,19.55799952,201301,52,A,L,1,0.0404282,24.73523327,2017
9,1211,21.08200048,201301,52,A,L,1,0.0404282,24.73523327,2018
7,1231,11.17600024,201301,12,A,H,1,0.0134761,74.20569703,2016
8,1231,11.68399976,201301,12,A,H,1,0.0134761,74.20569703,2017
9,1231,12.19200048,201301,12,A,H,1,0.0134761,74.20569703,2018
7,1231,14.22399976,201301,13,A,H,1,0.0134761,74.20569703,2016
8,1231,15.24,201301,13,A,H,1,0.0134761,74.20569703,2017
9,1231,15.24,201301,13,A,H,1,0.0134761,74.20569703,2018
7,1231,16.00200048,201301,14,A,H,1,0.0134761,74.20569703,2016
8,1231,17.01799952,201301,14,A,H,1,0.0134761,74.20569703,2017
9,1231,18.28799952,201301,14,A,H,1,0.0134761,74.20569703,2018
7,1231,11.68399976,201301,16,A,H,1,0.0134761,74.20569703,2016
8,1231,12.7,201301,16,A,H,1,0.0134761,74.20569703,2017
9,1231,13.71600024,201301,16,A,H,1,0.0134761,74.20569703,2018
7,1231,12.44600024,201301,21,A,H,1,0.0134761,74.20569703,2016
8,1231,13.71600024,201301,21,A,H,1,0.0134761,74.20569703,2017
9,1231,14.73200048,201301,21,A,H,1,0.0134761,74.20569703,2018
7,1231,14.47799952,201301,22,A,H,1,0.0134761,74.20569703,2016
8,1231,15.49399976,201301,22,A,H,1,0.0134761,74.20569703,2017
9,1231,16.76399976,201301,22,A,H,1,0.0134761,74.20569703,2018
7,1231,12.7,201301,23,A,H,1,0.0134761,74.20569703,2016
8,1231,13.20799952,201301,23,A,H,1,0.0134761,74.20569703,2017
9,1231,13.71600024,201301,23,A,H,1,0.0134761,74.20569703,2018
7,1231,16.76399976,201301,24,A,H,1,0.0134761,74.20569703,2016
8,1231,18.79600024,201301,24,A,H,1,0.0134761,74.20569703,2017
9,1231,20.06600024,201301,24,A,H,1,0.0134761,74.20569703,2018
7,1231,7.62,201301,25,A,H,1,0.0134761,74.20569703,2016
8,1231,7.62,201301,25,A,H,1,0.0134761,74.20569703,2017
9,1231,7.62,201301,25,A,H,1,0.0134761,74.20569703,2018
7,1231,11.43,201301,30,A,H,1,0.0134761,74.20569703,2016
8,1231,11.93799952,201301,30,A,H,1,0.0134761,74.20569703,2017
9,1231,12.44600024,201301,30,A,H,1,0.0134761,74.20569703,2018
7,1231,11.43,201301,31,A,H,1,0.0134761,74.20569703,2016
8,1231,11.93799952,201301,31,A,H,1,0.0134761,74.20569703,2017
9,1231,12.7,201301,31,A,H,1,0.0134761,74.20569703,2018
