System-Tree,1/13/2017,2/16/2017,3/9/2017,3/21/2017,4/10/2017,4/26/2017,6/9/2017,6/26/2017,8/24/2017,9/8/2017,10/13/2017,10/31/2017,11/16/2017,12/1/2017
1-Jan,13.3,13.5,13.4,13.4,13.7,13.8,14.2,14.4,14.4,14.3,14.6,14.8,14.6,14.5
2-Jan,14.9,14.5,14.9,14.9,15.2,15.4,15.4,15.5,15.5,16.2,15.8,15.7,16.1,16
3-Jan,13.6,13.4,13.6,13.6,13.7,13.9,14.1,14.1,14.3,14.5,14.5,14.6,14.5,14.5
4-Jan,14.6,14.5,14.4,14.4,14.7,14.9,15.3,15.5,15.7,15.8,16.1,15.9,16.2,16
5-Jan,13.8,13.8,13.8,13.8,14.1,14.4,14.5,14.6,14.7,14.9,15,15,15,14.8
6-Jan,13.6,13.5,13.7,13.7,13.9,14.3,14.3,14.4,14.5,14.7,14.8,14.8,14.8,14.7
7-Jan,14.2,14,14.2,14.2,14.5,14.7,15,15.2,15.1,15.4,15.5,15.4,15.5,15.3
8-Jan,16.1,16,16.1,16.3,16.7,16.9,17,17.1,17.3,17.7,17.7,17.6,17.6,17.6
1-8 high,15.1,14.9,15,15,15.3,15.5,15.8,16,16.1,16.3,16.5,16.4,16.4,16.3
9-Jan,16.4,16.3,16.3,16.5,16.7,17,17.3,17.6,17.9,18.2,18.2,18.2,18.2,18.3
1-9 high,16.1,15.9,16,16.2,16.5,16.8,17.1,17.4,17.5,17.7,18,17.9,17.8,17.9
10-Jan,18.4,18.1,18.3,18.4,18.7,19.2,19.6,19.9,20.5,20.7,20.6,21,20.9,21
1-10 high,16.8,16.5,16.9,16.9,17.3,17.7,18.2,18.5,19,19.2,19.7,19.5,19.5,19.5
11-Jan,19.4,19.2,19.2,19.3,19.5,20,20.5,21.1,21.6,21.6,22.1,21.8,21.9,21.8
12-Jan,20.9,20.9,21.1,21,21.3,21.8,22.2,22.6,22.9,23.1,23,23,23,23
13-Jan,16.6,16.5,16.6,16.6,16.9,17.2,17.5,17.8,17.5,17.8,17.7,17.6,17.7,17.6
14-Jan,18,17.8,18,18.1,18.4,18.9,19.5,20.1,20.1,20.3,20.7,20.6,20.6,20.7
15-Jan,18.6,18.4,18.7,18.7,19.1,19.4,19.9,20,20.4,20.5,20.8,20.7,20.7,20.6
16-Jan,17.5,17.5,17.5,17.8,18.1,18.4,19,19.1,19.8,19.9,20.2,20.1,20,19.9
17-Jan,16.7,16.7,16.7,16.8,17.1,17.7,17.9,18.3,18.4,18.5,18.7,18.6,18.8,18.6
1-Feb,22.4,22.5,22.7,22.5,22.9,23.5,23.8,24,24.4,24.7,24.9,25,24.9,24.9
2-1 high,22.2,21.7,22.1,22.1,22.2,22.9,23.2,23.1,23.6,23.6,24.2,24,24,24
2-Feb,22.7,22.7,22.9,22.9,23.2,23.5,24,24.3,25,25.2,25.6,25.5,25.7,25.5
3-Feb,20,19.8,19.9,19.9,20.3,20.6,20.8,20.9,21.3,21.4,21.6,21.7,21.8,21.7
4-Feb,20.8,21,20.9,21,21.4,21.8,22.2,22.3,22.8,23,23.3,23.2,23.3,23.2
5-Feb,21.7,21.5,21.7,21.9,22.2,22.5,22.8,22.8,23.3,23.8,23.8,23.6,23.8,23.8
6-Feb,15.4,15.3,15.5,15.6,15.8,16.2,16.5,16.5,16.9,17.1,17.3,17.1,17.2,17.1
7-Feb,24.2,24,24.2,24.1,24.4,25,25.3,25.7,26.5,26.6,27.1,26.8,27.1,26.9
8-Feb,16.4,16.3,16.3,16.5,16.7,17,17.3,17.5,17.8,17.8,18.2,18.1,18.1,18.1
9-Feb,21.2,21.1,21.3,21.3,21.5,21.9,22.3,22.4,22.7,22.8,23,22.9,22.9,22.9
10-Feb,18.1,18,17.9,17.9,18.1,18.5,18.9,19.2,19.2,20,19.9,19.9,19.9,19.9
2-10 high,17.2,16.8,17,17,17.6,17.6,18,18.1,18.3,18.5,18.7,18.5,18.6,18.6
11-Feb,14.9,14.7,14.7,14.8,14.9,15.3,15.4,15.5,15.8,15.8,16,15.9,15.9,15.9
12-Feb,12.2,12.2,12.4,12.4,12.8,13.1,13.4,13.5,13.8,13.9,14.1,14,14,14
13-Feb,14.5,14.4,14.5,14.6,14.8,15.1,15.6,15.7,16.1,16.4,16.6,16.6,16.7,16.7
14-Feb,16.7,16.7,16.7,16.8,17,17.2,17.5,17.7,18,18.1,18.3,18.2,18.4,18.2
15-Feb,11.4,11.2,11.3,11.3,11.4,11.6,11.9,11.9,12,12.1,12.2,12.1,12.1,12.2
16-Feb,14.9,14.8,14.9,14.9,15.1,15.4,15.6,15.7,15.9,16.2,16.2,16.1,16.3,16.2
17-Feb,14.7,14.7,14.8,14.8,15,15.5,15.5,15.4,15.5,15.7,15.9,15.9,15.7,15.6
1-Mar,18.7,18.5,18.7,18.5,18.7,19.1,19.4,19.4,19.2,19.4,19.5,19.6,19.7,19.4
3-1 high,17.8,17.8,17.8,18,18,18.1,18.7,18.9,18.7,18.8,19.1,19,18.9,19.1
2-Mar,19.8,19.8,19.7,19.8,20,20.3,20.6,20.8,20.9,21,21.5,21.5,21.6,21.4
3-Mar,22.4,22.2,22.4,22.4,22.5,22.9,23.5,23.7,24.4,24.6,25.2,25.2,25.1,25.1
4-Mar,20.2,19.9,20.2,20.2,20.5,21.1,21.1,21.6,21.5,21.8,22,22.1,22.1,22.1
5-Mar,16.2,16,15.9,15.9,16.1,16.4,16.9,16.9,17.1,17.3,17.5,17.5,17.7,17.5
6-Mar,19.9,19.4,19.2,19.2,19.2,20.3,20.7,20.7,21.2,21,21.1,20.9,21.1,20.9
7-Mar,20.9,20.6,20.7,20.8,21,21.5,22.1,22.6,22.9,23.1,23.6,23.7,23.8,23.6
8-Mar,19.2,19.5,19.1,19.2,19.2,19.6,19.9,20.1,20.8,20.6,21,21.2,20.9,20.8
9-Mar,19.4,19.1,19.3,19.4,19.7,19.9,20.1,20.3,20.6,20.8,21.5,21.5,21.4,21.5
10-Mar,25.1,24.8,25.1,25.2,25.4,25.7,26,26.3,27.1,27.3,27.7,27.8,27.9,27.9
3-10 high,23.2,23.1,23.4,23.3,23.5,24,24.3,24.6,25.4,25.8,26,26.1,26.1,26.3
11-Mar,18.4,18.1,18.3,18.1,18.5,18.8,18.5,18.5,18.7,18.8,19,19.1,19.1,19.1
12-Mar,20.5,20.4,20.4,20.5,20.6,21,21.4,21.8,22.3,22.3,22.7,22.7,22.9,22.8
13-Mar,13.3,13.2,13.3,13.2,13.5,13.9,14.1,14.3,14.7,14.9,15.1,15.2,15.1,15.1
14-Mar,23.1,22.9,23,23.1,23.2,23.5,24,24.1,24.8,24.9,25.3,25.2,25.2,25.1
15-Mar,19,19.1,19,18.9,19.2,19.4,19.8,20,20.3,20.5,20.6,20.7,20.7,20.6
16-Mar,25.8,25.4,25.8,26,26.4,27,27.2,26.9,27.8,28.3,28.2,28.3,28.4,28.3
17-Mar,25.2,25,25.2,25.3,25.8,25.9,26.4,26.7,27.5,27.6,28,28,28.1,28
1-Apr,17,17.2,17.1,17,17.1,17.6,17.6,17.8,17.9,18.4,18.4,18.2,18.3,18.3
4-1 high,16,15.7,15.7,15.9,16,16.4,16.6,16.8,16.9,17.3,17.6,17.5,17.4,17.4
2-Apr,15.5,15.4,15.4,15.5,15.7,15.8,16,16.1,16.2,16.5,16.7,16.6,16.6,16.5
3-Apr,18.7,18.3,18.5,18.5,18.8,19.1,19.5,19.6,19.7,19.9,20.2,20.1,20.1,20.1
4-Apr,17.7,17.5,17.5,17.6,17.7,17.9,18,18.2,18,18.4,18.7,18.3,18.4,18.4
