"Date","DOY","Interval","VPD","HCOS1","HCON1","HCON2","HCIS9","HCON3","HCOS4","HCON5","HCOS6","HCON6","HCOS7","HCON8","HCOS8","HCIN8","HCON9","HCOS2","HCON4","LOON10","LOOS10","LOIN10","LOIS10","LOON11","LOOS11","LOON17","LOOS17","LOON15","LOOS15","LOON14","LOOS14","LOON12","LOOS12","LOON16","LOON13"
2017-06-01,152,"Daytime",73.20876,1541.894116937,2209.640633191,1493.689973982,953.479198731,679.010203654,1237.778548012,1473.362709729,2345.194733369,922.137457768,910.820478089,1762.322471529,1303.692459779,654.210112447,2804.326369971,1977.477821958,1373.336599947,NA,2241.687360122,2077.241833088,850.72768647,2465.53417894,4727.752774944,1992.861791596,3894.014464969,2902.927001219,1487.511000447,3298.187320685,2408.76011029,7064.293552423,1070.675194544,1812.252768423,3237.44767177
2017-06-02,153,"Daytime",89.0978157,1725.118231648,2559.535128416,1779.94319446,1010.653437096,792.072284501,1372.733952096,1723.180645779,2695.341793153,1005.852608861,1105.427329824,2167.282712099,1507.669828437,764.672488737,3302.003104547,2229.185536381,1587.556466453,NA,2594.813979161,2424.922427116,920.444616475,2682.030081063,5187.290164804,2233.429068472,4376.310596826,4294.186021759,1966.751182634,3576.101195077,2710.792684744,7743.593098961,1190.920646227,1991.480304187,3668.634412855
2017-06-03,154,"Daytime",91.49276,1805.547944107,2880.504946267,1952.452532069,1062.249705622,830.568909749,1414.243382618,1895.965566833,2950.406293283,987.466202261,1133.76205436,2401.886661567,1550.854553075,790.651542748,3628.895600229,2518.834335045,1630.033287276,NA,2715.596617707,NA,879.799954356,2908.734671032,5582.180446997,2372.909915685,4916.220142167,4017.897047618,2044.110537139,3842.890845922,2963.749516015,7817.747669967,1054.30861878,2245.974834584,3898.504534496
2017-06-04,155,"Daytime",45.978394,1301.654629198,1953.723246236,1326.474495766,886.967079042,625.588938302,1052.896864358,1250.614787542,2167.286465181,744.451600771,851.001273797,1546.652414674,1171.420174008,497.119746147,2678.787264208,1776.213135378,1209.972342395,NA,1984.019184842,NA,684.311525524,2180.900764037,4188.224236777,1671.906525065,NA,3345.790350761,1689.488000985,2786.2202281,2189.968544869,5928.924916315,818.385459314,1580.051897923,2979.101934216
2017-06-05,156,"Daytime",9.191109,284.249880978,358.308900143,295.957154068,306.396881626,131.557798239,363.758460367,252.350706831,476.329235292,209.397205869,212.323938617,314.651225346,319.466747009,148.48513121,651.952004023,328.027848352,384.997589779,NA,624.902148264,NA,359.819771553,638.835715113,1181.009100455,382.770081304,NA,816.601565243,559.435330911,714.424182685,544.740123751,1037.704559175,479.513402309,480.587719798,872.269425244
2017-06-06,157,"Daytime",68.86256,1405.797932605,1883.955484191,1365.337633829,994.258238391,649.704964954,1191.261364446,1273.076762141,2035.438892959,856.105083382,883.436855383,1616.954531494,1248.902665511,545.854470859,2410.766904087,1766.895787546,1295.253183782,NA,2271.727583482,NA,948.755277238,2200.147974941,4133.854637808,1795.592263463,NA,3092.956558981,1493.957363797,2974.408390089,2293.101677003,5222.762982275,1313.043334269,1738.227738436,3045.230829205
2017-06-07,158,"Daytime",58.266809,1428.599658328,1894.15483518,1394.253142141,1112.650675949,712.984203819,1288.687523202,1321.932135379,2079.50878101,948.750137723,965.940435802,1559.057600654,1343.409028447,554.525284198,2535.973027838,1683.266503942,1425.740284166,NA,2303.179167412,NA,1109.224239292,2244.976003529,4266.127536061,1869.99449237,NA,2992.205989838,1793.325579929,3032.987430123,2280.83209652,4707.287242923,1325.554932186,1788.324370815,3191.495684466
2017-06-08,159,"Daytime",37.127984,965.662399252,1394.995490195,1048.451165667,784.021983617,479.69192353,1010.300890144,952.802564315,1492.561274505,644.403114984,665.637401113,1110.925247992,1007.817138217,389.454405631,1895.95810883,1212.136710513,1107.632837518,NA,1756.212747241,NA,956.67119186,1727.319644743,3315.288953036,1402.068547595,NA,3389.838515082,1486.893241743,2178.57226848,1722.155753583,3084.608305212,1180.756638197,1309.399712433,2553.032312709
2017-06-09,160,"Daytime",67.60347,1636.50797507,2381.823444684,1666.582775286,1111.899459118,828.468417836,1372.958597154,1603.123700089,2467.824404235,973.928948215,1113.944739534,1932.991514835,1483.107938928,609.530482004,2887.002245243,2138.677580194,1526.829043274,NA,2601.792227971,NA,882.79560783,2640.446527876,5325.086044209,2155.336869406,NA,4019.779295896,1976.263475018,3406.195646102,2792.9941348,6412.704938471,1296.829845923,1929.025368941,3588.844816131
2017-06-10,161,"Daytime",80.16586,1837.360303814,2691.922314485,1855.461557664,1081.79037787,887.573117121,1368.808310627,1772.743978343,2856.926053863,960.452779704,1118.775328977,2256.764246754,1523.893556715,360.21755719,3165.308952516,2524.777651843,1562.701275229,1878.208367149,2829.734114684,2604.013295971,722.840281009,3194.432606087,6244.157285802,2430.849638911,5144.081303408,5813.658132485,2057.955321898,4075.392815484,3302.220900148,10072.246430644,1082.244054977,2129.191065969,3952.425413026
2017-06-11,162,"Daytime",72.9123,1658.93372817,2345.167115816,1630.837755401,1079.1755029,793.220860184,1289.245826811,1522.63375032,2550.374444776,870.282237471,1088.157982974,2035.959816499,1457.942640366,773.107634981,2649.800286308,2163.649873141,1477.624455476,1732.447471648,2595.222993035,4435.61568776,751.232939108,2899.931339083,5561.975170207,2191.942545672,4600.05458277,4119.089412719,1853.181774653,3719.668466803,2985.21690266,8124.317522869,1095.132378844,1968.376909702,3684.433351299
2017-06-12,163,"Daytime",53.01736,1410.543112175,1862.060659719,1336.600837853,964.528736651,658.361286752,1149.61923534,1184.887155866,2102.570865783,799.067469393,991.754184241,1659.249210869,1242.381840303,627.932800016,2055.853380943,1718.591556938,1325.26761319,1577.843604993,2295.645285545,2474.896280883,693.844432744,2503.180540099,4927.402313905,1816.84286172,NA,3564.388491691,1763.545208882,3076.231579242,2496.2614991,5688.878540226,1156.530663209,1739.830214725,3221.65504804
2017-06-13,164,"Daytime",41.39501,1064.012536922,1333.534529082,938.826357839,760.42066253,506.059914562,898.579524453,860.895406225,1544.801887834,652.040610879,794.460741954,1168.63648495,993.997505306,1044.823735686,1514.898519699,1199.024266039,1076.130712523,1334.484313695,1797.371824613,1375.163162468,725.255332239,1839.23936732,3706.327663811,1346.380920986,NA,2331.87738811,1451.636117233,2263.570818403,1800.945303727,3952.079760963,1088.426099463,1271.92102877,2449.777776763
2017-06-14,165,"Daytime",57.30402,1545.019860675,2115.60034953,1536.58536391,960.164289624,710.718054564,1211.080263215,1410.231898301,2240.916908928,889.917682245,1003.596973292,1753.387107312,1331.648767156,875.817350163,2230.631237725,1893.757570743,1363.975535826,1633.69457496,2427.082935638,2072.663886713,811.564397767,2718.381338385,5119.080891586,1988.966388867,3270.453257353,3418.940919263,1665.200843283,3262.687305023,2578.726580204,6786.382598126,1099.077296911,1836.613334063,3406.681800531
2017-06-15,166,"Daytime",30.926736,1068.130339315,1381.07391192,1059.690043521,788.409616834,519.460197656,900.314287124,988.368644155,1609.374979786,637.45751112,701.600401806,1193.500764664,946.051810945,357.85795593,1573.928068569,1301.419944057,1040.107763926,1264.098484536,1788.480298024,1367.902679395,657.104865559,2039.507318223,3792.662974681,1464.077442855,NA,2814.346881382,1396.694076789,2360.262258223,1922.497993955,4703.180917932,916.273787084,1282.619177857,2612.45317582
