"Date","DOY","Interval","VPD","HCOS1","HCON1","HCON2","HCIS9","HCON3","HCOS4","HCON5","HCOS6","HCON6","HCOS7","HCON8","HCOS8","HCIN8","HCON9","HCOS2","HCON4","LOON10","LOOS10","LOIN10","LOIS10","LOON11","LOOS11","LOON17","LOOS17","LOON15","LOOS15","LOON14","LOOS14","LOON12","LOOS12","LOON16","LOON13"
2017-06-01,152,"Night",1.772267,13.206558951,18.761263983,17.03785527,12.70889306,2.084834396,21.712616363,13.322759927,23.426801664,7.192360766,6.264755735,17.263607884,24.5828472,8.488272417,65.716505271,14.180189458,25.423384198,NA,21.785202198,44.823657064,38.778178231,57.248257114,49.995132461,28.020033489,55.777513892,68.671285646,32.215764132,52.996705431,31.941655183,89.232509572,6.295185749,26.942439798,79.935061732
2017-06-02,153,"Night",2.596233,9.810023514,9.625012479,10.560459038,4.579842514,0.81343689,21.404674159,10.731818139,13.410755275,7.53993996,10.093698375,16.889585748,25.245587193,10.57568824,46.469176474,7.490698429,29.525476235,NA,22.4317303,35.00329838,68.600628664,44.327157191,49.669919886,15.901583854,43.791987476,130.76193255,49.540480857,46.061925039,26.923000564,76.201735036,15.613401279,20.432690309,91.454532228
2017-06-03,154,"Night",2.595164,15.241731877,15.123522299,12.86197069,26.588119686,1.71726235,30.100842477,15.970734866,19.561842053,12.832111702,16.59009301,21.064739923,33.581764466,7.083216285,62.009268242,11.671046541,41.399510678,NA,28.598637732,NA,99.768130064,56.860942441,57.510062705,20.515628326,58.004621948,58.417756757,64.614078414,59.350051366,36.150945099,77.436541454,18.762323103,30.404123705,118.56674911
2017-06-04,155,"Night",-2.22e-16,6.691626244,1.110910995,6.853634956,16.949899466,13.062924284,15.352749556,0.453728097,36.115842377,24.43032893,31.121939276,12.571723004,44.008410105,8.441702885,20.308569479,0,29.339860215,NA,18.250418351,NA,61.761437775,9.068092645,32.831713491,3.106577557,NA,4.646641663,45.527609354,9.797473545,2.591507154,9.574857546,35.18690132,4.616754224,65.567909001
2017-06-05,156,"Night",0,4.592754463,8.40318186,3.62862523,9.420589893,10.468182986,15.180661453,2.121919842,14.874782967,14.930774035,26.279833753,8.160281543,24.297226605,8.690078322,16.295062278,0.274957454,22.306971418,NA,18.300389529,NA,6.989683759,3.312884191,13.462383858,1.181897641,NA,5.510722309,24.584136879,2.181690979,0.552394665,13.395338765,32.506947703,4.567048322,40.915851741
2017-06-06,157,"Night",16.9442,35.296457645,36.775934493,32.618025734,51.623802076,4.51482672,37.449260921,19.763620581,43.542465427,14.439105106,18.512878609,29.580648914,57.552168798,4.018105375,102.911114278,28.451416425,41.970620457,NA,48.951529176,NA,90.578933919,92.36818381,85.737083087,70.260499728,NA,260.730242989,66.83279633,116.619804991,57.796585782,246.595720424,54.945613203,61.215543947,190.201417817
2017-06-07,158,"Night",12.529351,4.084477404,2.903494212,4.325414989,34.355695482,0.293986837,15.390587313,2.380049903,5.01504422,2.809268474,2.730538678,1.292742585,18.211660843,1.529588122,38.701463526,4.946545583,11.889652668,NA,9.61664884,NA,90.779927984,37.5330699,13.868330555,11.732941078,NA,181.150865776,26.901701329,55.802888068,11.837458035,125.908954708,1.209245481,17.276409955,102.095117005
2017-06-08,159,"Night",10.389718,12.136523397,33.441974022,17.822493054,22.672238991,4.370382861,24.027451034,17.380467654,19.112661436,6.092587632,7.196633414,10.914346487,40.709444496,3.591933653,64.157890017,20.811911709,22.081764503,NA,18.294576606,NA,72.544335637,62.865542923,39.186297275,27.325925483,NA,343.677926864,45.116530122,107.734813225,37.966601609,244.493689146,3.685913979,19.903000552,140.189954926
2017-06-09,160,"Night",1.76662,16.346981386,19.241238498,13.749191547,40.758611247,8.69277961,28.455900096,14.223335166,17.380610118,13.791976804,20.122869916,15.92043141,32.444380494,32.672168442,78.384370694,15.713508667,31.125264487,NA,31.904821781,NA,49.04269448,61.377310356,77.077908502,26.238549137,NA,162.26035696,54.163798961,61.025890549,38.602582048,107.456445454,14.413673959,28.022270427,100.114060831
2017-06-10,161,"Night",1.791901,16.998974716,13.068454288,12.481518187,43.028832827,4.462518169,27.469097835,11.910482569,23.006626894,8.332445217,18.758358891,22.368228401,32.592001732,6.273404701,99.445623841,16.413234273,32.058759173,44.44552043,33.971101193,49.171352181,45.973796105,84.502406436,89.200257606,35.189138699,53.339764073,220.553209277,44.740024999,78.79121096,48.927924157,194.440002204,3.522042662,32.068006948,124.396802633
2017-06-11,162,"Night",2.506282,24.867845815,21.424804962,17.786717501,41.405155952,3.987410091,29.611662305,13.65904524,30.10309038,8.80489357,19.93936431,30.174595519,38.893778179,11.391529071,115.182557497,23.822782827,37.383412308,52.350952562,40.503664335,546.935641001,29.055136189,89.99493991,96.028392301,40.919958386,75.963160404,148.162068902,54.401907018,86.402686863,56.464386581,200.105811732,9.899371625,41.341181306,135.992819237
2017-06-12,163,"Night",0.784813999999999,17.874451031,11.359384324,11.048986321,27.825878772,6.506857089,16.913581276,8.465269529,19.89462638,9.14301157,17.482938129,22.068241083,18.317945873,7.471303619,46.511457588,21.452248981,25.757320177,35.879212404,28.746641672,304.270320422,5.51519058,61.637489784,76.679790223,28.563815572,NA,71.944228551,38.354485232,51.493503185,43.32603037,92.116178228,2.93018253,26.45655724,73.534945155
2017-06-13,164,"Night",0.048436,38.279223545,43.337036551,30.324183879,46.081871977,14.326580352,39.816562931,29.512372751,64.148556288,24.41472254,31.801187263,46.600691578,63.564300947,188.530738949,110.860902675,28.988931468,68.625292429,107.739704869,65.325852523,71.704262187,43.775374931,94.635320607,124.33243915,78.918132476,NA,96.005981424,79.958153305,84.901171868,53.182988443,152.885938748,55.865248557,47.991212335,172.533967469
2017-06-14,165,"Night",2.946422,19.137136049,19.671776027,19.026069687,20.888889915,1.733531537,29.174171589,13.699524591,35.138058597,11.982438685,14.103740959,24.110859283,40.816996559,431.567513567,48.227264328,15.635637677,38.907115617,62.364147131,42.563861589,60.563300451,38.236093791,88.465306804,84.012837441,51.28220014,93.851727879,108.443965352,55.20834829,82.20858875,53.79661015,209.676610503,11.809438712,37.105947842,127.875456804
2017-06-15,166,"Night",2.22e-16,0.86630903,0,1.105273357,20.453886769,2.56083369,9.936803195,0,7.296117571,12.402897797,22.40279685,6.601568573,12.133966462,0,5.348925452,0.327961187,22.052848,26.533246093,13.926075775,12.088639194,27.307195741,10.846631761,9.407706053,0.263572582,2.99661165,7.802973935,47.753703009,6.675033755,3.335677428,37.660205176,43.043626476,5.655626914,44.20273716
2017-06-16,167,"Night",4.44e-16,12.517081966,6.687330747,14.773706243,45.574656939,15.584236975,15.051371988,10.821092268,39.583216833,21.018574673,20.840303662,11.287347834,9.375685107,2.445394577,53.894073586,13.501685252,25.159700248,30.81501463,45.800587849,31.147314688,23.474028007,49.291735694,73.419478042,34.097134519,26.935741791,178.057246241,205.455199792,53.789578449,NA,201.441764595,61.15734306,17.222760901,37.914218068
2017-06-17,168,"Night",8.88e-16,12.485356538,13.173472768,12.762153586,27.014321882,17.102081282,19.991466005,6.064322934,9.464033306,11.961410464,8.488497362,9.112754754,7.82368216,2.465901977,51.310346706,11.661215376,9.34679696,5.753665402,46.058165835,24.760150394,13.511464089,42.361780068,39.059951319,27.077688366,28.269340536,51.313514225,117.129273035,40.264355145,36.001504573,78.633625374,40.063567357,18.401519025,19.372554286
2017-06-18,169,"Night",1.82839,53.70649881,75.403514182,51.501043498,64.370136144,7.802593708,49.511917307,44.445111683,59.466488993,26.00792199,24.161944819,54.809705716,56.656726305,6.103209484,128.964260249,80.725803592,64.035715328,98.440252252,64.685760907,87.525671718,69.020065185,98.648805161,86.316837266,73.159903526,118.438793109,192.624243631,68.334657723,111.803445302,76.429684214,212.844051579,18.96304587,61.891199618,117.336777811
2017-06-19,170,"Night",-1.332e-15,8.989013037,30.85803689,74.091974618,7.839989941,1.016088338,16.496740988,17.931848218,20.331762494,5.417920277,7.391671638,9.112722765,16.236420934,18.17857254,1.075667611,26.296342412,5.61651842,93.74140603,10.357209278,16.282249399,22.41818776,8.199051129,9.453510272,16.358310513,17.908573526,21.269165563,35.429244226,7.570697939,4.776638622,22.426891917,2.752448003,0.773811511,6.536262251
2017-06-20,171,"Night",2.664e-15,12.959795063,21.741865095,22.57968174,19.94907563,3.137134876,20.079513167,11.414221282,24.638700432,7.221565684,4.39306561,11.87419385,12.975586067,17.623715513,35.351323967,16.503445031,19.713548319,22.983097152,24.309092653,29.674533577,21.971127122,36.413853905,29.12583781,8.380120526,17.306128845,62.557853153,21.222266575,36.40205848,22.355696503,49.611758018,13.237553541,13.999890827,34.118969936
2017-06-21,172,"Night",0.547089,19.257618326,15.701804784,16.385252058,34.609990395,2.954710918,24.100685847,10.770524503,21.693181279,10.389307692,10.750070717,12.704246731,18.953232637,5.187617895,75.240115324,25.461910914,33.295870404,27.892002933,29.164877352,NA,30.022496808,48.829768109,41.346497986,15.098371789,34.683551203,88.193269514,19.827477765,40.479524592,30.821268676,70.339244397,15.970342786,21.567468816,56.785127255
2017-06-22,173,"Night",0.0711260000000004,5.89569819,4.49668219,5.73542075,20.00778156,0.974047028,15.852208023,3.862071885,11.442548822,6.146190572,8.032201894,8.593503314,11.757687624,11.490648092,34.401605101,11.24123751,21.17896031,15.357224202,16.282820553,NA,29.100166072,25.592628933,20.467340871,7.285735507,24.05595369,42.995923792,16.128514922,28.46272069,15.573972236,54.445305925,17.977372943,13.223916001,42.534452905
2017-06-23,174,"Night",14.47539,174.971810967,230.217373682,156.037870464,134.691770747,48.195150167,162.490510416,138.380600754,246.469245997,76.02278898,79.376531529,183.164965969,163.389029586,55.394455309,283.346263987,197.128408242,208.286244337,154.123147919,194.184110326,NA,107.787875829,201.980534736,222.21436546,249.232526671,365.793054416,365.794016271,236.564715662,265.749925311,150.43064149,674.275532442,280.040121802,172.679190633,378.361650291
2017-06-24,175,"Night",17.4199867,139.159351521,197.90571846,126.088811709,125.313538825,17.889209028,117.784033503,101.601158742,221.091338417,42.545749262,27.824367033,141.908375084,147.114797092,25.046439543,307.291155985,158.080965782,168.565151752,115.88928661,134.039856429,NA,97.847484438,232.738559267,176.406345227,209.555408227,357.660405194,340.305513186,152.289868695,264.482797078,123.225771561,794.068859997,154.139720128,140.428990693,409.358683502
2017-06-25,176,"Night",2.0698053,30.735161459,37.681025502,27.991352561,56.76022496,7.428799597,42.536970108,25.671026762,40.764046807,13.442502432,14.425353676,35.455997523,56.940070845,28.605749083,98.053101185,29.428914099,55.528112593,42.603828455,43.932358878,261.180712425,47.972161744,68.355236805,68.119103058,30.864439462,42.627253758,150.371578498,55.341870823,72.041311596,40.174451979,119.823797349,23.895512668,31.517458693,101.595205434
2017-06-26,177,"Night",1.609117,27.140837306,30.61857099,27.726568247,48.616783498,5.007510462,42.870661716,26.765567167,39.228430055,25.851891999,12.890265271,31.795613505,45.648537343,28.696865492,79.68247731,35.84713018,51.81190183,49.792415466,58.6058646,277.260168747,53.157800125,78.917402141,62.494485016,45.489727024,72.848234033,153.152254202,44.415806642,92.016703276,55.464984775,169.091345742,11.611862303,37.691608216,121.889119603
2017-06-27,178,"Night",1.3742488,15.305443935,24.287241737,21.973071618,20.511807407,5.571383755,25.397111926,17.672661958,26.254933837,16.902637876,9.147610271,24.296448424,24.252865766,43.608669286,41.2034418,18.586192359,33.969554727,31.026989922,41.747325105,204.768623841,36.20716373,51.882480552,42.715263841,22.473245032,32.212160736,124.982788469,26.24768291,59.933939678,37.834137228,112.408744083,9.666825026,23.653237278,87.001653511
2017-06-28,179,"Night",1.4529904,20.908332197,27.608264624,23.075560287,22.931998977,5.710204213,28.372095522,22.545227873,35.161333812,20.639397832,14.133382762,26.926524797,29.096680516,229.733788768,60.049372767,26.948852684,37.699194917,36.902249468,52.691438206,70.703668328,40.22190492,73.50409717,69.825440525,39.478268058,56.661081332,109.336230937,48.580148813,85.379407157,45.862220947,172.814882662,10.340524989,34.186003718,110.920677761
2017-06-29,180,"Night",1.72933,36.392622494,41.441932001,32.594301209,30.863326635,7.486245797,39.926933969,29.981419354,42.090498676,23.422788858,26.239289764,36.355498893,39.248064996,496.173553988,71.251762901,40.315874755,46.359033768,47.484935365,60.52412536,483.348365921,36.718435379,83.538076673,88.538733892,55.074114132,74.696885345,104.482810578,66.898919283,95.141093187,58.47825052,179.619443056,27.180728148,44.14692288,112.648082482
2017-06-30,181,"Night",4.0187,20.804149574,46.22698029,24.756157409,24.520303067,8.471318728,21.84522844,30.65006787,37.204474813,13.266570344,11.566457017,20.518405102,33.080794031,18.922787596,75.59257745,25.032718561,31.318073463,40.40716805,42.975333163,NA,33.66252033,58.795081955,68.146050036,51.469293486,80.137524888,121.899883156,50.414221548,68.808955017,33.079310586,157.248419614,30.127830474,33.458996708,82.354566037
