"Date","DOY","Interval","VPD","LCON1","LCOS1","LCIN1","LCIS1","LCOS2","LCON2","LCON3","LCON4","LCOS4","LCON5","LCON6","LCOS6","LCON7","LCON8","LCOS8","LCON9","HOON10","HOOS10","HOIN10","HOIS10","HOON11","HOOS11","HOON12","HOOS12","HOON13","HOON14","HOOS14","HOON15","HOOS16","HOON16","HOOS17","HOON17"
2017-06-01,152,"Daytime",73.20876,NA,2533.614340014,1392.965145023,921.490903847,NA,3050.934908962,1731.873390745,1941.510605674,2848.336959098,1302.955222136,1971.405190058,2507.300697259,2874.245532385,759.690103733,3827.968959929,1549.172208165,2715.7634449,3983.172737785,1180.799603939,808.43634517,1118.399587091,1486.833345118,1517.613739376,1430.09476124,2303.693419504,1839.545811135,2768.891261438,2458.096444058,2309.92260237,2197.005102708,3239.02969346,1412.625559264
2017-06-02,153,"Daytime",89.0978157,NA,2711.811862206,1521.594854574,900.236619833,NA,3472.181611026,1849.509829365,2268.216089086,3168.988760101,1505.722266918,2301.36811171,2875.783270558,3216.588958532,899.566658146,4453.095310395,1842.551399379,3046.77216048,4698.364633628,1340.530129036,963.186105846,1301.772345881,1615.488211532,1674.108727601,1552.316397635,2548.174250386,2052.508921607,2984.108934325,2907.247621603,2619.745369783,2418.02821433,3606.803313386,1501.485611913
2017-06-03,154,"Daytime",91.49276,NA,3272.441549497,1908.795621563,1130.080773784,NA,4164.124686244,2192.899111587,2458.741732829,3320.420837579,1589.742213631,2380.828103053,3042.298971575,3628.900139788,907.568305644,4538.87589343,2009.052716026,3169.422521997,5417.534110811,1469.880222632,1110.025092289,1360.131850304,1675.301037396,1636.389738089,1521.940236604,2790.631639166,2133.331626039,3252.334920558,3454.53293435,2748.644818841,2573.381111627,3905.999363793,1519.909182398
2017-06-04,155,"Daytime",45.978394,NA,2686.957750755,1652.727439103,1109.67546764,NA,3206.205813021,1997.858890903,1677.139952316,2335.817897661,1151.037125386,1672.677917354,2166.219205762,2472.6757814,636.52516775,3197.011594116,1332.256394266,2391.175923069,3613.559994386,1052.239620458,767.585102437,992.719237383,1229.773996867,1284.719007233,1243.729832624,2038.080844469,1513.94928311,2232.149099254,1770.255556106,1950.468388719,1838.382547949,2701.407587264,1099.421107185
2017-06-05,156,"Daytime",9.191109,NA,496.244993446,249.862528806,191.089714426,NA,587.393324494,399.673471042,380.762022896,652.182593309,328.838963104,419.265938294,575.380445468,457.033259176,161.123211869,1124.371862353,298.245381924,676.974908379,678.625618528,255.25735181,177.281434712,311.709634523,370.360462555,576.889173587,536.39106242,455.905141495,475.46153336,512.886756216,753.127491786,584.959540168,536.627427919,690.855913721,392.80685201
2017-06-06,157,"Daytime",68.86256,NA,2229.746566876,1122.217272591,734.688191196,NA,2667.376308641,1515.685719478,1834.558417596,2742.047580555,1254.854562313,1896.370345827,2386.096818824,2522.867566738,775.342190532,3720.51150639,1488.047107916,2502.035033887,3451.996199589,1035.74016497,787.313049828,1112.393594998,1315.321050414,1555.352473324,1337.147131261,1925.223346488,1867.850378938,2360.880367377,1479.371651421,2147.142803206,2111.910760292,2861.410849427,1423.146644486
2017-06-07,158,"Daytime",58.266809,NA,2195.55603591,1143.928936391,800.407621997,NA,2705.671025488,1694.116246847,1743.357989547,2691.836355101,1246.300394614,1920.314428778,2441.519210718,2267.599225246,776.893110443,4080.172253904,1361.463063975,2614.561880532,3405.342818476,1043.421580797,791.292179516,1143.099032945,1397.826408932,1741.227290534,1537.908838417,1988.235236313,1773.439503761,2318.5342535,1552.147259829,2195.324610616,2090.030721219,2944.525554307,1424.154411483
2017-06-08,159,"Daytime",37.127984,NA,2070.40433249,1209.789077596,919.690400184,NA,2678.652690268,1682.147113809,1250.900784771,2011.224419094,927.381399614,1413.749782268,1856.608976148,1584.221020619,550.275392224,3375.222590599,1054.623674245,1952.969815856,2759.839362616,808.940900324,631.735547645,923.821963051,1110.312695803,1381.72239288,1246.539844106,1480.320430808,1297.223953993,1753.744435618,1498.789809336,1780.62575545,1608.73613252,2329.683973332,1123.962324842
2017-06-09,160,"Daytime",67.60347,NA,2352.543598651,1185.133213711,689.714175186,NA,3004.071644527,1543.840193279,1856.930984965,2748.635137668,1245.704726222,1965.151696827,2521.790130497,2593.726969602,712.639715506,3871.223514796,1544.40820871,2752.948996641,4212.123732915,1057.348753865,812.678852333,1139.997397087,1387.165058777,1517.788712537,1367.959697543,2222.184544137,1784.930150197,2535.026067381,2301.435538278,2317.728297102,2133.712987877,3236.803504822,1330.286885392
2017-06-10,161,"Daytime",80.16586,873.433576686,3061.334433736,1657.643419549,909.083015963,4021.143898204,3669.274889713,1878.455154406,2497.852723777,3308.840513779,1616.172808706,2447.753694306,3127.458356466,3335.681207855,990.117855879,4349.215874912,2040.950251087,3248.172171113,5050.776133065,1363.260028573,1034.442152005,1346.265054868,1651.970904252,1650.587481826,1516.250774185,2838.243896058,2143.50027927,3035.104946796,3074.638166225,2726.675910445,2555.918406983,3707.879399166,1365.030078679
