"Date","DOY","Interval","VPD","LCON1","LCOS1","LCIN1","LCIS1","LCOS2","LCON2","LCON3","LCON4","LCOS4","LCON5","LCON6","LCOS6","LCON7","LCON8","LCOS8","LCON9","HOON10","HOOS10","HOIN10","HOIS10","HOON11","HOOS11","HOON12","HOOS12","HOON13","HOON14","HOOS14","HOON15","HOOS16","HOON16","HOOS17","HOON17"
2017-06-01,152,"Night",1.772267,NA,50.352194932,34.626150454,25.944629373,NA,77.92103815,32.668131765,35.370639771,52.106428125,20.238928268,19.640263859,33.310817625,35.445008763,2.996520807,89.611306372,18.664755231,60.055686343,67.171865911,31.44800833,17.604948658,16.976235065,24.645931167,38.123932285,37.479582614,26.162878206,30.987875506,40.332230262,30.128098268,36.123290057,27.114437553,56.219717477,24.373699941
2017-06-02,153,"Night",2.596233,NA,37.765102758,28.643939292,14.492502356,NA,64.540402251,19.222900347,33.423107712,50.214557968,21.884473979,20.4445583,32.710845816,25.796151377,4.618403195,91.106627174,14.766187336,62.532629255,64.631426497,30.293197164,14.800396341,15.672031758,18.791448007,61.332130882,52.48941437,15.297487462,41.61181358,32.198743501,33.127664594,30.306156725,17.378158083,51.584785992,27.221285062
2017-06-03,154,"Night",2.595164,NA,125.789419584,107.784452523,82.682196754,NA,157.388219482,93.609204288,37.089547731,56.997183059,25.005574428,25.480361457,38.066511444,28.516276479,6.617375119,104.170269732,19.55586295,82.547504254,67.101906159,33.569430295,15.774579924,21.687480158,23.095191353,92.911761816,51.569011241,16.254042371,54.063484572,33.209560321,73.820206422,28.662643691,20.86391265,59.050116691,39.181958918
2017-06-04,155,"Night",-2.22e-16,NA,36.040435374,27.609028951,25.036638494,NA,42.504183536,31.322504868,2.69243765,7.992718171,19.636077062,23.189236966,18.458865015,13.632563693,9.63237212,71.909910221,17.860858923,59.290414149,20.955786822,12.88267838,0.291406096,20.321776876,19.397033064,60.085630658,53.747396773,2.247126984,41.076979065,13.074592251,62.295545769,21.318126389,17.043812202,37.575508365,27.859065628
2017-06-05,156,"Night",0,NA,0.687249497,0.089873688,0.788424114,NA,7.220135848,2.824011185,7.106203569,14.756072504,25.629351275,16.098477266,11.528448118,5.437252976,7.995531229,47.583384016,10.612933154,50.559389545,15.793636391,11.118098755,0.994025937,16.180520026,15.108235266,18.830991886,31.116367363,2.595082742,28.530852492,8.816511414,109.057007042,14.23937966,11.702882071,29.557731427,15.765294428
2017-06-06,157,"Night",16.9442,NA,101.545779338,38.093451588,26.739588796,NA,144.112464312,60.574913446,66.456572423,122.549823201,42.222356024,60.106242918,118.601764275,59.36229818,15.649115269,283.643015092,34.000707889,114.401704869,157.183696546,66.057941529,38.916957695,46.10457527,63.074516693,80.938845012,102.404837416,44.129708467,88.485176579,103.549049082,2.545414047,93.083502642,55.607743604,150.057253373,65.349198543
2017-06-07,158,"Night",12.529351,NA,114.773479536,93.890921297,99.560008098,NA,154.991311974,95.355727461,13.349200092,24.441792417,5.631677974,6.404754083,31.866793308,7.197355481,1.025331571,121.244755071,3.141421806,30.020300783,46.886803451,24.630878233,8.330063534,5.085699718,19.232046276,39.32621576,73.830188065,6.434808201,12.919628619,20.604997216,0,14.98286937,4.365146691,58.209048599,8.627687982
2017-06-08,159,"Night",10.389718,NA,278.466134759,221.6766176,230.052228588,NA,364.985294915,231.115147636,27.966721204,42.29428542,14.643306005,28.393884916,65.376587036,36.445479702,3.085141615,190.52101359,20.659315249,64.137333476,168.501112101,57.837135427,26.77231417,20.093468816,43.554112115,35.493110227,64.303536642,37.845834342,23.497522723,64.004808279,18.777573654,39.200734061,17.854697765,133.234503928,24.20942886
2017-06-09,160,"Night",1.76662,NA,26.646203467,16.404291773,6.54569758,NA,66.056861324,12.005528377,19.917347658,33.914452144,10.627073193,11.797344189,21.259968036,20.043736193,0.887130494,64.448122453,13.719414543,49.020463728,83.074654435,16.564528143,11.638338609,9.778087643,10.85579121,33.019361083,20.549794107,14.780077084,25.197856111,23.69013735,20.096111164,12.511202758,9.162583951,36.803968654,16.159844905
2017-06-10,161,"Night",1.791901,7.743106856,55.932081141,44.071831763,18.665797191,55.323950922,93.213297597,27.664721913,51.086137507,61.858083212,28.979131335,28.847943002,42.856422748,43.839392971,6.834712837,100.416163534,28.005354929,79.36670082,78.0818079,37.71250301,19.630302981,18.625843533,21.955171957,53.505908717,32.477727571,20.358401099,46.125275362,32.632872086,169.861735515,22.827759409,17.074754641,50.403398719,14.615972095
