"Date","DOY","Interval","VPD","LAON1","LAOS1","LAIN1","LAIS1","LAON2","LAOS2","LAON3","LAON4","LAOS4","LAON5","LAON6","LAOS6","LAON7","LAON8","LAOS8","LAON9","LBON10","LBOS10","LBIN10","LBIS10","LBON11","LBOS11","LBON12","LBOS12","LBON13","LBON14","LBOS14","LBON15","LBON16","LBOS16","LBON17","LBOS17"
2017-06-01,152,"Night",1.772267,26.543559015,21.977571296,21.912826069,17.535133127,41.471183169,41.879156141,57.958787841,26.448217998,91.21208784,17.515290746,41.921720384,58.83086188,52.044184429,51.236716016,48.963429175,18.462397455,54.681057042,NA,14.45720528,NA,1.784421933,10.098092999,63.989400044,22.152929779,38.466021863,69.188313361,17.444513044,59.568635052,43.617262321,36.078370666,NA,37.117679012
2017-06-02,153,"Night",2.596233,25.042224845,16.835643051,18.436307867,15.111149631,22.341401133,36.754793048,55.81605315,32.360283912,92.330107835,5.365117122,53.983182367,56.323140116,62.101587404,48.529662178,49.226512345,17.916296456,62.116858905,NA,22.611119678,NA,0.028564256,7.978005728,71.777805871,24.038880473,30.17177696,52.186175348,22.496487155,53.612906986,45.137469597,38.548575182,NA,90.270037837
2017-06-03,154,"Night",2.595164,25.263622463,0.331583534,17.936515191,16.350663821,23.823728427,41.231214224,58.719309098,35.795094502,250.132112775,19.666808652,65.437275733,57.917445532,67.095779742,56.35559263,58.668046949,18.314135547,61.011871297,NA,20.669191036,NA,0.131720018,7.480306775,74.032739454,25.236307106,43.049125406,60.925168315,24.235098427,57.649683204,47.729884288,42.641852196,NA,84.556107385
2017-06-04,155,"Night",-2.22e-16,31.631572793,3.573664788,4.727651642,3.045567591,2.239717928,6.962041326,36.176601691,29.704582943,15.508106742,0.145807129,39.719468866,11.066537784,48.13323941,19.155308064,15.782278396,0,31.292927855,NA,13.368132587,NA,2.926738398,0.023514549,23.139764265,18.097315359,0.851943198,22.40001584,10.696145997,14.943069648,22.678861134,18.133902165,NA,8.048088324
2017-06-05,156,"Night",0,20.671384177,3.867145786,0.987747733,1.814128764,2.196411412,3.349498224,22.560973581,11.770135774,12.913708855,0.017569706,9.500289068,4.600261457,28.646442853,7.721643433,11.15039512,1.356063133,13.150376509,NA,8.573514458,NA,7.120114636,0,14.131172109,11.740655518,4.682656188,3.843159897,4.406148143,4.593224889,10.310810566,9.0019439,NA,15.110940717
2017-06-06,157,"Night",16.9442,65.033663238,17.315017402,25.907137651,22.196565089,83.689867202,91.309248756,92.316153469,51.005994226,166.358678027,21.054751887,131.353916358,127.958876515,84.339569714,149.807969298,135.812057017,35.554160902,203.777806432,NA,96.429898222,NA,7.734127033,58.121496358,236.33558355,66.325358444,227.59075888,167.428197144,145.17737486,186.725641451,111.546393802,119.446441998,NA,189.711266991
2017-06-07,158,"Night",12.529351,8.298435641,3.554717128,3.447907015,3.942563168,22.618093189,27.09629068,25.431823691,9.315717702,210.940031677,0.446932487,37.870580156,41.350862852,21.082059045,60.315286826,55.470792846,3.43001324,65.813036015,NA,62.420163883,NA,0,7.718533343,134.442883913,15.946192061,117.733660456,56.753332414,63.599951389,87.602786758,38.281346834,36.077857979,NA,78.644515718
2017-06-08,159,"Night",10.389718,29.035408629,0,24.199206184,17.624023565,69.377006266,59.31713773,57.280665626,31.956242375,243.814805969,21.468362651,53.489731522,80.451039241,49.029200912,128.213047381,89.273718864,9.806330001,116.5971284,NA,37.379807198,NA,0,7.128831951,212.827181459,52.652695887,267.158573137,143.560450883,74.779023898,171.285743158,69.735675695,73.895384792,NA,38.122924368
2017-06-09,160,"Night",1.76662,40.893924353,44.103857581,28.726164973,25.523235255,49.235216205,64.104162379,82.607306542,61.74409571,30.404678737,9.317638621,58.611864534,56.305569981,70.164508861,62.54293098,47.257258524,12.891001085,93.658460118,NA,49.803222599,NA,3.847383667,17.833617087,102.698485817,50.038980696,36.41501819,71.769270607,29.446810492,69.727806403,53.642330071,46.714981867,NA,17.905595747
2017-06-10,161,"Night",1.791901,33.08477413,35.285122506,24.347020489,13.591856557,41.962036346,63.472823072,83.364405489,61.004768338,123.031817466,4.40414943,67.961339246,75.810750828,80.105382433,80.30153372,65.302739192,9.578821793,92.064756744,83.154456767,29.237355694,10.683049302,4.612684107,15.345555455,102.645551157,38.624703315,36.782442998,92.843646214,24.215602311,86.589126183,67.637426554,61.102614761,NA,49.030583728
2017-06-11,162,"Night",2.506282,42.602013828,33.8834141,21.692428876,11.223339542,49.151045272,62.292348335,82.608856073,48.521876826,135.243034533,10.826823109,65.491943786,79.78692248,71.208562511,79.466660389,68.470107917,14.939757063,76.145087162,84.187798437,21.22346493,17.077981069,3.515425709,23.949473049,106.597749827,38.320628505,48.07089523,101.889912475,32.451144254,95.417287687,70.648609954,70.268602285,NA,58.101052597
2017-06-12,163,"Night",0.784813999999999,34.14679339,22.239456803,23.635390347,11.735006485,49.072577844,52.371778768,61.899300966,43.005799878,27.314507512,7.269075673,41.273996846,57.18942077,49.876909135,65.573684945,53.998940494,10.982421872,46.3484539,51.606383046,8.800881977,5.238409635,0.751478277,14.281123648,77.311596616,27.197950302,31.936675417,81.065412939,17.058141544,66.705215823,52.913745019,50.285918325,NA,46.58366508
2017-06-13,164,"Night",0.048436,55.402124831,33.004440481,25.568648919,13.615060342,59.336013491,62.387791482,89.071067495,66.156172793,96.635462137,6.061606448,54.680220215,55.879296263,92.538177018,89.849169745,64.143952987,23.222996539,83.013778033,66.263354729,27.590413289,19.510754206,6.687645232,15.913511338,109.40330502,49.679379342,68.939307258,108.589723359,46.969131958,99.673722049,70.890352275,68.750701743,NA,70.54812575
2017-06-14,165,"Night",2.946422,58.594437328,40.103295683,30.187343725,16.585355199,78.830876138,88.923643126,99.233703542,54.688153859,112.49818045,17.785395408,80.188008498,92.150159148,86.05025711,106.311822567,86.075953222,23.043263537,101.940274862,106.660123691,33.482821497,33.951669486,9.252280673,40.227417609,149.128899972,58.015975643,101.603582512,129.009810192,58.703907779,121.431796814,78.605547749,79.179181614,NA,81.145059895
2017-06-15,166,"Night",2.22e-16,19.728627871,19.817746188,3.646071441,1.970437275,5.126583388,15.705025444,57.695276893,15.819409408,15.27600342,0,21.342856689,12.676888338,36.907061635,20.836842721,15.748073346,15.444924165,31.139709169,13.273391095,1.816656957,0.082710423,2.808026879,0.06647818,29.899550711,13.646119631,0.069025564,22.507116497,6.332338659,20.696661815,26.027799662,17.308145099,NA,25.972215551
2017-06-16,167,"Night",4.44e-16,30.884858482,NA,20.280389553,18.602572439,45.384087269,45.687009212,36.731372778,82.35883525,NA,3.88126321,49.550143116,32.102681174,87.275449954,29.817211474,41.953275242,42.340458895,97.751580915,29.634853084,10.036775083,5.998573647,9.71010856,25.427342201,41.041612591,27.496486321,13.999404927,NA,41.710769011,NA,18.498435657,26.698040299,NA,34.081230579
2017-06-17,168,"Night",8.88e-16,22.444514766,NA,14.000024611,9.214730626,31.856906602,37.375403191,11.56375808,28.946190357,26.603632623,24.931600303,19.222314454,31.808045239,20.842832839,32.079480641,30.791408297,23.196618975,89.782674379,22.428170105,5.669490944,4.656263506,0.61390879,32.024839996,31.537949108,18.690495309,31.76813578,NA,34.314407439,60.774782722,22.817471598,22.720624016,NA,28.043757403
2017-06-18,169,"Night",1.82839,58.623139672,NA,27.929803849,18.937670634,80.001393691,74.897802314,59.390429841,45.693108894,43.032711012,58.436733572,66.198181807,79.068585507,56.870596407,76.020589633,53.719132926,37.50394561,86.631415577,95.167006925,45.111673896,45.666590096,3.667008481,55.70434221,107.285628822,37.224624405,133.917026981,112.96706842,55.142403973,104.230109977,60.637056255,64.425319636,NA,54.865706851
2017-06-19,170,"Night",-1.332e-15,20.350729431,NA,7.067902749,5.045270529,15.194692271,9.959292799,12.472548864,19.427550619,1.96142053,39.605930995,21.028545603,10.852061191,8.407775732,15.334084473,5.467352847,9.268048758,13.933266473,2.053404525,1.488994853,0.007866311,0.009703892,11.295496418,6.977236818,9.277889148,50.323220927,22.046725786,4.332190093,14.774491596,12.137436166,9.989026586,NA,9.175123839
2017-06-20,171,"Night",2.664e-15,10.087788808,NA,11.233216507,7.197232142,16.863396485,30.174195768,19.54195007,12.905949292,20.871964,6.720176352,16.135780864,31.424595637,15.915810282,32.855464266,25.213874523,12.206013821,9.149810813,19.180784631,4.660376002,5.821113337,0.396102596,8.848884555,28.668065243,14.325641575,12.576995254,19.996316474,9.467883769,15.326198265,12.412828917,14.57581445,NA,24.297692904
2017-06-21,172,"Night",0.547089,24.349042221,NA,12.414410617,7.209862024,33.746943313,37.681791934,32.368670855,19.684693102,28.792242918,10.674040582,35.746333174,40.390575141,31.037392403,39.111575335,31.560726686,11.480243484,23.860332572,39.640516103,11.51550497,11.553177234,2.225906167,14.971489981,45.954962774,15.902348136,24.554994663,36.640446547,19.976684087,49.523114365,25.940680405,28.369788414,NA,25.783907967
2017-06-22,173,"Night",0.0711260000000004,6.661734245,19.4231191,3.576290117,3.176562491,24.908931532,20.717680983,12.612636217,7.400849715,11.656456515,3.430451846,11.835162928,20.236591557,13.58821139,18.380848871,18.217660464,3.92232859,10.71157447,18.162028195,6.654194054,6.628935646,0.67549987,5.1719213,26.193782042,8.707624316,18.533874994,23.71258391,11.32145486,30.008697344,12.592045598,14.059046132,NA,12.093266847
2017-06-23,174,"Night",14.47539,193.2499785,10.12538383,81.34948493,50.65315472,254.56121685,253.73111243,227.174343222,182.54122795,180.3752777,131.8907806,227.96830772,264.835901151,163.245327008,288.052400666,215.235291242,176.81595728,330.8381673,477.58662701,203.965747026,223.33974,105.91049168,223.91602916,505.1592153,201.272411046,551.88774246,416.910815946,285.2102962,402.346482905,247.754673044,246.428546724,NA,232.656285749
2017-06-24,175,"Night",17.4199867,144.44552821,0.730096,97.005960677,49.4638743,262.782010475,273.9677203,222.3222262,168.35663063,198.79224186,100.18592835,204.627698965,271.4993975,197.415611,313.4423855,235.9131161,126.6970078,322.65518261,473.87670999,192.610354818,226.301603146,62.86126777,229.78399858,618.8539986,224.6084701,595.2270269,470.2213149,280.80045269,466.4725039,283.5152351,277.9941151,NA,274.2499182
2017-06-25,176,"Night",2.0698053,48.77238229,19.69499453,21.42276292,17.467121054,42.390892739,56.190596787,64.671366616,47.717874591,71.912912219,12.082093,60.78289806,75.202661142,60.105482532,75.65021801,56.034580677,16.5512171,63.6120101,89.663767563,25.87063483,19.059225041,0.89461485,14.95996294,90.585036554,39.93743768,58.410256494,64.834279864,34.310734827,70.276577748,57.310680502,55.10810755,NA,48.05918295
2017-06-26,177,"Night",1.609117,36.363624008,34.73991409,22.994877605,11.76654241,40.760058168,56.403090752,52.91620592,44.06973217,52.950934174,17.58422915,47.925179408,63.257581609,48.77898475,62.394832097,47.615045079,12.56487178,49.837061273,77.020818202,14.66850962,8.834581007,0.078929257,11.341186372,86.33275909,39.133356411,53.907240322,65.18596088,23.156998787,67.65965779,46.96932784,55.07989216,NA,45.67696749
2017-06-27,178,"Night",1.3742488,33.824295648,21.01300896,21.728750244,11.847339353,26.856462705,49.117613308,48.79892739,44.35564131,67.836459118,19.57116827,44.84296599,61.40484977,NA,53.5946745,47.62008553,15.57524779,43.505678198,63.37159434,13.3644678,8.8913039,0.063529889,9.90045925,77.915432157,38.16767855,57.43580527,50.58302428,20.03315413,49.30945511,37.66144774,55.04006239,59.96511985,45.79849236
2017-06-28,179,"Night",1.4529904,40.899293076,15.66889845,27.7425934,13.91551261,46.6812307,63.037518734,61.272577414,51.670798029,66.86061467,11.897904769,54.500974,75.47672267,NA,72.204126253,61.471335707,16.08354054,56.241649038,83.731090825,16.614758535,10.9938633,0.767564899,14.21086489,89.789497164,44.57423957,66.40290238,85.773794448,26.59758253,73.97834555,48.893670862,64.633821862,80.24786686,60.80596036
2017-06-29,180,"Night",1.72933,47.875523702,30.731128131,28.772417358,13.431137017,57.685832845,66.34780637,57.01055638,51.114389481,56.904794496,17.18087538,58.504586022,78.346703372,56.473536674,77.348608809,56.313331168,30.388051875,59.958151088,78.98960405,19.787934571,20.453431913,7.446503552,27.777118832,102.784699414,46.053328451,71.88681157,87.025151572,43.15327719,82.475568147,47.320413211,59.433457264,83.600167734,53.880603939
2017-06-30,181,"Night",4.0187,47.207155,20.281341759,25.73625131,10.652554094,58.4506526,53.95802965,46.169304522,42.371791585,56.55138658,36.813507918,56.2088204,63.52314144,48.969272592,73.80747333,45.28123791,24.435502822,56.66663392,70.248850845,26.3966628,37.45155017,6.821248376,24.41969056,132.580374049,36.53609176,201.401029,95.7583533,67.30921252,90.16846476,29.8546323,51.6129119,81.461555428,30.00681891
