Index,Date,DOY,Time,VPD,PAR,LCON1,LCOS1,LCIN1,LCIS1,LCOS2,LCON2,LCON3,LCON4,LCOS4,LCON5,LCON6,LCOS6,LCON7,LCON8,LCOS8,LCON9,HOON10,HOOS10,HOIN10,HOIS10,HOON11,HOOS11,HOON12,HOOS12,HOON13,HOON14,HOOS14,HOON15,HOOS16,HOON16,HOOS17,HOON17
1,5/1/2017,121,0,0.29039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5/1/2017,121,15,0.34631,0,3.085641625,NA,NA,NA,3.556683588,3.069115159,NA,0.286207224,0.202171364,0.060547089,0.469615392,0.984417996,0.056496013,0.003226185,1.523594849,0.018049211,0.827569315,0.624710587,0.482923274,0.149778909,0.411530155,0.779515475,0.435531578,0.536462989,0.160526951,0.087935712,0.461075278,0.204457748,0.881167859,0.454470577,1.191828934,0.624163638
3,5/1/2017,121,30,0.35497,0,8.180215531,NA,NA,NA,8.364964788,7.810431214,NA,0.322512094,0.548501898,0.293937217,0.756997439,1.43812113,0.072701763,0.007572811,1.701332586,0.031813575,2.786564215,1.889359557,1.456115991,0.558822357,1.529739927,2.270445077,1.116216732,1.495387529,0.434918227,0.367532902,1.074099578,0.997181905,2.494605205,1.169638572,2.555885651,1.251256562
4,5/1/2017,121,45,0.3122,0,8.426422169,NA,NA,NA,8.117330035,7.297012785,NA,0.335382915,0.55566357,0.292788544,0.331313618,0.987695492,0.083133567,0.01247483,1.722679914,0.000902588,2.49730077,2.024214403,1.490041282,0.779116357,1.631434293,2.071444051,0.813004715,1.199366697,0.575366488,0.393137438,0.888642125,1.961313754,2.411104169,1.10963308,1.697372649,0.616570381
5,5/1/2017,121,100,0.26205,0,11.25795078,NA,NA,NA,10.06664688,9.552177319,NA,0.348342212,0.538909317,0.153296996,0.270205683,0.654653927,0.033274509,0.060215435,1.770643332,0,1.672267593,1.481610553,1.102935035,0.619463594,1.060249345,1.239987143,0.695780425,0.908083417,0.431445643,0.35085377,0.456068511,2.259718114,1.701134548,0.796484673,1.054754929,0.320097937
6,5/1/2017,121,115,0.30679,0,15.31132788,NA,NA,NA,13.20359109,12.49165508,NA,0.243692342,0.42950736,0.079224883,0.136685397,0.54860866,0,0.214666723,1.377344747,0,1.368784319,1.267228179,1.025682503,0.440649125,0.930785372,1.05819586,0.685301801,0.676907156,0.209624098,0.155952937,0.393052191,3.096274566,1.600771275,0.661613781,1.162443609,0.141496622
7,5/1/2017,121,130,0.37458,0,20.49933879,NA,NA,NA,16.96548526,16.92382341,NA,0.182280436,0.517496122,0.078331067,0.209468132,0.784250798,0,0.232101211,1.707275735,0,1.769778743,1.527604795,1.175671522,0.52172339,1.040470525,1.42431742,1.10463927,1.149857196,0.222265667,0.277341541,0.412693768,14.69950811,1.637396446,0.721544285,1.507445828,0.443314672
8,5/1/2017,121,145,0.3851,0,6.63979265,NA,NA,NA,5.36770975,NA,NA,0.33087176,0.69538973,0.196511883,0.652171618,1.306317035,0.215638512,0.267474049,2.739784429,0.037241698,2.439749622,2.107051172,1.673649505,0.823592343,1.557222736,1.932539175,1.677335653,1.709720157,0.370461515,0.351079583,0.585184861,17.02140326,2.137947225,1.047939663,2.273581377,0.698348877
9,5/1/2017,121,200,0.35197,0,0,NA,NA,NA,0,NA,NA,0.825493924,1.240858128,0.596335362,1.119328216,2.201306932,0.385424199,0.716938754,4.180748777,0.289243452,3.513899237,2.664400822,2.481348159,1.287183265,2.107119889,2.839013835,2.273581377,2.385616873,0.806343158,0.685246143,0.983048014,10.70064107,2.867236444,1.31971061,2.967670454,1.303113932
10,5/1/2017,121,215,0.39193,0,0,0,0,0,0,0,0,0.726267873,1.263606281,0.698460589,1.072041081,1.974067659,0.399555908,0.599536205,3.618721512,0.319605867,3.561232757,2.988348336,2.550257869,1.449515136,2.328492442,2.916824528,2.273581377,2.499358279,1.061155532,0.832646603,1.006565639,8.665025647,3.067787863,1.509575647,3.135542677,1.259362398
