"Date","DOY","Interval","VPD","LAON1","LAOS1","LAIN1","LAIS1","LAON2","LAOS2","LAON3","LAON4","LAOS4","LAON5","LAON6","LAOS6","LAON7","LAON8","LAOS8","LAON9","LBON10","LBOS10","LBIN10","LBIS10","LBON11","LBOS11","LBON12","LBOS12","LBON13","LBON14","LBOS14","LBON15","LBON16","LBOS16","LBON17","LBOS17"
2017-06-01,152,"24hr",74.981027,2766.498176875,2293.600976873,1230.378913226,859.017464521,2960.745059232,2990.787441421,3152.77302117,1921.21714496,2541.80737015,1741.325006575,2269.90038455,2650.364993977,1742.721768977,3147.524786332,2625.6497913,2629.933477756,2975.917203325,NA,1118.36803905,NA,1153.811743157,1708.606122644,3018.7688125,1446.907951738,3698.602956376,3253.261667695,1685.091480482,2944.599389283,2005.903182709,2030.652531811,NA,2495.467881376
2017-06-02,153,"24hr",91.6940487,3124.777427235,2572.19366711,1394.730569807,957.862336837,3283.514330038,3191.050573801,3439.023098214,2192.340774118,2186.051028266,2315.812167113,2656.218684956,2874.15323145,1951.117361704,3544.894549217,2898.040131815,2897.731177626,3472.171493704,NA,1163.195844289,NA,1266.331590266,1864.146744402,3432.4493081,1637.64473937,4386.844167841,3559.712762925,1887.906266295,3493.166984178,2329.553395015,2313.682549477,NA,2707.9909663
2017-06-03,154,"24hr",94.087924,3292.95108979,639.769852205,1562.11605753,1050.883724088,3705.417865016,3469.735676561,3745.930987649,2330.344638649,3026.998312657,2777.940531413,2786.289190198,3083.384710981,1933.345438436,3804.967490722,3106.606747828,3156.411346589,3670.923683435,NA,1101.006286947,NA,1355.320761792,2000.124467242,3664.851099189,1720.610590818,5095.173943229,4014.329514114,1929.517138604,3922.562422687,2540.05560889,2539.91480739,NA,2993.754838958
2017-06-04,155,"24hr",45.978394,2425.388208902,886.66966006,1066.925986803,692.397365503,2647.226938387,2466.993072254,2786.57536436,1688.915265993,1763.438102023,1929.991213549,1997.74624045,2173.795059394,1605.788858978,2754.895622502,2298.703239696,2285.425788511,2595.085929431,NA,845.147023044,NA,1091.623294698,1431.999550332,2547.644521259,1247.258329664,3283.613623074,2698.682886105,1423.296838631,2677.626114948,1699.83640741,1724.944361633,NA,2050.735759827
2017-06-05,156,"24hr",9.191109,672.578981921,409.868518373,207.72151655,170.469832602,523.460056698,571.053682954,753.24245536,427.145073872,802.016073529,280.732040746,664.273045284,561.01680594,630.498178413,745.136189757,671.753078802,498.184976485,622.526251184,NA,314.775404016,NA,202.250239453,282.853785353,690.408841225,315.040253229,627.274327906,532.371497191,487.844312148,528.398694104,365.98996377,372.231736142,NA,523.378493316
2017-06-06,157,"24hr",85.80676,2698.002173179,1352.313671247,1044.14920682,674.706108473,2629.994632146,2640.608584898,2889.950435993,1862.501070953,2355.676657725,1766.55665963,2596.831027396,2340.525958675,1662.811241848,3094.140910286,2546.689911317,2243.747551665,3057.891072929,NA,1189.841816113,NA,1016.555038359,1575.827020486,3188.043333103,1374.97463021,3434.96902861,2815.69367099,1947.391469354,2792.697153737,1968.381619711,1994.03667798,NA,3078.15206461
2017-06-07,158,"24hr",70.79616,2554.436825824,1872.501673279,946.9940297,618.789600123,2372.928179278,2342.123180839,2803.608959339,1774.429682727,4469.134669097,1691.823928927,2524.325210419,2285.481226898,1916.325387858,3057.859084839,2407.016440497,1872.217705139,2755.82463063,NA,1262.679613893,NA,983.756165669,1433.998208571,2965.993062171,1339.898658861,3122.863457633,2479.876920318,1933.082499826,2609.929112252,1692.018296862,1743.542450275,NA,2689.663193168
2017-06-08,159,"24hr",47.517702,2126.755469628,1073.805390587,769.66338846,523.313778429,1843.675604519,1851.317402008,2255.35147005,1438.249882253,3089.919693003,1178.290079072,2135.115375765,1887.098389837,1678.61738328,2499.554150273,1936.812787411,1259.336186377,2098.528941333,NA,882.805670597,NA,622.810308493,953.480013827,2461.342057632,1061.275701699,2665.385839893,2019.204330427,1513.311261562,2125.518993327,1264.74270297,1333.870025331,NA,1477.33302679
2017-06-09,160,"24hr",69.37009,3384.152143116,2690.581608284,1407.25120175,955.141281849,3467.847148771,3371.216419383,3842.185348768,2466.114399327,2359.811124366,2545.011071765,2869.401242012,2812.730330418,2158.628415151,3632.527525557,2859.722451792,2093.245112969,3678.569497663,NA,1464.182094439,NA,1425.021805647,2061.533835057,3840.47859628,1877.929039338,4348.191101158,3543.654270859,2080.759290337,3499.054484515,2251.872010412,2293.747809309,NA,NA
2017-06-10,161,"24hr",81.957761,3396.207062539,2732.201502657,1445.006816909,832.965107911,4083.691223561,3830.344387218,4334.762088277,2539.079094742,2053.650652997,2735.839101907,2799.579959313,3098.431418726,2047.822340781,4023.25755808,3211.322036575,2444.142925081,3808.743437071,4484.629471701,1215.048177083,1409.852870776,1506.930230817,2338.69784951,4389.95219457,1828.762762859,5266.4040518,4310.374145593,2043.544835405,4300.453394365,2665.816929042,2658.049494178,NA,3141.408090773
