"DOY","Interval","VPD","Date","HCOS1","HCON1","HCON2","HCIS9","HCON3","HCOS4","HCON5","HCOS6","HCON6","HCOS7","HCON8","HCOS8","HCIN8","HCON9","HCOS2","HCON4","LOON10","LOOS10","LOIN10","LOIS10","LOON11","LOOS11","LOON17","LOOS17","LOON15","LOOS15","LOON14","LOOS14","LOON12","LOOS12","LOON16","LOON13"
182,"Day",0.694119482758621,2017-07-01,1152.5790933765,1446.2737858566,1120.3882594164,812.0039346846,567.2552462829,977.7023193357,956.3511555333,1616.2492239,821.7545599233,821.3275863495,1259.6612855301,1004.5812604158,421.9000615755,1764.5014640871,1285.9761269898,1123.5677593896,1262.6589637845,2041.7360644494,1763.4016748106,751.061767329,2035.8071918181,2881.2685224483,1410.5650498119,2518.0349188725,2476.0778062581,1161.9295107435,2647.3385507886,1876.4820383418,4286.8749663864,883.673096247,1435.9895896563,2308.0357509498
183,"Day",0.850653534482759,2017-07-02,1301.245031952,1707.6481094736,1269.7917762852,851.581182393,643.387210857,1036.5356007675,1099.2984340626,1880.31376359,918.5564022651,892.7927646696,1478.4370744122,1116.265445757,607.5841041909,1986.7082686317,1499.2409193867,1219.0900846185,1384.0058844918,2344.5431149275,4676.0915787714,759.4141855536,2299.3934329251,3392.8725687327,1649.1602168622,2952.1205473401,3062.7158210694,1218.2506171254,2883.7466467974,2105.6227018722,5010.8187739833,841.2647062635,1606.1036593257,2609.3628913221
184,"Day",1.05804274137931,2017-07-03,1462.4860354938,1961.734664529,1311.9747654303,895.8888037548,659.8325271762,1043.490880314,1236.0182360418,1979.4308292558,992.7225526212,979.6458958506,1629.8959953204,1199.0767031955,595.0537746678,2074.3499147229,1717.5260815191,1255.933687122,1423.56620862,2560.7861473977,3767.5717901316,725.6707599663,2508.0138233118,3637.0503681606,1828.1070549063,3396.2398570818,3462.2329115673,1329.2856580284,3127.0212462924,2293.8020867511,5517.8134676199,896.327536527,1745.6745011049,2638.3536051264
185,"Day",0.76917825862069,2017-07-04,1071.6521271057,1397.3694271893,963.4083108075,700.8346697193,470.0204505972,805.6992445695,865.5774080751,1374.1147058148,740.8399380606,764.2001622708,1179.4869794133,914.8043446713,468.8739877707,1618.453221408,1251.57061845,978.099492942,1173.832681644,1989.2293042185,2728.83734874,654.1033442382,1962.6275059983,2949.4261467603,1342.6399877211,2388.9765588615,2518.6530362499,1124.8141027392,2354.0308299864,1743.5436447519,3699.6019837326,852.4282092795,1394.3422863927,2136.3123642561
186,"Day",0.344386551724138,2017-07-05,604.1794905684,801.2490329844,656.9023332483,637.6561092387,294.2320536639,541.1722624065,561.3613146972,822.0507079446,525.3174945702,433.999353132,693.980887608,601.0636229181,712.197376911,1248.3047015469,678.6427729311,638.9241147234,856.096934985,1181.5510505985,1624.5671397435,554.2310766015,1278.0258261813,1964.0468794068,923.9170394079,1254.7535170599,1542.6626524938,1214.2925130087,1464.6398303304,1082.722171482,2334.1318895529,824.1769363842,837.2669595372,1489.2155301681
187,"Day",0.73517,2017-07-06,1289.4114211182,1632.7229123106,1251.7755234894,863.8775319573,647.1920879316,1033.7079910545,1161.2956526721,1676.4706934424,902.7506974572,900.2088888561,1445.4202736115,1114.6230154404,689.1671621016,1909.0224301302,1406.0446829802,1157.4685507923,1215.753719247,2228.0042176578,2708.09105616,822.1819507524,2220.2355979836,3303.1341854199,1596.3123771576,2320.1485057377,2803.7505979521,783.0928871946,2784.2848182693,2066.9480032185,4412.8586342358,459.3405366162,1603.1507974137,2177.6511110283
188,"Day",0.853727620689655,2017-07-07,1355.3591779485,1766.755922733,1334.3188994244,879.1843561299,635.9738726106,1076.9812671609,1204.4619222642,1814.2953406821,990.4144469589,951.689506914,1487.1642981399,1161.9882731115,455.6871716166,1887.1173291969,1463.4153033948,1199.6775705546,1292.8956426396,2246.9999938875,5408.599790349,822.354083262,2096.0545630617,2966.4551867922,1588.214706903,2344.7874292146,2770.773823557,767.846611314,2607.281146539,1941.8293030824,4149.5480642529,521.6872451382,1566.8359019532,2049.9158677419
189,"Day",1.00795965517241,2017-07-08,1647.8567416728,2266.7530816593,1632.8339394102,959.0945163948,786.6307810629,1242.0716182299,1524.3446647872,2282.9150480508,1134.5739614361,1087.4129327892,1829.5877102985,1367.2961527941,665.3695082265,2270.4488206533,1879.2941508972,1410.328366056,1460.7295922367,2701.6466476995,1945.2484779219,804.2907531888,2639.5439011461,3329.1099030492,1977.4422535851,3147.2517601152,3598.2667274616,866.1106154268,3268.8375039396,2433.2297929434,5644.8963564309,454.3992327483,1821.2803789374,2253.4524868104
190,"Day",1.00803320689655,2017-07-09,1532.4338978946,2124.7924695129,1475.3661574158,931.0934295747,722.0646397692,1158.8986108674,1348.2124121106,2169.3632802255,1085.8045731138,1016.8686814608,1714.2764608296,1317.1546141452,1087.9450902963,2186.4694920975,1771.0904774871,1336.4088659217,1420.7576241942,2575.9761853176,1869.5652951069,818.1008372052,2521.8937787103,3098.9900192337,1893.7512083376,2869.6629553641,3383.4735045918,842.2227388881,3072.3591337047,2268.7989247134,5002.023233052,422.5716120834,1725.305428584,2127.9242550708
191,"Day",1.20373603448276,2017-07-10,1543.2966313416,2102.135983857,1417.9896042237,903.3526224756,628.3811461518,1050.3037224918,1244.9380720797,2099.3479272972,970.2316499283,1011.6034098435,1723.6976471901,1263.9243670506,641.2953096108,2238.1448312412,1763.5074341634,1226.8743110433,1406.4502912272,2671.5313947258,2014.7294134584,801.5155907409,2674.982601738,3340.9187499069,1872.948615147,3326.8022755389,3594.0865018095,829.1947674177,3277.1660008455,2415.2853474891,6234.6241904211,402.2105081544,1744.6004926011,2097.3666869154
