"DOY","Interval","VPD","Date","LCON1","LCOS1","LCIN1","LCIS1","LCOS2","LCON2","LCON3","LCON4","LCOS4","LCON5","LCON6","LCOS6","LCON7","LCON8","LCOS8","LCON9","HOON10","HOOS10","HOIN10","HOIS10","HOON11","HOOS11","HOON12","HOOS12","HOON13","HOON14","HOOS14","HOON15","HOOS16","HOON16","HOOS17","HOON17"
182,"Day",0.694119482758621,2017-07-01,697.5281794824,2224.2610703133,1286.0796178197,775.5738665904,2533.4371448856,2264.3589520485,1421.7016282902,1525.0532334849,1830.6231558048,948.8365108884,1549.4213715615,2085.3870702588,1770.1056724266,726.5181259728,2961.899033877,1249.1878126329,1601.8856601102,2683.0748011104,757.6435038069,586.6047359217,946.4399834355,1126.5567794676,1432.3777428231,1186.9937759781,1675.6847338365,1593.9306182097,1731.7046228022,1891.2804698925,1736.1016150662,1775.7722017404,2515.2081357852,1161.78905448
183,"Day",0.850653534482759,2017-07-02,571.0596681672,1917.9012075606,1116.296946153,622.3429482525,2248.2705055815,1875.9871571769,1226.1454074639,1800.0222640515,2147.7588031998,1108.671267663,1964.4524636013,2415.5508710916,2113.1978072292,787.6892430558,3256.6435211169,1454.044978737,1935.6105114927,3312.476611272,915.4852724277,723.9623393196,1045.1206086768,1259.0344438839,1554.5567355768,1262.5780262049,2000.7264856365,1796.3498655423,2051.3438812818,2549.9880003024,2074.2323067918,2081.3482933407,2948.7441853548,1208.9477988405
184,"Day",1.05804274137931,2017-07-03,803.1290811048,2171.879386497,1372.5583298451,825.2478553563,2521.9044881343,2097.673798599,1443.6670156308,2014.3029091275,2281.5869019597,1163.2919710122,2183.8971594249,2525.7982640058,2354.7691166031,900.062729784,3293.9350267077,1574.7718676463,2037.0347542476,3653.543815821,963.4558739229,788.7339409428,1100.5480213146,1315.0052715069,1551.1289905269,1254.5185859361,2228.7549735495,1900.6168007223,2293.0945512102,1914.405422157,2077.1639162622,2173.757157513,3034.6639573554,1260.104196222
185,"Day",0.76917825862069,2017-07-04,555.8806269387,1746.5933425842,1070.6258487357,599.1528115728,2010.317924313,1768.0794520932,1148.9018847192,1481.8079473776,1765.8828610956,931.4052288516,1689.8021672265,1906.2666540864,1659.8905039881,706.6976693139,2718.0188630154,1200.8296337715,1489.0032143784,2591.5442425659,704.2535186022,584.6729433156,876.7693035684,1000.5604837506,1285.5477750282,1067.4583246467,1658.3391426168,1473.392073456,1661.4845467938,2377.7616837339,1613.3570802369,1700.6444998488,2256.4102270527,1040.3655533739
186,"Day",0.344386551724138,2017-07-05,286.7877739404,993.3182919513,596.6547193413,361.1945898495,1261.5840690912,1082.3592598623,708.0913521927,738.586683837,1051.8350398614,516.858860394,857.924463501,1082.6400144753,836.3516783346,333.3295221417,1862.4265312284,631.4713519536,916.8138366579,1520.8656689142,433.6252360803,381.7174174857,581.574068307,629.1385057296,934.6140153324,753.2723558907,849.8669203935,884.1495160746,934.1390757843,1403.613923085,1064.2044185991,1025.4913952247,1464.8311252071,676.7804665035
187,"Day",0.73517,2017-07-06,514.732362687,1879.1334364698,1018.3024092339,553.6461292677,1930.2458659281,1749.1888037097,1105.4518073982,1523.7360865692,1560.0247088013,839.8833308883,1525.3121172636,1983.0582836613,1623.083679405,647.3820714705,2114.3361936933,1158.03942579,1310.5654080273,2777.2731263547,1120.907433735,953.5559538861,1390.3799363766,1654.2740483199,2367.4315905216,1924.4851399494,1546.4741297265,1325.5147913184,1566.7626757059,1630.8671324967,1587.4381560771,1652.4614940048,3784.1518855008,1617.549164433
188,"Day",0.853727620689655,2017-07-07,577.0730124459,2106.7204465602,1141.6318099758,620.6997321855,2164.0232426913,1961.0378625114,1239.3361110861,1708.2799478001,1748.9635847379,941.603907231,1710.0468559116,2223.2319173442,1819.6598003895,725.7882916818,2370.4092555453,1298.2927603275,1469.2915830825,3113.636300235,1256.6636107803,1069.0437336777,1558.7726680908,1854.6277205052,2654.1577308267,2157.5648193687,1733.7718578222,1486.0515272292,1756.5176053305,1828.3859288172,1779.6971498517,1852.5956427801,4242.4609104,1813.4549851068
189,"Day",1.00795965517241,2017-07-08,681.7749254973,2488.955720373,1348.765104852,733.3171098525,2556.655315974,2316.841047333,1464.196499478,2018.223706464,2066.288826375,1112.444906976,2020.311195588,2626.606585386,2149.811892108,857.4725343159,2800.487215143,1533.850016895,1735.874209899,3678.562522719,1484.667834192,1263.006926559,1841.590399653,2191.12425747,3135.717924867,2549.025101097,2048.340770766,1755.675014013,2075.213419452,2160.121255839,2102.598571617,2188.723487355,5012.196738885,2142.481298967
190,"Day",1.00803320689655,2017-07-09,676.7382721653,2470.568410062,1338.801021387,727.8996855249,2537.767870821,2299.725244548,1453.379659632,2003.313957228,2051.0239932,1104.226653231,2005.386024942,2607.202371033,2133.930027213,851.137904322,2779.798447071,1522.518607494,1723.050334602,3651.386920479,1473.6997611,1253.67638679,1827.9855396,2174.93719506,3112.552619883,2530.194024645,2033.208529965,1742.704859034,2059.88265531,2144.16322992,2087.065498014,2172.554160732,4975.168833477,2126.653589304
191,"Day",1.20373603448276,2017-07-10,783.3976678107,2701.3663044801,1531.4287588785,829.7867093148,2798.5795170525,2633.933175462,1495.306633968,2146.7424963123,2184.6238355457,1195.8195935808,1857.9386765826,2710.3218727491,2236.7802004389,950.8719443571,3142.7822548782,1711.2526450011,1958.5486331361,3833.679215016,1158.0996781251,956.0540890188,1406.404217385,1623.0153934593,2137.032115425,1749.4029223929,2179.7863809957,1913.8293488214,2245.7407420944,2022.5800751148,2139.5467054755,2272.2815595618,3708.178272189,1572.1478238204
192,"Day",1.45217853448276,2017-07-11,825.8798798361,2819.8961227332,1572.2788358853,824.7658006935,2953.6457413599,2788.4381951511,1593.6311444121,2234.8267543278,2413.1131782471,1240.7047801992,1947.8138800959,2886.6384928341,2470.5653484213,993.5632502982,3561.7519442502,1687.9946229108,1945.5726320757,4205.9911960179,920.1970543761,785.7394714305,1162.0474475643,1386.124140303,1725.8415640623,1433.6909346978,2402.3062218717,1980.6322511106,2370.8820243816,2270.081673702,2211.4222418862,2388.027425436,3210.2867593314,1327.1474699109
193,"Day",0.936579137931035,2017-07-12,624.7369596618,2280.7272187026,1235.9260798047,671.9670738315,2342.7629990172,2123.0118297027,1341.7003695375,1849.3771114296,1893.4210558116,1019.3766638103,1851.2899591959,2406.862075824,1969.9564991094,785.7355324788,2566.195679799,1405.5266046618,1590.6492535059,3370.810337325,1360.4590521405,1157.3425156626,1687.5211220883,2007.8126310204,2873.380656447,2335.7711355084,1876.9745523618,1608.7935027429,1901.5990085439,1979.403371208,1926.6930917622,2005.6127117463,4592.871393444,1963.2391906392
194,"Day",0.624516431034483,2017-07-13,466.4803893525,1647.2988154305,903.4204842837,543.6862224282,1669.0486672521,1663.299827019,1018.002383361,1311.9845034492,1460.7863251398,779.755386429,1227.2722456392,1746.2125614267,1359.6520084047,588.5180121537,2340.437061915,973.6722022077,409.611583791,2303.6445990864,616.1364343485,489.304401525,782.109722907,923.2786918134,1198.1624878062,1019.7757174707,1420.1969954769,1204.1386917705,1337.5661860782,2177.6285762685,1409.545503684,1465.9186126401,2066.129570223,872.6872029174
195,"Day",0.319739620689655,2017-07-14,319.6290336003,1213.2103720068,633.5226999027,401.0231576349,1377.3808099314,1287.2134485207,769.9547073519,998.3976833682,1046.9178214056,592.1279344503,1019.3694742143,1332.2563330869,1171.6563986298,408.7139432508,2049.1726633128,733.1534332137,1176.3073854072,1929.0570361335,492.9348103407,412.0030272195,632.9616520014,769.2694235703,1073.9626073955,945.8860485132,1166.1255090855,1052.0411525298,1097.2002690837,1032.8309734347,1233.2249075097,1201.1662209591,1763.7454175067,761.580189981
196,"Day",0.738659827586207,2017-07-15,634.9471920099,2236.3778764602,1202.0457701331,719.4971935962,2439.0131913648,2066.7680479089,1340.2232133597,1786.9576051845,1668.5790467697,1025.271753894,1787.9463993096,2290.2054633324,2157.6307723803,768.9427037775,2843.5776300729,1329.7047251859,1863.4253464548,3226.1538966192,787.1657194377,671.9698730511,966.7592280459,1161.4828078611,1515.6121399326,1227.1439996091,1792.5718724703,1736.1489075633,1890.4096041957,1801.1501238663,1963.1244931227,2005.3285649523,2633.5311334362,1216.5065334936
197,"Day",1.04944551724138,2017-07-16,763.2125523909,2668.2013679778,1477.77713568,801.5291935326,2921.4256997637,2532.5119431288,1613.7498562326,2294.7299161785,2930.5460393622,1246.780921194,2280.4876314432,2918.2558358862,2644.9987422852,941.7915946269,3456.054601515,1663.9684661079,2258.6750906886,4436.099672274,1026.5524486947,878.6024032851,1213.0290972081,1463.2745817627,1767.2538132765,1429.4218672548,2343.1429146069,2118.6338544063,2448.2602700973,2311.856946153,2420.6445312597,2520.2959349814,3355.1491616487,1355.4502951302
198,"Day",1.01159810344828,2017-07-17,677.1913704333,2509.792413012,1373.3463348018,724.0255407504,2570.2832560545,2375.4741506091,1439.9162598654,2160.2585736207,1724.9319187191,1154.4897993147,2096.0923491117,2758.6537238007,2403.7491477555,851.7114408546,3066.7160062224,1563.6530180232,1933.6241192247,4235.2721634096,947.020714191,807.0359470569,1059.6734713431,1302.375014514,1519.7383105191,1252.5331592538,2326.8784590567,1881.8088430626,2325.5767835217,2116.7379641817,2240.2014416955,2348.6046733827,3108.1196866212,1128.9915989343
199,"Day",0.605326431034483,2017-07-18,472.5632340315,1857.5202868749,998.5310109549,563.4372441303,1970.7111307089,1842.1438118166,1129.8808260081,1564.8962292315,1758.5962013997,845.7184161864,1680.3619198794,2037.549760029,1643.5016514405,601.0389829701,2554.7465661021,1105.1331067494,1587.461199525,3008.0976787305,703.8543541608,588.2214405339,854.4846137355,1035.1231240923,1309.988872503,1061.37489519,1670.9699148246,1412.89065405,1651.6133382582,1531.0289798739,1680.5165205465,1690.7173480773,2440.335407571,927.1109373228
200,"Day",1.15819689655172,2017-07-19,743.2165733373,2834.7950387664,1524.5002365093,780.4044597429,2807.822451996,2610.2726213751,1518.9413466069,2430.3231642087,2319.8169370185,1222.827377049,2245.1493307248,3062.4961565772,2567.8284247458,926.7330902418,3138.7161678732,1723.4193024054,2023.1858611494,4578.9299619003,941.9507880237,787.9434031242,1108.1224229598,1336.2848874018,1549.4519670894,1272.6426109896,2411.4340138329,1986.0811126191,2424.5693252649,2206.4120822466,2391.5465283384,2469.6397457595,3234.3811666326,1199.7684465552
201,"Day",0.93102724137931,2017-07-20,709.0293994956,2667.1273818768,1452.9105978147,769.8150060237,2619.9198938088,2514.0378066858,1478.4586869618,2196.9618812028,2199.3436784547,1125.3661597539,2130.2843585517,2814.2555673546,2154.8754893088,853.0668277434,2958.1310700072,1569.3457011525,1857.4751088864,4041.3790111266,863.5935653478,759.0939048873,1076.4043480593,1286.8076877633,1447.11661626,1201.4363582703,2349.4118501817,1848.5371784682,2214.6970981311,2153.9629797552,2289.5817966333,2349.3451209462,2982.4855998228,1146.5799828903
202,"Day",0.484977931034483,2017-07-21,395.8618736538,1619.6549845734,822.5925788826,485.536841766,1625.4131603355,1514.3407597755,939.7324427085,1218.3928671807,1440.6610428558,649.1940064425,1329.8262418629,1663.9931152386,1132.7257541466,515.1240298251,2060.3192531355,854.8013389995,1121.1482430306,2306.7963580815,492.2737229466,424.1639815299,684.2395219032,830.1938168178,993.8027159334,806.3561229156,1484.8350613965,1148.6244084093,1360.4121587214,1346.0074119819,1467.4336556436,1494.674725842,1863.5314934718,759.1476454542
203,"Day",0.744355689655172,2017-07-22,502.3084798269,2082.21992217,1007.0123227794,606.9497834601,2074.6537239519,1846.1536978752,1171.4873238747,1544.8835949129,1614.1640375286,869.6233036314,1586.6736491565,2026.3682989692,1749.7991067948,626.9713151805,2153.9140844562,1123.7602349088,1362.3821086311,2563.5374176347,580.5465333111,505.5396425631,790.6030514073,963.2652496524,1221.494460867,987.2024107428,1611.7881011334,1375.3048045752,1558.0850553927,1411.6831262946,1635.6419571906,1667.4631039368,2060.6835946779,952.1990896401
204,"Day",0.925861379310345,2017-07-23,616.0359131361,2381.8113637713,1220.8608930105,687.6436434255,2355.335916687,2201.9217600744,1360.9825121601,1888.0330737024,1787.558991246,1033.6122644616,1905.1022383605,2526.2975838861,1992.3278018643,772.300378899,2418.3026874108,1372.1663348541,1574.135310213,3234.1396438044,700.1120233719,605.4472387359,940.9100809509,1143.8595175527,1346.4369869778,1110.6255271671,1910.6224178571,1588.9548293028,1829.6479975806,1747.2194562636,1923.3516195387,1947.6795147021,2483.4432430116,1134.5320038771
205,"Day",0.933189827586207,2017-07-24,632.6362476963,2385.284402232,1292.6691825885,700.7798050497,2417.2446633228,2168.110137951,1372.9477531239,2020.4817136623,1835.9695206999,1035.4640661288,1973.1222171927,2585.0493781758,2064.1114600209,808.2606870594,2459.9633814387,1462.29051564,1665.2536263315,3531.9756319299,735.7046661306,641.7778838742,958.3603155306,1164.54830184,1341.2279763513,1074.1094070534,1975.6141488243,1662.8884774362,1886.0309448696,1806.2325569304,2006.4769835184,2013.4561232709,2612.6045835543,1142.8070545971
206,"Day",1.25896362068966,2017-07-25,665.1819469143,2566.3151946996,1393.5658980798,712.414577817,2622.3407227845,2196.0411851097,1455.2186314617,2171.3020487298,1937.4099124275,1110.6776545317,2234.0823674076,2829.1955787063,2163.5247101175,833.0359057767,2428.0437871719,1633.8992261688,1625.2004974617,3948.1381407897,789.4516808637,719.8723493388,1006.9624292679,1213.617088737,1374.6237216426,1072.9914298236,2164.4301140226,1777.6064510712,2120.1393631635,2233.3391876187,2217.3664767804,2221.8399800829,2891.190475899,1214.3101878441
207,"Day",0.841263965517241,2017-07-26,518.8185771075,1987.6561281756,1123.426545813,668.4315936669,2101.863479211,1887.7315063689,1346.1597114741,1613.8700181396,1838.1287561067,971.5477090707,1891.8380459385,2352.0506432868,1556.1829515555,704.0312253999,2614.0272633081,1320.3269756316,1584.7609558212,3066.2111674143,705.1709175678,605.7391072068,963.8760147984,1126.6294935006,1349.7084847332,1049.5764596007,1645.5454957548,1501.3054577277,1662.3090544977,1790.4384148023,1881.0880252083,1843.7120095878,2494.4871556872,1144.8631512297
