DOY,Interval,VPD,Date,LCON1,LCOS1,LCIN1,LCIS1,LCOS2,LCON2,LCON3,LCON4,LCOS4,LCON5,LCON6,LCOS6,LCON7,LCON8,LCOS8,LCON9,HOON10,HOOS10,HOIN10,HOIS10,HOON11,HOOS11,HOON12,HOOS12,HOON13,HOON14,HOOS14,HOON15,HOOS16,HOON16,HOOS17,HOON17
213,Day,0.708448889,8/1/2017,404.3327825,1796.620954,1039.519167,580.982517,1805.707514,1814.738001,1151.314754,1498.249306,1474.487367,816.713683,1578.942724,2069.137399,1229.99069,574.3381039,1495.160697,1187.483321,1215.167813,2782.159254,636.353448,553.3539719,768.7272128,913.926815,1156.818132,857.9323151,1451.50027,1243.99672,1378.799054,1493.875228,1549.238212,1609.228526,2129.377821,867.4172247
214,Day,0.918400167,8/2/2017,493.2871102,2125.561324,1204.575032,632.9855658,2043.537944,2091.493006,1247.753231,1761.780104,1541.89536,903.6886051,1754.582427,2334.685921,1450.497324,649.8348889,1516.727682,1362.689931,1273.36587,2995.051177,653.8849093,559.6969266,719.6338167,895.4477534,1147.504743,876.1905843,1604.48467,1350.478474,1508.154545,1665.133976,1692.40934,1774.629551,2235.063687,913.358975
215,Day,1.180292963,8/3/2017,629.8021142,2705.400324,1503.663745,736.1205847,2523.059522,2564.597902,1442.050447,2215.268196,1741.159985,1034.279627,2144.515851,2804.796186,1858.868798,762.7255149,1592.32962,1694.754665,1462.313684,3813.940604,800.4028018,668.6857447,827.6927424,1057.984258,1239.137792,960.7834841,2036.690017,1573.923488,1878.182518,2466.347116,2021.794683,2155.157905,2674.503938,1059.296641
216,Day,1.313627963,8/4/2017,527.811121,2513.602266,1361.267043,641.9036389,2304.902297,2633.683105,1323.954743,2180.399819,1706.093089,1011.227305,2084.237933,2741.445448,1790.782282,766.2969476,1544.840344,1654.773147,1383.040167,3552.2793,763.7452052,631.5924853,797.2635165,1015.483716,1177.737262,932.255121,2004.481571,1488.645879,1741.219762,2248.631855,1961.596131,2085.612444,2492.89637,999.8785229
217,Day,1.515225019,8/5/2017,787.3331464,2804.982927,1622.66348,911.175979,2731.993547,3187.806258,1681.020872,2014.551266,1749.862884,954.1957581,2014.102335,2591.845728,1356.029907,726.3351406,1581.79027,1579.494256,1413.314138,3393.440529,719.3391669,598.2799187,769.4067031,974.3630148,1192.398004,921.173009,1776.436012,1459.114952,1658.964449,2202.664565,1919.856945,2037.392496,2412.763595,1019.642901
218,Day,1.091770185,8/6/2017,591.62773,2355.14302,1405.525184,756.1654539,2399.950292,2260.150016,1471.02444,2106.243975,1821.790543,999.6530385,2085.144305,2733.210996,1457.604743,737.7620699,1590.196408,1666.324448,1500.113856,3862.319619,820.8706507,679.5432877,809.4942834,1044.675886,1243.266342,934.9955315,1981.449018,1541.969491,1858.451372,2335.52324,2173.423314,2330.329614,2702.677521,1053.952625
219,Day,0.154314815,8/7/2017,176.7889682,662.7705342,387.009435,230.6497927,748.8388949,684.6685855,425.9701585,513.8899412,603.5152821,298.7915222,538.1570487,703.4739978,510.8536296,247.32869,671.0246061,467.2657959,573.6538646,1095.494445,253.3039094,228.5801369,296.2482916,335.6268661,540.7799601,341.5709557,600.5109886,513.3887943,546.3050074,1174.220457,718.8471053,649.9042344,837.4737708,340.9665609
220,Day,0.214494463,8/8/2017,143.9688591,695.1898165,365.8182034,260.2179132,842.9730654,734.9648142,453.4611847,501.858412,675.6792193,283.8369965,564.5073888,718.0134464,524.8831953,226.9982993,834.1469576,393.7860167,759.0613121,1082.98494,274.9798889,217.7844336,400.7653675,464.725932,761.4434501,562.4159136,585.2383746,628.3258647,632.0151119,640.4716549,741.1751608,687.7577426,973.9897534,526.0612863
221,Day,0.790937778,8/9/2017,522.0332203,2012.811322,1088.926231,674.3710534,2107.152264,1854.384586,1253.831104,1624.191004,1536.268644,829.3555791,1664.962746,2077.817399,1778.912263,684.4624416,1549.97109,1299.113551,1578.540271,3207.742425,716.8814223,582.9154604,828.9462482,995.5688323,1378.800761,1075.825257,1603.972553,1541.068229,1732.638122,1672.619764,1845.148532,1875.635364,2249.535313,1081.220576
222,Day,0.549823148,8/10/2017,350.1226954,1608.064575,891.7101632,537.2245886,1697.278663,1562.61261,1046.201934,1321.777799,1349.889974,710.4981227,1311.677342,1737.127317,1358.972762,508.9718521,1347.560891,1014.667398,1337.69455,2639.864715,627.9932025,523.9429338,697.6886629,838.0527168,1197.624994,900.7530292,1344.566696,1175.471593,1391.502706,1334.913624,1512.903518,1512.396164,1910.681387,850.5629165
