"DOY","Interval","VPD","Date","LAON1","LAOS1","LAIN1","LAIS1","LAON2","LAOS2","LAON3","LAON4","LAOS4","LAON5","LAON6","LAOS6","LAON7","LAON8","LAOS8","LAON9","LBON10","LBOS10","LBIN10","LBIS10","LBON11","LBOS11","LBON12","LBOS12","LBON13","LBON14","LBOS14","LBON15","LBON16","LBOS16","LBON17","LBOS17"
182,"Day",0.694119482758621,2017-07-01,1925.3269848753,1408.9610449836,732.2313057552,510.8094052794,2239.5374164908,2190.9436588701,1553.0297153517,1509.0673366665,1156.2378968619,1298.3846206257,1800.9679353642,1891.8376854822,1121.6261438622,2553.2578765773,1889.3891803239,1639.153488546,1661.8075318053,2851.7410830996,1078.0597661193,1143.7953993,954.2554006041,1368.7907311719,2556.9999650205,1159.2000246897,2725.2293839884,2159.0983718757,1477.4910620031,2107.5348530475,1372.518810855,1528.0897578714,1789.0815387636,1747.4102997606
183,"Day",0.850653534482759,2017-07-02,2245.1935719033,1726.8002459577,908.1717414408,619.5199665546,2651.4026179038,2542.2075418014,1784.8989771435,1761.8741577558,1276.090525512,1610.5682179602,2035.4137573023,2218.1876405712,1268.5106912427,3109.4381315169,2204.4598180569,1939.7436895485,1797.401424654,3164.3803146735,1121.0724889704,1172.7655641306,1053.8068558086,1584.4008594744,3037.1647350348,1391.2723760112,3341.8071959211,2547.840339792,1581.6690060858,2473.0754108058,1574.0447805261,1778.8915468359,2136.0173076036,2039.7707585307
184,"Day",1.05804274137931,2017-07-03,2295.1985697855,1867.3387759764,1037.6920959777,662.4088404138,2801.8999756395,2826.501311601,2153.2302395154,1847.4884821233,1276.3507614273,1969.106413158,2184.9975153909,2407.8078010773,1257.1630123824,3244.4348950458,2409.2204831883,2183.1902883324,1856.8003954365,3215.4172403535,1168.8523717383,1286.9299408572,1272.2459411376,1849.7243309076,3428.9632847133,1484.6419158714,3700.0456784208,2762.1400320522,1743.616935306,2601.6940857285,1688.1298808481,1900.4054423436,2128.1049584991,2225.0985647949
185,"Day",0.76917825862069,2017-07-04,1872.865622556,1496.9710281195,803.1452217633,528.3451175535,2047.5381970278,2131.2872898309,1497.2018169996,1458.1329776991,1106.9653128732,1460.7387746496,1854.8575999065,1910.7902848446,1133.0189784405,2517.1860126447,1858.4662616298,1738.8631315512,1415.9617444638,2439.2481691608,996.1582241097,1085.4944209062,968.4680824134,1408.8864595932,2678.0593300623,1092.9477364362,2791.927217169,1985.1937329978,1432.1093774886,1840.2247594953,1253.4275272905,1380.7352805093,1588.0186560906,1607.3968313196
186,"Day",0.344386551724138,2017-07-05,1241.3994895611,1245.8591002728,459.7631588016,328.3160420781,1217.4295814541,1251.2465730054,745.1755983405,981.8804753127,867.7256118228,785.7704625372,1273.3349790852,1302.0943409784,841.1972326902,1603.1202026283,1116.399602493,1085.7283418484,854.4230322327,1454.0068171206,608.7880910187,640.5431023359,415.8080037486,700.9961957136,1500.5002161366,668.1587605812,1556.4823502625,1203.6919423086,821.5935475644,1057.6099297026,687.7803906558,873.8071222959,1043.7356630214,1002.7605222549
187,"Day",0.73517,2017-07-06,2278.9758497283,1598.2000872588,895.9231541601,588.6726216408,2503.2746114469,2548.7302476879,2283.7107097953,1643.1588612279,1484.0290206144,1571.8631746419,2125.305721809,2070.6619915728,1281.141478764,2977.7128125309,2122.5531137751,1559.1245474034,1741.6519074243,3039.4397845278,1194.7933167021,1249.4914624692,1053.1770065919,1663.0293405024,2845.0142815914,1314.4552361154,3373.8429496635,2494.6953759189,1645.5760181028,2299.0447561086,1508.3946751194,1715.5738427724,2097.1231771176,2129.5000800621
188,"Day",0.853727620689655,2017-07-07,2241.0841115214,1095.6778923735,828.0773791695,560.8394291682,2381.6697451839,2344.7267584722,2006.2734641019,1556.430836292,1511.8629380271,1703.0716906824,2010.0594076263,1991.3190121224,971.2110619179,2832.0706205838,2010.0041793819,1463.7899326005,1706.9355474903,2962.9012302144,1169.0502125742,1184.8287945456,984.5911677393,1568.0522399193,2810.0658877587,1277.7830298054,3320.4437501634,2444.0594271993,1572.7066105455,2250.8505150219,1505.270168226,1670.2621801956,1966.1963256603,1936.9019774259
189,"Day",1.00795965517241,2017-07-08,2635.8385716,1401.7453895736,1067.8267762362,663.9774610824,3063.2331274443,2973.5764174269,2543.4222804675,1895.4762102243,1606.9565308005,2173.274509032,2189.8728438102,2399.629255731,1096.2834414543,3528.2085318855,2471.1736520511,1843.8660333405,2058.9612984306,3496.5933673788,1213.8760798299,1258.3038761469,1231.6508350092,1939.1753862243,3459.7833381063,1589.2031758806,4337.2730581533,3148.784953461,1765.3966719201,2890.6619772663,1837.2457028421,2077.9074456552,2376.8828640405,2354.8614548274
190,"Day",1.00803320689655,2017-07-09,2599.3127508606,1373.368699143,1028.7724190472,671.895339552,2802.6740024352,2737.5595133193,2568.7055830716,1839.2670963315,1660.6964597013,2149.5924557019,2222.3237936157,2346.8063753574,1090.4250631113,3424.4044901343,2361.1840934625,1635.1423005591,2007.7927264881,3278.0770381512,1137.6865646739,1197.8062313607,1123.9138024902,1791.131597136,3261.6382477725,1563.3258015231,3926.8492338105,2919.5117965215,1717.803296802,2646.0844256988,1669.9048364943,1935.4418960211,2260.772648325,2172.1650238422
191,"Day",1.20373603448276,2017-07-10,2649.4128487017,1338.238824633,1079.9923452039,668.6537143743,3181.3651889631,3063.2987576862,2615.8102929774,1919.6865334809,1594.3083142788,2153.1013972155,2144.999254023,2444.5275659883,983.4226672932,3593.1536273538,2515.945404105,1675.2264067089,2168.4078873351,3641.0319595782,1216.0494166122,1275.919530732,1299.7516510458,2049.7137252066,3595.9580191215,1609.9816986117,4483.1105641827,3328.3058462595,1799.748142092,2971.8798119721,1867.0679849043,2103.612636861,2348.0441275554,2373.541555014
192,"Day",1.45217853448276,2017-07-11,2566.9390954959,1372.9913681454,1016.2817297055,636.4943194428,3154.9508468685,2957.119973946,2670.4138118301,1870.1831649888,1583.2529337834,1903.2324501393,2048.9072023719,2344.5317230857,1260.5067636183,3499.0571962323,2457.8155079424,1678.9740956856,2154.5138267721,3679.9247398347,1235.953617957,1326.8764213416,1329.6530065383,2052.0426246111,3524.7842602722,1575.0667926279,4353.3384544638,3313.938518883,1803.9855478833,2969.197695297,1878.0087417255,2092.9836474612,2269.224978777,2358.9087459426
193,"Day",0.936579137931035,2017-07-12,2388.4902996957,1188.622179189,934.8743421999,572.6127015954,2815.2633854232,2674.9193996799,2321.9452562697,1678.6630293381,1510.4751517701,1731.3186322008,1919.7203976162,2134.1946271041,1077.0208424541,3232.3986271791,2232.3958758171,1520.4114925362,1928.9738293623,3247.1095190292,1099.037131218,1160.3910554802,1102.9388871105,1733.6895629436,3108.2658412014,1389.2254686666,3750.8572414548,2855.3647726737,1620.6304435884,2564.3498840046,1583.1962271603,1841.4535706442,2076.3119006037,1997.3006767305
194,"Day",0.624516431034483,2017-07-13,1837.8692335143,815.9502810915,653.0984108721,425.1902790177,1962.3367989891,1938.159789453,1798.563867669,1278.6078738744,1390.2537328713,1192.0353172263,1541.3201707275,1649.1207509208,938.9439477198,2433.3468789834,1675.4699931489,1108.7807528547,1467.458459559,2434.8665272788,865.7969841018,916.6859776395,788.684112387,1262.6693168922,2271.213870993,1026.4672549962,2680.6065586983,2092.500756702,1284.6854426103,1822.2160067523,1122.1582262841,1341.081012069,1558.8869586984,1469.504044485
195,"Day",0.319739620689655,2017-07-14,1537.1656854759,841.5088748415,504.7978197978,338.958165357,1412.6461208226,1391.7491323506,1492.1472152781,1028.8683484155,1074.8317197249,826.9830804303,1289.2160126169,1286.3089640286,742.8104229402,1809.9325105047,1231.078705776,938.5967698047,1144.224774954,1847.7322093899,724.4329604742,702.8218052046,540.17792181,877.565571174,1718.3582643411,794.3078156787,1887.6755608236,1446.4016831349,1027.9016720226,1280.7793376856,797.0032623402,964.535030811,1193.2951237884,1081.7606784888
196,"Day",0.738659827586207,2017-07-15,2203.561522233,952.1336760165,855.7284345327,564.3251705502,2313.5121417879,2370.5395944678,2017.879763607,1445.7589774263,1354.7962169847,1336.8178312722,1962.0237661164,2002.2916180149,966.9664615086,2833.1195405022,2011.6046869398,1429.2917516259,1673.5822473681,2971.3409823105,1082.3509538136,1087.6157201871,920.5801317207,1460.8415586618,2835.5362443045,1267.1820866736,2927.8845423027,2372.1301507311,1501.3397659059,2160.997183944,1412.3104225668,1667.1822048306,1893.2770169838,1976.4730486575
197,"Day",1.04944551724138,2017-07-16,2686.8175755183,975.3448452714,1072.6556072472,689.0473843812,2895.6406212198,2896.9233218073,2737.6495733223,1828.3498673607,1658.567009844,1990.930834638,2276.5702930821,2492.0001372222,1212.3401534343,3610.099981332,2480.2429425651,1749.0905280738,2070.6872210163,3492.8288125092,1175.5371779667,1252.7394311565,1195.7028584013,1941.7897439361,3526.4947538529,1564.8524378892,3940.7056687332,3019.4326377981,1813.4983562724,2711.5414748082,1733.215870017,2064.2798908782,2262.4293487716,2392.6682848392
198,"Day",1.01159810344828,2017-07-17,2486.2260981951,379.7757848448,1017.9950991237,639.0984363939,2895.1020257283,2862.2904619473,2557.2302332308,1737.3794580576,1462.752345636,1936.7452308483,1980.102126465,2412.1740146535,1034.0760592071,3536.1471613392,2389.0625211159,1651.6192107303,1958.5865696274,3313.6710805611,1046.9464266321,1115.3710562004,1131.3665337096,1883.1710304855,3443.3639033616,1498.7123063784,4055.2391516175,3027.889514934,1713.8435812983,2614.1752214955,1609.109760114,1971.2551987269,2074.9040879895,2276.4737544777
199,"Day",0.605326431034483,2017-07-18,2002.3768316214,0,759.4312993155,493.285099968,2073.5403122367,2093.1146401599,2022.0427742976,1374.1384817385,1354.9142982159,1227.5166641499,1743.8828234202,1863.3350387664,954.9683250498,2694.7362430278,1798.0309578231,1236.5998970706,1544.4566820756,2588.1708668751,902.0957663907,885.4646174694,743.2575197184,1284.6947400441,2482.8412467807,1154.5714673406,2935.3565987586,2184.9834494556,1375.195777308,1931.5080247266,1139.887913292,1465.717624686,1620.7775909064,1659.3355546308
200,"Day",1.15819689655172,2017-07-19,2571.6891580758,227.8133901378,1073.2140507069,666.8059844151,3189.7659423753,3203.8702111593,2742.082837461,1822.6131208596,1557.5705706069,1923.0352909659,2257.7853906603,2520.9214186761,1014.0589333773,3786.1384968684,2580.1014813237,1840.8904135641,2113.4458907262,3725.1550077984,1160.9870959125,1223.6571532791,1257.2876636685,2067.6376883448,3667.5104139207,1623.151925496,4459.0850666064,3379.1918481477,1878.0947423388,2923.3822751352,1721.6968920093,2230.7484652794,2242.2536095275,2550.5453612961
201,"Day",0.93102724137931,2017-07-20,2412.7291033812,485.3804673375,997.4858212503,639.3298863222,2924.7726041298,2897.8699325184,2558.4600119058,1651.883857533,1419.9544483461,1763.2486080333,2125.0412247762,2428.0069067019,945.6319699299,3556.2034423476,2377.6098870222,1723.6500618591,1874.7335449215,3469.19357565,1103.9129249229,1139.8504768281,1118.0990841858,1849.0726271637,3449.4810444981,1466.9484006915,4049.3770823826,3097.1955350871,1765.9832539752,2739.6867427137,1585.4209898373,2031.8942557368,2107.3296075129,2357.3397036924
