DOY,Interval,VPD,Date,LAON1,LAOS1,LAIN1,LAIS1,LAON2,LAOS2,LAON3,LAON4,LAOS4,LAON5,LAON6,LAOS6,LAON7,LAON8,LAOS8,LAON9,LBON10,LBOS10,LBIN10,LBIS10,LBON11,LBOS11,LBON12,LBOS12,LBON13,LBON14,LBOS14,LBON15,LBON16,LBOS16,LBON17,LBOS17
244,Day,0,9/1/2017,89.45853546,0,16.49831264,6.82563235,28.35296866,3.635060969,88.40356924,29.56963234,11.1987075,8.940823756,50.97977888,9.146065068,35.78571661,29.29457377,10.71643937,4.161021899,38.5127127,6.528869693,14.96943568,4.931991647,36.33795699,6.036559099,6.195186147,6.245095802,55.72515726,43.24721942,9.726569454,5.463532815,235.1044622,7.789103107,6.805169522,6.418401238
245,Day,0.023818471,9/2/2017,365.1454153,32.81105617,119.2859369,44.15449957,278.4080084,195.562543,265.8751352,115.0778375,144.3147268,181.4293642,240.7744899,287.5920684,221.6006324,379.793947,179.3688367,127.5311131,92.78559833,325.4427686,85.26293809,76.9941931,4.199284337,131.5743376,357.4052508,103.3232906,368.8246077,284.505096,187.4353701,41.51267331,313.4588594,145.1084112,153.9619607,222.3957183
246,Day,0.836695686,9/3/2017,2374.636437,470.5719168,689.3859374,413.5438777,1824.564676,1862.284962,2022.709686,1088.769107,1043.73827,1384.267464,1953.867708,2087.478913,1450.574295,2469.428599,1438.798408,1266.116182,1103.019779,2442.671928,522.1233023,841.2175125,698.7368097,1342.842986,2018.099207,1096.378461,2389.973551,1953.389248,1736.940213,710.3802106,895.2069536,1164.645905,1221.931826,2022.921348
247,Day,1.067610196,9/4/2017,2665.365281,1324.870275,867.5727266,482.1433581,2772.669333,2461.744625,2584.557755,1250.067788,1035.976173,2147.932291,2076.638123,2573.853225,1642.386601,3319.883751,1796.550355,1572.869488,1252.598901,3142.734002,433.3182138,846.1573963,835.6966115,1773.819834,2721.681231,1356.184295,3461.924346,2818.072579,2005.666755,1230.051531,1113.347466,1546.946137,1519.16143,2773.470923
248,Day,0.836636078,9/5/2017,2242.491054,142.7978148,764.3966948,415.5279309,2586.084915,2118.06034,2273.71985,1061.66664,964.9681538,1989.193589,1764.39463,2336.336775,1482.547499,3060.497774,1610.784549,1361.590449,1075.95578,2793.541264,313.7583401,685.0003856,731.7169822,1531.183043,2520.636089,1193.791057,3216.872798,2682.524943,1725.200091,269.7165041,1078.83235,1486.456975,1367.468137,2703.485397
249,Day,-1.31E-17,9/6/2017,155.7463006,806.7479263,33.36332098,17.03154191,82.60439327,32.30863523,152.9933258,56.84608104,81.10050615,88.05504039,46.08306682,44.70687275,7.935862134,86.91330685,46.09349224,5.868816321,127.9612833,38.64768784,1.590021951,1.692444759,29.25332013,25.05133648,76.25651115,70.60001112,85.74781236,65.91922162,198.6290137,0,252.3446629,38.00326479,26.16741404,36.48535083
250,Day,0.661169824,9/7/2017,2864.739389,218.4671533,819.4944029,470.7699427,2118.397819,1991.761103,2130.56012,1137.230811,1141.11976,1562.232741,2082.668251,2371.605882,1445.780294,2733.199599,1595.412617,966.2322362,1121.987374,2325.812445,419.0076415,744.8626559,627.2868626,1360.689005,2212.442511,1283.202382,2569.202581,2124.067911,1706.634559,1873.249636,1029.83886,1400.593867,1409.406599,2202.800007
251,Day,0.993370686,9/8/2017,2942.497454,79.82290295,995.612889,514.6952181,2799.460707,2501.244915,2546.659988,1196.710473,1131.186175,2201.717428,2141.419816,2693.273078,1561.838497,3280.017038,1847.997822,1399.025351,1211.899903,2887.563069,593.669891,780.5276134,789.2228298,1832.430506,2743.689926,1420.2472,3526.245047,2621.969348,2071.446941,1259.886325,1131.457373,1578.684495,1470.734544,2569.089163
252,Day,0.870784588,9/9/2017,2775.861121,140.7896218,893.2827053,475.7500909,2529.300381,2150.987342,2404.844413,1175.232687,1411.924898,1858.301911,2235.640248,2602.139282,1663.428402,3076.082326,1694.570723,1638.950703,1279.043341,2661.797403,361.774234,791.1343666,677.537246,1572.263675,2560.058692,1321.626781,3211.672934,2439.709807,1937.905375,1842.249973,1189.54201,1449.872795,1472.935964,2275.338756
253,Day,0.74106851,9/10/2017,2590.193828,0,787.2758592,412.4772262,2009.201596,1736.454685,2095.831902,1087.573079,1584.757343,1373.272049,2302.686219,2339.938711,1618.805398,2641.06855,1436.274495,1426.257848,1215.012244,2047.550175,333.4334964,814.1469183,621.6663848,1216.029054,2172.736286,1107.635103,2558.934812,1819.319285,1483.34524,1441.0352,940.959255,1139.739709,1293.489954,1758.884557
