DOY,Interval,VPD,Date,HBON9,HBOS9,HBIN9,HBIS9,HBON10,HBOS10,HBON11,HBON12,HBOS12,HBON13,HBON14,HBOS14,HBON15,HBON16,HBOS16,HBON17,HAON1,HAOS1,HAIN1,HAIS1,HAOS2,HAON2,HAON3,HAOS3,HAON4,HAOS4,HAON5,HAON6,HAOS6,HAON7,HAON8,HAOS8
152,Day,1.258993729,6/1/2017,1484.430852,2307.361383,1211.962688,920.5777276,1982.221087,1508.314032,2335.001642,2033.305777,1319.361217,1012.52502,2042.075951,2351.671047,1658.762764,1130.573997,1854.615627,2402.523251,1613.570982,1228.646463,1568.432687,1073.956228,1027.464886,1564.217493,856.6797578,1247.658578,2841.134053,1214.108719,1153.29501,1194.374306,839.2483932,1922.911174,1544.637285,1136.52645
153,Day,1.529624503,6/2/2017,1669.132918,2676.63938,1366.560086,1050.118767,2292.969786,1833.560937,2579.362861,2265.539956,1509.585399,1175.069683,2341.521906,2701.902975,1273.095415,1383.648121,2083.623913,2652.639345,1770.528756,1355.216942,1682.340152,1146.616334,1101.832288,1776.458813,938.3784924,1391.434704,3266.079168,1407.922817,1304.774605,1237.822643,1070.599616,2081.898711,1574.3245,1164.0657
154,Day,1.570033559,6/3/2017,1783.93187,3016.722021,1442.571172,1106.215494,2621.444835,2086.59689,2907.793749,2521.716902,1570.752591,1313.604929,2622.15707,3020.690046,1673.37441,1467.219226,2252.711045,2881.244376,1938.602351,1447.861172,1820.109167,1251.888333,1142.507511,1912.751744,887.3217228,1430.568048,3842.910859,1575.199029,1395.072629,1119.304998,1381.996922,2204.06982,1764.561178,1062.021124
155,Day,0.792730931,6/4/2017,1335.29314,2123.635046,1081.744067,809.880306,1867.802828,1495.109042,2166.72032,1791.32633,1136.770806,979.1446498,1878.688282,2170.938935,916.1438146,1092.44027,1656.247789,2103.742611,1424.603947,1053.178426,1369.109252,915.4028891,871.6607646,1416.747709,623.976403,1068.973384,2752.971741,1125.112889,1038.447387,757.9267293,779.8999935,1573.87376,1510.105678,755.5834454
156,Day,0.161247526,6/5/2017,301.1272907,383.3537933,286.207559,180.6554085,316.0902032,234.4707578,416.9939168,295.5522776,281.8521085,137.7379573,344.0130712,395.1459529,348.0465013,280.2222729,349.6028868,555.3803629,357.241597,227.2637528,295.1863186,185.0446653,179.2997944,288.2257059,259.6036186,308.2763367,367.2045984,186.9502821,257.0273709,243.313402,148.8768273,367.3682504,284.8621882,252.0731515
157,Day,1.229519661,6/6/2017,1428.206634,2181.694658,1237.875878,898.8082825,1791.481986,1403.809625,2029.976656,1732.598008,1314.819235,898.4475366,1866.837033,2193.482007,1353.459911,1184.354922,1695.941468,2350.491376,1499.491444,1178.725541,1560.460158,1025.753164,965.2652095,1462.939261,858.8466735,1240.719245,2391.4753,1077.797271,1176.748194,1169.392432,1852.007647,1736.768734,1464.438778,1120.958843
158,Day,1.004052542,6/7/2017,1463.775559,2109.512717,1287.549207,927.6535491,1871.388022,1424.454018,2082.773491,1794.684579,1424.032474,968.5743497,1905.302047,2184.23705,1358.388451,1431.522911,1743.750169,2397.060443,1601.114472,1208.816884,1553.735623,1023.714907,1006.127453,1577.329061,966.4331303,1337.668718,2284.874711,1085.997661,1218.150473,1110.344913,2620.935473,1722.575279,1457.882749,1098.894922
159,Day,0.654296569,6/8/2017,1044.845378,1426.464685,935.3556004,644.6537702,1349.343622,1004.728861,1517.63279,1295.187581,1052.043588,650.1624374,1348.404151,1555.780415,897.119891,1054.994508,1280.146991,1787.538877,1283.441036,873.012369,1082.938894,708.3495897,680.4412549,1133.548182,766.0355961,1030.223661,1604.253906,768.8208263,910.4319783,748.5336946,1119.264619,1272.255905,948.0053583,723.8067187
160,Day,1.163490847,6/9/2017,1415.998518,2236.243279,1178.938018,862.1431736,1961.698859,1544.34152,2204.116696,1934.747348,1273.780091,992.9007836,1979.475626,2454.067137,1034.264967,1333.679709,1812.506691,2372.817367,1680.979904,1263.716621,1615.667048,1065.438464,959.9741895,1507.314513,815.2481406,1246.437514,2784.277747,1217.497853,1190.756473,964.6148012,1692.68798,1835.80967,1490.956146,859.7521938
161,Day,1.377515254,6/10/2017,1768.076295,2842.121997,1428.3835,1099.587368,2494.089479,2064.74707,2904.585236,2492.502371,1566.998432,1293.167462,2554.327516,3016.136319,1500.657038,1605.811703,2175.026194,2870.008015,1991.547404,1458.177508,1927.299473,1329.980835,1213.312335,1825.420214,876.5509847,1434.428449,3671.129629,1573.377598,1438.85792,1171.588441,1333.616779,2204.880639,1748.172759,1124.650832
162,Day,1.239067667,6/11/2017,1646.055966,2588.883956,1373.479032,1033.302103,2250.770174,1860.155455,2671.431307,2263.592215,1496.59901,1181.17434,2271.369074,2674.388187,887.7730424,1537.266457,2018.027283,2693.175033,1859.223604,1341.645124,1752.371506,1217.960527,1139.779163,1703.805382,904.5672796,1400.730446,3156.556075,1464.946402,1363.632505,1062.600176,1698.998147,1893.529911,1472.595456,1047.00415
163,Day,0.910873051,6/12/2017,1379.853028,2099.179336,1175.9143,869.4010151,1795.074702,1491.535982,2162.833736,1825.439702,1295.337775,963.0202087,1833.610286,2050.099098,1249.797247,1320.964742,1693.68271,2314.709461,1549.830783,1113.705838,1435.1029,1008.852763,969.6843684,1429.040643,838.7037053,1214.481364,2434.067849,1135.216333,1152.555347,936.1346893,844.2652463,1690.471098,1295.821594,952.0228566
