"DOY","Interval","VPD","Date","HBON9","HBOS9","HBIN9","HBIS9","HBON10","HBOS10","HBON11","HBON12","HBOS12","HBON13","HBON14","HBOS14","HBON15","HBON16","HBOS16","HBON17","HAON1","HAOS1","HAIN1","HAIS1","HAOS2","HAON2","HAON3","HAOS3","HAON4","HAOS4","HAON5","HAON6","HAOS6","HAON7","HAON8","HAOS8"
182,"Day",0.694119482758621,2017-07-01,1197.8271167976,1678.7950418457,1021.641505326,758.4849443502,1427.2188099606,1258.1853365754,1811.4133208616,1494.8762376726,561.6463180851,817.7587227504,1640.05466256,1867.7255037075,1034.8415752095,1218.9487502943,1525.7219870367,2205.6793687656,1284.7282881246,983.3085598518,1339.5309780267,913.8863060748,838.3192441155,1158.5198718243,792.9257495058,1129.4169016068,1926.4436795106,997.7742433494,1038.0850478586,989.7530567184,883.8568343097,1272.2139424107,1096.4384439345,856.3782321396
183,"Day",0.850653534482759,2017-07-02,1477.6784366238,2071.5270000021,1197.7531099137,909.8868484971,1865.2246791894,1656.0661298463,2278.1238724197,1959.6461742459,1280.3870978424,1114.7262007689,2083.9283038656,2408.9809971717,1021.179552786,1447.3065248487,1856.2831316037,2702.3656856445,1619.3202326379,1194.4601340606,1626.9512520483,1118.7886576563,1027.8378085662,1447.0045797609,856.7948892492,1336.3099665615,2613.1338925263,1307.441803869,1249.4675315493,1857.4270789644,1703.5093853613,2435.0965700247,2093.2180404696,1692.8642986245
184,"Day",1.05804274137931,2017-07-03,1813.7039712696,2611.201797936,1455.2541230364,1172.4063215859,2383.3524559401,2101.9031770023,2696.5353474954,2371.5330131223,1998.8294282154,1522.923914799,2593.6407640773,3232.8183726909,1256.4954220158,1745.020186353,2246.965059879,2949.0412115016,2171.6922407877,1578.0977992674,2126.4502647798,1505.2798169064,1346.7028434597,1817.4103573572,1121.2630820829,1692.8642834163,3730.6190641464,1849.0364368065,1619.8972525935,1638.9908394489,1467.2741110974,2319.4844349723,1935.3376259028,1438.2357345027
185,"Day",0.76917825862069,2017-07-04,1256.509217538,1798.3234477386,1024.5843257769,804.9306438099,1529.476859142,1381.3402061259,1827.3571203681,1542.7252801476,1256.7772662192,942.5527843185,1729.7571379761,2002.4005303755,1012.1900512761,1241.7589113192,1556.7578632206,2043.8243112339,1424.0971010529,993.5415634464,1379.2601890323,945.8373338298,902.2734096552,1241.1196810353,794.0350712349,1098.0438315102,2238.6335854131,1104.6389300469,1028.3195836872,1319.2034157099,1177.13111283,1762.9361454753,1480.8399778071,1216.4846314509
186,"Day",0.344386551724138,2017-07-05,887.3351113356,1183.6645555275,791.7881021631,634.31533755,1047.1970694636,909.3191077782,1211.530628268,1004.2295534892,706.6499846454,642.0553647444,1083.3105950739,1466.8376376285,1237.0236388353,911.4574432878,1084.0807754703,1590.8836730112,1252.9221735636,890.7809054112,1120.5747900513,819.4288721922,652.4112379698,895.9505662143,878.8948618284,976.7914021098,1574.4393032175,918.6073542234,953.3772763074,1267.9159871709,1148.9143468041,1443.4236307098,1266.5376032589,1090.5352976592
187,"Day",0.73517,2017-07-06,1449.3832893585,1889.5108515462,1207.963619964,886.4882111169,1728.0460492443,1477.7352513,2103.7234930902,1851.8545024326,1309.0704384537,1008.9765319167,1905.6239119485,2195.819931618,1184.851957788,1403.3694935268,1758.8452622994,2492.2921245633,1567.0566141768,1170.1963272051,1633.2187274586,1103.944806018,1018.7886960657,1463.6846886255,941.0291961966,1340.9119763613,2439.0082475622,1231.07552415,1225.5734139723,1370.8282224393,1160.6971689297,1797.2291117709,1466.7264784764,1210.7870968374
188,"Day",0.853727620689655,2017-07-07,1344.4591677354,1770.5136460635,1160.4376508121,851.7200807331,1613.2708652544,1403.4508112367,1973.5938958518,1746.636029064,1166.7213492156,947.267898462,1851.1747439013,2109.5728348356,1172.2871125467,1358.3340035433,1664.8791633873,2327.7469822002,1486.3942073646,1123.0899915987,1544.9034518487,1061.595989343,944.9979827112,1379.4694609041,934.4577747429,1317.7888638831,2341.738680858,1184.7182205051,1199.1805018128,1311.4951720947,978.9579608778,1635.0805618011,1236.4944752187,1098.4073708052
189,"Day",1.00795965517241,2017-07-08,1691.2835494164,2351.6462188323,1382.2988561883,1062.1231342731,2218.8563776782,1902.2611264281,2637.9721668015,2325.894746967,1367.169998157,1246.275636057,2401.0451825337,2750.0322028509,1323.2118425112,1685.9879809542,2130.9009600708,2937.5965786986,1950.8303007936,1404.3314994372,1956.5874265599,1340.818525017,1219.6100691243,1738.3869733842,1048.8113304237,1549.0818596934,3252.9887188668,1590.9649892685,1490.7365737578,1528.2342848016,1249.2484260525,2117.6482662801,1548.4072964859,1301.3979941439
190,"Day",1.00803320689655,2017-07-09,1663.1990884422,2383.7962716036,1389.8789369748,1082.8235120373,2261.7166906197,1911.1280089752,2561.6990222262,2318.541985908,1517.4786718116,1261.2529551672,2448.8714841327,2776.2480526959,1087.9290045396,1723.5927097326,2118.6065672496,2931.2868025503,1984.4594035722,1438.6403745027,1917.8671993857,1343.4545504781,1225.4070701943,1795.5903777264,1089.6319519434,1528.7420879928,3222.6827734017,1623.7355746311,1487.8623202137,1435.3410114999,1272.4532437905,2103.6497089113,1521.1097632107,1321.8589045467
191,"Day",1.20373603448276,2017-07-10,1682.8429090284,2463.5862742851,1377.7493526675,1080.6516117513,2288.8428861249,2034.1264597254,2678.2639553871,2405.3607022365,1504.9404198351,1293.5747355633,2547.6491841795,2800.9986744519,1179.7705270899,1703.519073288,2154.9834231282,2948.522709051,1968.5894499774,1398.2543557353,1927.44552087,1365.3978397524,1239.0893630352,1741.6920273381,1012.7644808886,1518.1995454371,3362.2867954341,1629.1809846837,1448.4643110333,1433.4321866598,1040.4052722756,2112.0958462932,1538.2497197322,1222.850791161
