"term" ".y." "group1" "group2" "df" "statistic" "p" "p.adj" "p.adj.signif"
"1" "REW*ID" "SapflowPerGroundArea" "HA" "HB" 791 -4.49833232739376 7.87530374404391e-06 0.000220508504833229 "***"
"2" "REW*ID" "SapflowPerGroundArea" "HA" "HC" 791 9.81669694700703 1.5285027953126e-21 4.27980782687527e-20 "****"
"3" "REW*ID" "SapflowPerGroundArea" "HA" "HO" 791 -0.0370319437509633 0.970468879251428 1 "ns"
"4" "REW*ID" "SapflowPerGroundArea" "HA" "LA" 791 11.7598673592306 1.53977436216565e-29 4.31136821406381e-28 "****"
"5" "REW*ID" "SapflowPerGroundArea" "HA" "LB" 791 13.1124060053723 1.09776433668995e-35 3.07374014273187e-34 "****"
"6" "REW*ID" "SapflowPerGroundArea" "HA" "LC" 791 9.57912894992375 1.22405018177473e-20 3.42734050896925e-19 "****"
"7" "REW*ID" "SapflowPerGroundArea" "HA" "LO" 791 10.3767529482684 9.72937968983558e-24 2.72422631315396e-22 "****"
"8" "REW*ID" "SapflowPerGroundArea" "HB" "HC" 791 14.3304174843428 1.4079566698985e-41 3.9422786757158e-40 "****"
"9" "REW*ID" "SapflowPerGroundArea" "HB" "HO" 791 4.46995202964527 8.96652615050066e-06 0.000251062732214019 "***"
"10" "REW*ID" "SapflowPerGroundArea" "HB" "LA" 791 16.2590396044003 1.68320442441136e-51 4.7129723883518e-50 "****"
"11" "REW*ID" "SapflowPerGroundArea" "HB" "LB" 791 17.6744391945895 3.59312957121914e-59 1.00607627994136e-57 "****"
"12" "REW*ID" "SapflowPerGroundArea" "HB" "LC" 791 14.1521708289103 1.07230035115563e-40 3.00244098323576e-39 "****"
"13" "REW*ID" "SapflowPerGroundArea" "HB" "LO" 791 14.9491080208626 1.09523626195726e-44 3.06666153348032e-43 "****"
"14" "REW*ID" "SapflowPerGroundArea" "HC" "HO" 791 -9.85217330577355 1.11657580032904e-21 3.12641224092131e-20 "****"
"15" "REW*ID" "SapflowPerGroundArea" "HC" "LA" 791 1.93772666943763 0.0530121845945628 1 "ns"
"16" "REW*ID" "SapflowPerGroundArea" "HC" "LB" 791 3.34331787155485 0.00086676280417621 0.0242693585169339 "*"
"17" "REW*ID" "SapflowPerGroundArea" "HC" "LC" 791 -0.0731908072418601 0.94167278478344 1 "ns"
"18" "REW*ID" "SapflowPerGroundArea" "HC" "LO" 791 0.660092736637218 0.509386479631883 1 "ns"
"19" "REW*ID" "SapflowPerGroundArea" "HO" "LA" 791 11.7768716585519 1.29709906690944e-29 3.63187738734644e-28 "****"
"20" "REW*ID" "SapflowPerGroundArea" "HO" "LB" 791 13.2110017795046 3.76313133332279e-36 1.05367677333038e-34 "****"
"21" "REW*ID" "SapflowPerGroundArea" "HO" "LC" 791 9.74044472660271 2.99310676683555e-21 8.38069894713955e-20 "****"
"22" "REW*ID" "SapflowPerGroundArea" "HO" "LO" 791 10.5096363248319 2.84231578253888e-24 7.95848419110887e-23 "****"
"23" "REW*ID" "SapflowPerGroundArea" "LA" "LB" 791 1.40660806003852 0.159936389815388 1 "ns"
"24" "REW*ID" "SapflowPerGroundArea" "LA" "LC" 791 -1.98533854790692 0.0474517574424965 1 "ns"
"25" "REW*ID" "SapflowPerGroundArea" "LA" "LO" 791 -1.26502388502187 0.20623531143244 1 "ns"
"26" "REW*ID" "SapflowPerGroundArea" "LB" "LC" 791 -3.40717711466945 0.000689544377321007 0.0193072425649882 "*"
"27" "REW*ID" "SapflowPerGroundArea" "LB" "LO" 791 -2.68098499415716 0.00749346351838008 0.209816978514642 "ns"
"28" "REW*ID" "SapflowPerGroundArea" "LC" "LO" 791 0.736986274947741 0.461349230053561 1 "ns"
