"Group.1" "x"
"1" "HA1" 247.885429814305
"2" "HA2" 238.617748957262
"3" "HA3" 272.098564824771
"4" "HA4" 319.229867183244
"5" "HB1" 313.530532080218
"6" "HB2" 292.33470227469
"7" "HB3" 313.111564337018
"8" "HB4" 274.865818827304
"9" "HC1" 197.382249352474
"10" "HC2" 191.441288174102
"11" "HC3" 192.92524261222
"12" "HC4" 191.042115969132
"13" "HO1" 266.409936735275
"14" "HO2" 294.895244690156
"15" "HO3" 250.47377256212
"16" "HO4" 235.597522791321
"17" "LA1" 180.531899482525
"18" "LA2" 196.869702023687
"19" "LA3" 176.464165907559
"20" "LA4" 158.896007475004
"21" "LB1" 175.621442212237
"22" "LB2" 176.962570939092
"23" "LB3" 175.104827685415
"24" "LB4" 124.15961691014
"25" "LC1" 181.796014967235
"26" "LC2" 184.16427336219
"27" "LC3" 184.189052311001
"28" "LC4" 173.297195342289
"29" "LO1" 210.02281580803
"30" "LO2" 194.271831493866
"31" "LO3" 153.302160480644
"32" "LO4" 159.51053731523
