Index,Date,DOY,Time,VPD,PAR,HCOS1,HCON1,HCON2,HCIS9,HCON3,HCOS4,HCON5,HCOS6,HCON6,HCOS7,HCON8,HCOS8,HCIN8,HCON9,HCOS2,HCON4,LOON10,LOOS10,LOIN10,LOIS10,LOON11,LOOS11,LOON17,LOOS17,LOON15,LOOS15,LOON14,LOOS14,LOON12,LOOS12,LOON16,LOON13
1,7/1/2017,182,0,4.44E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7/1/2017,182,15,0,0,0,0.088708715,0,0.000259819,0.006808451,0,0,0.006322904,0,0,0.114830895,0,0.021964541,7.77E-05,0,0,6.73E-05,0,0,0,0.022419521,0,0,0,0.036418496,0,0,0.009947374,0.061735357,0.287081532,6.95E-05,0
3,7/1/2017,182,30,0,0,0,0.130868812,0,0.000611362,0,0,0,0.005698006,0,0,0,0,0.031991993,0.028769808,0.011688586,0,0.000157726,0,0,0.013405495,0.052625947,0,0,0.003391079,0.085481237,0,0,0.02334914,0.14490702,0.01035235,0.000163524,0.013415604
4,7/1/2017,182,45,0,0,0,0.020660167,0,0.001006269,0,0,0,0,0,0,0,0,0.183966241,0.000299706,0,0,0.00690063,0,0,0.134886214,0,0,0,0,0.096557367,0,0,0.015453588,0,0.330201901,0.000268732,0.041444391
5,7/1/2017,182,100,0,0,0,0,0,0.001433474,0,0,0,0,0,0,0,0,0.190029315,0.035241248,0,0,0,0,0,0.074088844,0,0,0,0,0,0,0,0,0,0.256248359,0.000382474,0.073916564
6,7/1/2017,182,115,4.44E-16,0,0,0,0,0.001886674,0,0,0,0,0,0,0,0,0.232405594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186129876,0.000503024,0
7,7/1/2017,182,130,-4.44E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202326295,0,0,0,0,0,0,0.013425981,0,0,0,0,0,0,0,0,0,0.120713987,0,0
8,7/1/2017,182,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155759029,0,0,0,0,0,0,0.005719764,0,0,0,0,0,0,0,0,0,0.06152993,0,0
9,7/1/2017,182,200,0,0,0,0,0,0,0,0,0,0,0,0.015204529,0,0,0.170288199,0,0,0,0,0,1.747858093,0.074202516,0,0,0,0,0,0,0,0,0,0.012343736,0.000897781,0
10,7/1/2017,182,215,0,0,0,0,0,0,0,0,0,0,0,0.017587899,0,0,0.21205104,0,0,0,0,0,2.035883147,0.062952823,0,0,0,0,0,0,0,0,0,0.137796704,0.001039095,0
11,7/1/2017,182,230,0,0,0.007577113,0,0,0,0,0,0,0,0.086944802,0.097235968,0,0,0.164818794,0,0,0,0.008308399,0,0,0.097807299,0,0.042832807,0,0,0,0.033463908,0,0,0,0.315029711,0,0
12,7/1/2017,182,245,0,0,0,0,0,0,0.003245947,0,0,0,0.04218865,0.100634481,0,0.017919908,0.170789802,0,0,0,0.001287856,0,0.279193246,0.085910769,0,0,0,0,0,0.129817123,0,0,0,0.258021886,0.001329112,0
13,7/1/2017,182,300,0,0,0,0,0,0,0,0,0,0,0,0.035793778,0,0,0.194629194,0,0,0,0.001433474,0,0,0.074316221,0,0,0,0,0,0.020304728,0,0,0,0.236442286,0.001479955,0
14,7/1/2017,182,315,0,0,0,0,0,0,0.008420156,0.002717041,0,7.43E-05,0,0.062096936,0,0,0.191842243,0,0,0,0.001581926,0,3.312224137,0.063048848,0,0.003810702,0,0,0,0.224236294,0,0,0,0.336653738,0,0
15,7/1/2017,182,330,0,0,0,0,0,0,0.027537632,0.052114097,0,0,0,0.077801614,0,0,0.225554867,0,0,0.014979318,0.009134089,0,5.749040344,0.052151852,0,0,0,0,0,0.185280399,0,0,0,0.405686061,0,0
16,7/1/2017,182,345,-4.44E-16,0,0,0,0,0.003537386,0.023614813,0.02468607,0,0,0,0.068353711,0,0,0.289399682,0,0,0.002717041,0.001886674,0,6.001595408,0.005737226,0,0,0,0,0,0.033463908,0,0,0,0.327108335,0,0
17,7/1/2017,182,400,0,0,0,0,0,0.004066899,0.051000921,0.014979318,0,0,0.039376462,0.05312151,0,0,0.229188395,0,0,0.002717041,0.009552209,0,6.147526775,0.031660349,0,0,0,0,0,0.078679466,0,0,0,0.251942252,0.002108673,0
18,7/1/2017,182,415,0,0,0.000444782,0,0,0.004609921,0.035790579,0.010509948,0,0,0.027632054,0.038674297,0,0,0.163014483,0,0,0,0.00220079,0,4.536242163,0.022218131,0,0,0,0,0,0.062828388,0,0,0,0.180801251,0.002272074,0
19,7/1/2017,182,430,0,0,0,0,0,0.005165017,0.012606971,0.002717041,0,0,0.01199995,0.025191172,0,0,0.093675667,0,0,0.002717041,0.002361243,0,9.132355252,0.01348774,0,0,0,0,0,0.047712521,0,0,0,0.114639859,0.002437711,0
20,7/1/2017,182,445,0,0,0,0,0,0,0.001979337,0.002717041,0,0,0.007146386,0.008572289,0.006429574,0,0.039907899,0,0,0,0,0,3.084386801,0.005746075,0.00108538,0,0,0.004682531,0,0,0,0,0,0.009764077,0,0.005603905
