"Date","DOY","Interval","VPD","HCOS1","HCON1","HCON2","HCIS9","HCON3","HCOS4","HCON5","HCOS6","HCON6","HCOS7","HCON8","HCOS8","HCIN8","HCON9","HCOS2","HCON4","LOON10","LOOS10","LOIN10","LOIS10","LOON11","LOOS11","LOON17","LOOS17","LOON15","LOOS15","LOON14","LOOS14","LOON12","LOOS12","LOON16","LOON13"
2017-06-01,152,"24hr",74.981027,1555.100675888,2228.401897174,1510.727829252,966.188091791,681.09503805,1259.491164375,1486.685469656,2368.621535033,929.329818534,917.085233824,1779.586079413,1328.275306979,662.698384864,2870.042875242,1991.658011416,1398.759984145,NA,2263.47256232,2122.065490152,889.505864701,2522.782436054,4777.747907405,2020.881825085,3949.791978861,2971.598286865,1519.726764579,3351.184026116,2440.701765473,7153.526061995,1076.970380293,1839.195208221,3317.382733502
2017-06-02,153,"24hr",91.6940487,1734.928255162,2569.160140895,1790.503653498,1015.23327961,792.885721391,1394.138626255,1733.912463918,2708.752548428,1013.392548821,1115.521028199,2184.172297847,1532.91541563,775.248176977,3348.472281021,2236.67623481,1617.081942688,NA,2617.245709461,2459.925725496,989.045245139,2726.357238254,5236.96008469,2249.330652326,4420.102584302,4424.947954309,2016.291663491,3622.163120116,2737.715685308,7819.794833997,1206.534047506,2011.912994496,3760.088945083
2017-06-03,154,"24hr",94.087924,1820.789675984,2895.628468566,1965.314502759,1088.837825308,832.286172099,1444.344225095,1911.936301699,2969.968135336,1000.298313963,1150.35214737,2422.95140149,1584.436317541,797.734759033,3690.904868471,2530.505381586,1671.432797954,NA,2744.195255439,NA,979.56808442,2965.595613473,5639.690509702,2393.425544011,4974.224764115,4076.314804375,2108.724615553,3902.240897288,2999.900461114,7895.184211421,1073.070941883,2276.378958289,4017.071283606
2017-06-04,155,"24hr",45.978394,1308.346255442,1954.834157231,1333.328130722,903.916978508,638.651862586,1068.249613914,1251.068515639,2203.402307558,768.881929701,882.123213073,1559.224137678,1215.428584113,505.561449032,2699.095833687,1776.213135378,1239.31220261,NA,2002.269603193,NA,746.072963299,2189.968856682,4221.055950268,1675.013102622,NA,3350.436992424,1735.015610339,2796.017701645,2192.560052023,5938.499773861,853.572360634,1584.668652147,3044.669843217
2017-06-05,156,"24hr",9.191109,288.842635441,366.712082003,299.585779298,315.817471519,142.025981225,378.93912182,254.472626673,491.204018259,224.327979904,238.60377237,322.811506889,343.763973614,157.175209532,668.247066301,328.302805806,407.304561197,NA,643.202537793,NA,366.809455312,642.148599304,1194.471484313,383.951978945,NA,822.112287552,584.01946779,716.605873664,545.292518416,1051.09989794,512.020350012,485.15476812,913.185276985
2017-06-06,157,"24hr",85.80676,1441.09439025,1920.731418684,1397.955659563,1045.882040467,654.219791674,1228.710625367,1292.840382722,2078.981358386,870.544188488,901.949733992,1646.535180408,1306.454834309,549.872576234,2513.678018365,1795.347203971,1337.223804239,NA,2320.679112658,NA,1039.334211157,2292.516158751,4219.591720895,1865.852763191,NA,3353.68680197,1560.790160127,3091.02819508,2350.898262785,5469.358702699,1367.988947472,1799.443282383,3235.432247022
2017-06-07,158,"24hr",70.79616,1432.684135732,1897.058329392,1398.57855713,1147.006371431,713.278190656,1304.078110515,1324.312185282,2084.52382523,951.559406197,968.67097448,1560.350343239,1361.62068929,556.05487232,2574.674491364,1688.213049525,1437.629936834,NA,2312.795816252,NA,1200.004167276,2282.509073429,4279.995866616,1881.727433448,NA,3173.356855614,1820.227281258,3088.790318191,2292.669554555,4833.196197631,1326.764177667,1805.60078077,3293.590801471
2017-06-08,159,"24hr",47.517702,977.798922649,1428.437464217,1066.273658721,806.694222608,484.062306391,1034.328341178,970.183031969,1511.673935941,650.495702616,672.834034527,1121.839594479,1048.526582713,393.046339284,1960.115998847,1232.948622222,1129.714602021,NA,1774.507323847,NA,1029.215527497,1790.185187666,3354.475250311,1429.394473078,NA,3733.516441946,1532.009771865,2286.307081705,1760.122355192,3329.101994358,1184.442552176,1329.302712985,2693.222267635
2017-06-09,160,"24hr",69.37009,1652.854956456,2401.064683182,1680.331966833,1152.658070365,837.161197446,1401.41449725,1617.347035255,2485.205014353,987.720925019,1134.06760945,1948.911946245,1515.552319422,642.202650446,2965.386615937,2154.391088861,1557.954307761,NA,2633.697049752,NA,931.83830231,2701.823838232,5402.163952711,2181.575418543,NA,4182.039652856,2030.427273979,3467.221536651,2831.596716848,6520.161383925,1311.243519882,1957.047639368,3688.958876962
2017-06-10,161,"24hr",81.957761,1854.35927853,2704.990768773,1867.943075851,1124.819210697,892.03563529,1396.277408462,1784.654460912,2879.932680757,968.785224921,1137.533687868,2279.132475155,1556.485558447,366.490961891,3264.754576357,2541.190886116,1594.760034402,1922.653887579,2863.705215877,2653.184648152,768.814077114,3278.935012523,6333.357543408,2466.03877761,5197.421067481,6034.211341762,2102.695346897,4154.184026444,3351.148824305,10266.686432848,1085.766097639,2161.259072917,4076.822215659
2017-06-11,162,"24hr",75.418582,1683.801573985,2366.591920778,1648.624472902,1120.580658852,797.208270275,1318.857489116,1536.29279556,2580.477535156,879.087131041,1108.097347284,2066.134412018,1496.836418545,784.499164052,2764.982843805,2187.472655968,1515.007867784,1784.79842421,2635.72665737,4982.551328761,780.288075297,2989.926278993,5658.003562508,2232.862504058,4676.017743174,4267.251481621,1907.583681671,3806.071153666,3041.681289241,8324.423334601,1105.031750469,2009.718091008,3820.426170536
2017-06-12,163,"24hr",53.802174,1428.417563206,1873.420044043,1347.649824174,992.354615423,664.868143841,1166.532816616,1193.352425395,2122.465492163,808.210480963,1009.23712237,1681.317451952,1260.699786176,635.404103635,2102.364838531,1740.043805919,1351.024933367,1613.722817397,2324.391927217,2779.166601305,699.359623324,2564.818029883,5004.082104128,1845.406677292,NA,3636.332720242,1801.899694114,3127.725082427,2539.58752947,5780.994718454,1159.460845739,1766.286771965,3295.189993195
2017-06-13,164,"24hr",41.443446,1102.291760467,1376.871565633,969.150541718,806.502534507,520.386494914,938.396087384,890.407778976,1608.950444122,676.455333419,826.261929217,1215.237176528,1057.561806253,1233.354474635,1625.759422374,1228.013197507,1144.756004952,1442.224018564,1862.697677136,1446.867424655,769.03070717,1933.874687927,3830.660102961,1425.299053462,NA,2427.883369534,1531.594270538,2348.471990271,1854.12829217,4104.965699711,1144.29134802,1319.912241105,2622.311744232
2017-06-14,165,"24hr",60.250442,1564.156996724,2135.272125557,1555.611433597,981.053179539,712.451586101,1240.254434804,1423.931422892,2276.054967525,901.90012093,1017.700714251,1777.497966595,1372.465763715,1307.38486373,2278.858502053,1909.39320842,1402.882651443,1696.058722091,2469.646797227,2133.227187164,849.800491558,2806.846645189,5203.093729027,2040.248589007,3364.304985232,3527.384884615,1720.409191573,3344.895893773,2632.523190354,6996.059208629,1110.886735623,1873.719281905,3534.557257335
2017-06-15,166,"24hr",30.926736,1068.996648345,1381.07391192,1060.795316878,808.863503603,522.021031346,910.251090319,988.368644155,1616.671097357,649.860408917,724.003198656,1200.102333237,958.185777407,357.85795593,1579.276994021,1301.747905244,1062.160611926,1290.631730629,1802.406373799,1379.991318589,684.4120613,2050.353949984,3802.070680734,1464.341015437,2535.973616427,2822.149855317,1444.447779798,2366.937291978,1925.833671383,4740.841123108,959.31741356,1288.274804771,2656.65591298
2017-06-16,167,"24hr",22.690349,751.345175409,874.860798149,753.713834872,725.297395478,398.825373086,657.981511337,688.892952421,1146.161492754,523.628662845,533.29561364,766.74383161,625.050323892,260.165030291,1203.461587874,805.520974627,697.417241276,940.444832032,1363.50869119,1025.728264456,585.298228756,1529.679951468,2936.901622461,1137.387976003,1556.475984458,2509.537944189,1553.587136432,1759.022788543,1318.67089876,3282.748522581,927.961948787,984.54675671,1672.789571667
