"Date","DOY","Interval","VPD","HCOS1","HCON1","HCON2","HCIS9","HCON3","HCOS4","HCON5","HCOS6","HCON6","HCOS7","HCON8","HCOS8","HCIN8","HCON9","HCOS2","HCON4","LOON10","LOOS10","LOIN10","LOIS10","LOON11","LOOS11","LOON17","LOOS17","LOON15","LOOS15","LOON14","LOOS14","LOON12","LOOS12","LOON16","LOON13"
2017-09-01,244,"24hr",-4.44e-16,6.5759528,13.814410232,28.02059856,12.083604265,37.316704751,60.347233293,9.019570069,15.383084339,55.07856395,40.566872564,2.65912886,33.952483319,123.065381189,24.62908105,6.050758259,107.019642112,90.512924182,NA,24.965551081,37.270258225,4.856688811,525.746892259,5.522622367,15.128547519,5.543477315,169.977854459,5.0748588,20.670579698,55.96131666,378.418895223,7.38828325,182.973090125
2017-09-02,245,"24hr",1.214742,51.570509795,110.779272429,106.480798917,1.278237335,30.793758593,17.734436747,69.453476029,119.886015028,44.217754547,6.884965065,50.483587341,27.344496831,10.408785195,171.598356153,125.790990187,115.111249941,160.722876919,NA,120.566617899,52.693279724,273.458986054,775.479497605,180.357492414,242.239551121,415.115024957,27.828460531,264.394311096,230.911650038,601.826997106,72.773605539,79.355059637,210.521576372
2017-09-03,246,"24hr",45.061515,1050.318119213,1374.749773211,1123.19853013,517.415014951,468.747458059,796.816635207,859.571444034,1526.681006414,754.886535586,591.810090669,1235.639931686,882.123904682,634.872519655,1816.620596736,1476.884069026,924.859625454,1334.159318594,NA,1068.475336372,581.958242273,1795.300510614,2243.500029849,1576.36293913,1834.855730454,2196.193657073,783.794636386,2089.876824579,1723.489374668,3535.136268711,629.947299894,1198.229490555,992.685608012
2017-09-04,247,"24hr",58.34705,1344.978212718,1860.165049807,1528.007681631,652.314858338,624.065072562,955.320912718,1138.3968972,2068.481538213,942.656659325,802.355793154,1476.951807823,1091.91185757,487.182370669,2878.624661652,2007.4183532,1112.028749932,1540.754369479,NA,1209.472200367,665.242743576,2369.195101414,3100.722172837,1821.347022454,2330.37437227,2954.711169793,883.044692059,2757.571342747,2256.911270773,5037.250268679,383.766225637,1436.089838907,1184.738527853
2017-09-05,248,"24hr",42.66844,1101.1901493,1589.896437335,1255.705394172,502.06854338,560.1892188,755.378783336,967.289647993,1783.823990221,831.178720017,629.302944594,1254.890026477,910.780798853,691.670923036,2019.443682705,1670.625996931,881.310153816,1253.554666124,NA,1023.706541401,588.969203429,2109.989757224,2518.795892856,1529.853026281,2050.667230531,2697.070387119,795.947364325,2414.180243821,1967.601290959,4341.892243354,296.784470246,1153.928915943,975.957277357
2017-09-06,249,"24hr",-4.44e-16,59.286147328,117.591448494,65.680118949,36.334757229,49.297833676,78.129371238,67.918710691,92.199022449,37.354781848,26.959013709,81.491490985,59.596324143,57.876955787,67.807702756,132.559906511,50.099409237,61.582026547,NA,11.945095822,7.847984496,48.010691778,259.03247196,117.105239138,91.55546576,102.100375479,163.827283743,46.406202686,65.189087394,69.614565189,426.824841769,25.087761618,114.89831969
2017-09-07,250,"24hr",35.5439725,1108.684772902,1572.430299417,1227.407355387,487.958451332,596.462138842,840.899318338,1060.16741729,1715.673413301,821.150043941,665.613678257,1456.54592493,979.083474496,520.371992559,2118.942044192,1634.636202292,990.347358485,1339.331917224,NA,1093.422202673,632.769713996,1961.261552851,2212.165533629,1975.763896838,2154.968306927,2637.787581949,763.442520148,2452.993165066,2064.207000455,4206.214215583,1145.281745641,1300.979598855,1028.470346556
2017-09-08,251,"24hr",NA,1257.407961237,1959.289176676,1453.915998509,342.755738151,785.075953145,853.031552844,1268.804521398,2097.825365287,904.166854446,710.56176527,1561.242760603,997.903223645,384.568246179,2353.410675483,1959.478690935,1004.09681319,1350.977662184,NA,1138.716363283,572.795537744,2298.676264505,2582.335350313,2372.929507116,2840.179013877,3142.474396144,828.173304255,2967.760918944,2534.496451931,5438.40546158,509.934309917,1393.376522847,1163.546556308
2017-09-09,252,"24hr",47.1944114,1255.588259905,1758.853610405,1382.446207466,552.965687695,711.573172702,1007.441102841,1197.701409191,1968.001134434,982.985340948,792.292499675,1500.946492237,1108.734187527,480.990884391,2270.84939896,1754.658408424,1158.972442839,1603.855510656,NA,1324.356216971,740.654003364,2309.324767492,2683.786820984,2169.566576638,NA,2871.82998568,853.835619453,2740.93096249,2302.342096527,4292.939998982,393.613871085,1449.358531338,1230.386504434
2017-09-10,253,"24hr",43.434464,1094.958820719,1363.97566203,1074.035925043,560.827884733,511.803973524,905.462253116,930.171085458,1550.841108548,889.205140778,705.340076005,1192.442779579,954.753603125,421.110404691,1907.432081871,1324.245359547,1070.831301647,1417.911513732,NA,1256.488241263,700.380540912,1960.787848697,2384.248551654,1735.861680288,NA,2446.075847464,829.107794432,2200.910978109,1813.016763846,3121.638578292,510.586806322,1296.328003081,1144.775558799
2017-09-11,254,"24hr",28.24154,178.626895929,246.352220423,203.150917586,167.643907222,28.968738497,210.626680687,138.558631646,354.309823941,150.026844125,73.74483956,212.513166872,203.724454848,115.265604801,623.466878633,213.740964197,255.880314372,489.088687261,NA,508.966229704,302.553601202,766.121362848,568.623362593,452.288086522,583.647898993,663.476666094,107.007141925,630.045811688,430.255849537,848.330768727,91.144459291,283.840353909,238.694008209
2017-09-12,255,"24hr",3.797695,100.464447516,151.62830217,109.962228274,8.511767944,70.007721016,165.08031845,101.675695028,127.993975166,71.110944722,87.283399792,114.795242326,50.946125399,172.832060942,104.351703731,143.948604413,138.740076658,90.009114261,NA,28.139712979,5.01231511,101.917524243,428.947015286,165.487809149,258.556138582,122.149367677,291.070960648,161.029787593,134.638826294,230.060812882,164.016881481,31.430062414,236.339486612
2017-09-13,256,"24hr",30.153042,837.901707996,1006.280355997,813.015531838,468.259490129,450.455315539,837.742888485,701.19939721,1167.512471458,721.386429063,633.685159372,934.152204176,772.976908464,281.977187474,1361.207093883,1010.544497525,932.248275073,1095.926871548,NA,1005.043173627,637.658060743,1387.072868345,2524.454869892,1250.288874399,1371.188943819,1648.644438704,893.960006168,1727.141460426,1394.28836024,2406.555970183,847.40710794,1095.631589651,955.071194261
2017-09-14,257,"24hr",32.608522,851.323298434,1058.120475266,877.183114318,518.35443116,440.838625718,776.64659559,769.054021418,1226.5466342,746.52230677,608.635050771,997.571376279,806.356717748,286.775290918,1538.723673139,1095.709382763,899.482123869,1174.081870097,NA,1085.327812217,635.023222815,1633.976040302,2127.112688664,1460.782443869,1679.213016364,2104.199031275,735.651031791,1935.252953219,1512.033133898,2683.383640284,509.641862329,1123.064725819,971.327189581
2017-09-15,258,"24hr",29.914583,880.360215374,1129.360524965,917.743279503,478.528377791,456.610243657,771.701738917,841.9486062,1353.927476551,761.540230895,604.354063021,998.827635148,766.463067931,316.262844085,1681.67331681,1188.595479874,900.419613632,1225.355404461,NA,1045.136887391,570.504691597,1760.076294551,2053.287647869,1517.198797434,1835.668246274,2268.300824503,716.728084738,2016.167913087,1584.959435227,2876.175602307,370.927294048,1076.039120923,955.679858693
2017-09-16,259,"24hr",44.862567,1128.70543321,1445.504016111,1136.785868835,546.819875608,652.33841373,940.402606279,1023.671933098,1772.938674885,1007.041401554,781.595567932,1274.309231127,971.021089438,446.385684665,1932.782251709,1493.561253842,1089.908359119,1417.482459347,NA,1175.586989022,623.794709252,2033.309153843,2298.23868471,1799.691530945,2348.48297683,2767.81438342,808.35474545,2564.984892197,2047.915021543,3862.098928899,464.25420304,1320.101224322,1199.003187631
2017-09-17,260,"24hr",38.640605,966.10397667,1292.075837311,1025.740401392,477.336976447,583.974974833,850.740742594,916.997617691,1553.750827926,850.650616606,694.231018646,1150.727408168,887.154464227,401.067628151,1720.196256572,1323.732124584,994.369986447,1284.236236758,NA,1050.314633795,567.88046623,1801.546167193,2079.350937515,1653.813283686,2170.900180817,2590.108058384,742.368427108,2378.758009866,1858.496847289,3529.893514217,423.747018501,1223.242890614,1145.596002625
2017-09-18,261,"24hr",40.66826,1051.598039603,1346.514638143,1070.387266796,526.921356203,589.669524541,942.143566225,957.746224472,1622.196414494,921.13541029,753.920384167,1186.604063304,953.821606185,402.495598957,1866.147794249,1335.677723818,1093.954536281,1398.769743611,NA,1183.808849175,641.487775873,1976.100833041,2274.140876194,1748.363556988,2195.011164998,2683.389052325,830.31869089,2538.426184475,1996.84506676,3642.486108744,487.851779411,1329.317702486,1261.372286817
2017-09-19,262,"24hr",35.0629245,932.088379853,1285.378931207,1019.050880396,425.211156274,546.080966812,804.174867327,894.507753374,1535.585128305,843.165077496,656.468061424,1123.660108239,849.889561035,424.422414364,1777.570443215,1299.385000954,956.123745706,1276.49897225,NA,1034.805635213,535.091784851,1896.269103897,2048.065308922,1719.86996322,2214.548823667,2692.125814132,702.826127475,2470.367515651,1943.595447582,3836.491825373,322.985905229,1215.667226072,1156.058900298
