"Date","DOY","Interval","VPD","LCON1","LCOS1","LCIN1","LCIS1","LCOS2","LCON2","LCON3","LCON4","LCOS4","LCON5","LCON6","LCOS6","LCON7","LCON8","LCOS8","LCON9","HOON10","HOOS10","HOIN10","HOIS10","HOON11","HOOS11","HOON12","HOOS12","HOON13","HOON14","HOOS14","HOON15","HOOS16","HOON16","HOOS17","HOON17"
2017-08-01,213,"24hr",42.736072,463.291893873,2108.067792094,1243.511296915,686.948634031,2083.727168302,2163.208672067,1340.915159337,1749.555328416,1722.940639887,959.881116128,1817.226363858,2407.165563788,1421.822725784,652.073706119,1746.847974396,1382.615501758,1386.504436258,3237.012639379,757.379796084,657.084863797,884.063816252,1048.355164195,1345.441616224,977.642393276,1673.03237002,1432.687623657,1584.688026115,1706.609242965,NA,1844.25133491,2465.635609786,984.346068737
2017-08-02,214,"24hr",55.279722,581.211152377,2597.770915002,1495.381502724,776.779657716,2452.668491203,2622.222130293,1520.975063035,2131.671538521,1892.449565304,1106.067411914,2105.858551498,2834.353162556,1702.546323897,753.392163341,1880.304555965,1655.239043333,1510.585431937,3580.230925492,803.088606256,684.020252869,859.055985469,1059.371207746,1381.2606602,1022.178446659,1882.72210927,1600.847617509,1774.606807081,1952.523897452,NA,2068.006707351,2672.422501537,1066.121687872
2017-08-03,215,"24hr",71.196421,734.658596144,3264.408009421,1849.765285449,886.008725934,3012.86188473,3184.842003325,1719.632466737,2682.203890097,2125.738366974,1260.991417583,2549.445855135,3372.280421691,2199.171425019,888.740869031,1979.319259772,2058.084874156,1734.945006129,4533.451970067,973.48465463,807.188829384,984.646493216,1245.715084494,1479.843827915,1114.731281086,2394.22496334,1865.776218738,2205.359607727,2977.06329343,NA,2495.14002476,3200.036252245,1242.291492636
2017-08-04,216,"24hr",78.38401,608.985783226,2999.817065451,1643.990345757,764.768858224,2707.457729018,3325.632112985,1572.681889154,2594.333209019,2053.797810677,1217.131316083,2453.519278019,3270.3163396,2077.400673296,882.947723126,1895.080058233,1978.040631682,1613.554371431,4162.69705876,912.519859633,752.455986573,934.856097967,1181.350897882,1390.140319699,1070.625493415,2323.767428465,1729.49412653,2007.857440321,2603.142563771,NA,2390.13034004,2928.521505117,1151.124130166
2017-08-05,217,"24hr",94.916855,962.854964559,3491.922307874,2052.187002459,1145.443009027,3361.580572454,4247.097490116,2077.55075293,2494.248100527,2235.632321956,1186.498157285,2462.241453735,3232.597386286,1570.052178307,852.860820949,2064.009307225,1964.269564649,1720.66136345,4100.723732135,895.065430655,750.606776461,932.551217841,1171.908187654,1447.109339788,1083.601992109,2101.410042928,1758.32095391,1964.020125232,2554.915261294,NA,2382.350576517,2949.032818751,1214.384189954
2017-08-06,218,"24hr",68.2411675,694.037446966,2803.709000843,1710.747291983,910.906424944,2832.881477957,2760.669241682,1739.062390852,2492.454268573,2207.904524307,1193.986307004,2442.519098895,3239.625921342,1699.751430934,855.918400733,1957.628599775,1984.500950711,1779.452761441,4518.92634057,983.477318647,824.452682475,954.673174843,1219.14393558,1476.284688493,1078.639054197,2309.538171905,1808.996232813,2161.280574186,2695.480026802,NA,2683.87254011,3179.037323537,1228.886199012
2017-08-07,219,"24hr",8.333,212.154126071,770.000254984,467.073266842,271.262106241,881.519192214,799.124063832,491.234800984,608.644182409,686.608584701,350.079663645,625.522766498,811.052626613,623.78320167,295.170631795,765.41786933,556.941319958,658.03079349,1347.318498236,306.497190561,277.160593539,339.73932235,381.843202226,625.784634534,389.188906841,720.893693047,594.386322692,650.252404612,1514.986369343,NA,772.219121173,980.926417489,391.401631221
2017-08-08,220,"24hr",12.210441,187.521058375,861.442167615,467.269297492,326.917367159,1033.656188415,918.512171609,557.002142745,612.3950188,827.2465237,359.008222869,689.099419046,870.529633643,638.346890344,275.322275613,1008.171305391,490.407181316,909.229281729,1337.641753657,346.491669411,277.117444335,489.076696035,552.5868766,935.589726047,672.706183707,703.908557528,765.427951742,775.371483522,753.176702855,886.95931674,832.350405034,1173.594575548,629.557977892
2017-08-09,221,"24hr",45.131264,597.557048016,2372.95175193,1296.238920324,804.33885222,2481.528690672,2222.955942063,1466.359839209,1903.641237766,1826.85529339,975.066492944,1921.554881093,2409.579439556,2064.883154784,783.01115794,1843.017897112,1519.182490629,1882.052433104,3734.415890754,855.50162871,691.120665283,972.793727632,1156.021020136,1625.8873454,1249.262261705,1849.457176635,1797.771449423,2015.484799037,1919.442252478,2129.458121916,2146.218930127,2620.67239038,1253.131019665
2017-08-10,222,"24hr",32.998188,397.943078379,1902.126339544,1062.53012405,635.537559124,1977.609711041,1881.959965813,1219.154997485,1539.805841643,1589.090103872,836.633708439,1506.90001785,2012.163556545,1573.320174363,579.049632981,1595.151525243,1191.141979494,1569.093488018,3076.19997683,754.466316203,629.414363748,811.313224629,965.213138548,1405.165446539,1036.623696337,1546.545892522,1355.041908945,1611.758911444,1538.504075688,1751.318935635,1744.860129106,2230.823308659,974.443716308
