"Date","DOY","Interval","VPD","LAON1","LAOS1","LAIN1","LAIS1","LAON2","LAOS2","LAON3","LAON4","LAOS4","LAON5","LAON6","LAOS6","LAON7","LAON8","LAOS8","LAON9","LBON10","LBOS10","LBIN10","LBIS10","LBON11","LBOS11","LBON12","LBOS12","LBON13","LBON14","LBOS14","LBON15","LBON16","LBOS16","LBON17","LBOS17"
2017-09-01,244,"24hr",-4.44e-16,158.142726789,1.618232363,22.274792274,8.710312533,45.222372766,4.18489745,119.967354941,35.908433458,18.83719253,13.789807821,94.648411399,13.101438385,52.774581658,42.39179128,15.62436403,18.459164321,50.318369082,9.6527693,20.390099598,13.865154216,61.672837935,9.79909316,7.37472844,7.970664569,93.765083569,61.47358838,14.597192605,8.94323731,NA,8.903240401,7.561299469,7.313471389
2017-09-02,245,"24hr",1.214742,569.085488147,36.456729083,162.393328343,60.960782043,375.764828643,258.780825828,378.197050776,147.626282927,204.211301813,230.775411816,326.384363487,373.332899581,279.649151862,503.701194045,237.912629843,186.256867748,134.510258462,433.287032799,99.378713397,90.370637179,14.435112474,173.495068387,475.940956224,139.223597408,471.58616049,384.394314397,239.427225407,50.078140688,NA,201.11506274,209.096073235,309.331703091
2017-09-03,246,"24hr",45.061515,2845.462861977,623.92238833,823.31353398,487.557436422,2140.982628539,2192.643500178,2388.445926471,1280.961643042,1261.475227925,1578.347689494,2317.038003434,2455.671560724,1721.199009514,2869.865960803,1664.713512634,1459.600391301,1298.764671892,2837.447615294,612.503052489,975.156487453,785.090639525,1538.99092746,2402.565284724,1292.160275912,2744.833994362,2252.764049762,2028.501911015,847.364327897,NA,1362.382390518,1458.002344165,2389.609153719
2017-09-04,247,"24hr",58.34705,3211.499770875,1714.239058185,1033.083635839,571.34541873,3268.802283747,2898.857936619,3063.697499719,1474.516097842,1259.245484727,2447.432627553,2484.631049861,3051.162868504,1957.429915588,3878.59408681,2096.972381094,1822.801027327,1488.419761244,3683.691832025,497.828413494,985.752956922,946.900915422,2049.184558695,3271.698658597,1618.274265308,3996.090478107,3288.603154632,2368.917990006,1470.676136083,NA,1839.285417376,1838.199992501,3292.957955547
2017-09-05,248,"24hr",42.66844,2577.118246423,159.351473191,856.753608212,468.185954997,2909.860536174,2375.324327849,2561.924148506,1198.173911145,1084.04094167,2213.358085373,1996.090234293,2635.035817511,1669.088975997,3453.86237184,1819.043741212,1537.36365124,1202.840909986,3147.048136451,350.550727515,761.659339731,815.784324,1708.837399522,2838.002709092,1347.334962403,3583.880437726,3035.737104016,1921.791576296,300.395070713,NA,1698.038817513,1575.752131694,3091.845289368
2017-09-06,249,"24hr",-4.44e-16,216.631753632,1212.549992612,46.482962372,24.040785578,120.288535607,50.110676692,200.941428629,73.480783176,163.973325958,114.403175883,81.967800595,72.138429844,20.58119487,128.909060111,71.365871202,7.537686999,154.062912548,58.684009704,2.791918414,1.902360993,36.828640148,34.576028424,107.322186664,100.106874067,110.838221702,101.448976221,NA,0,NA,73.667363691,58.333247186,82.398368445
2017-09-07,250,"24hr",35.5439725,3367.804504506,313.521855922,970.597192532,553.752967195,2458.376145349,2309.397339757,2493.897792895,1325.203432172,1361.91182182,1768.036212562,2434.574548407,2762.413804156,1693.105160521,3157.842785416,1839.179055525,1091.131328488,1295.439236871,2672.860216685,481.475857884,852.165263074,701.564449209,1541.494929102,2608.538232148,1503.515029128,2937.620412587,2453.499516048,NA,2195.225898658,NA,1638.013737912,1663.899954731,2565.575844133
2017-09-08,251,"24hr",53.37649,3469.627963428,88.692114389,1169.07150191,599.098424829,3255.507170126,2894.476726732,2982.129513592,1387.743853317,1340.095528039,2523.174733914,2505.813944183,3132.841821175,1814.577679824,3782.870613502,2131.65422876,1588.448541022,1400.600463246,3324.841661758,674.673551976,888.888616403,882.991999451,2101.124913511,3222.160838417,1659.396731605,4061.380651094,3023.780489073,NA,1504.531720081,NA,1842.155933781,1720.103400423,2977.258783904
2017-09-09,252,"24hr",47.1944114,3277.754424533,156.472697013,1062.372282236,556.661849277,2962.795631432,2493.253435298,2813.754527763,1369.655797133,1678.908738133,2137.652572215,2633.123392483,3042.471764406,1938.844127347,3573.800402451,1960.068829723,1884.23353644,1488.490936239,3062.783600372,408.047226888,908.346281249,759.194009519,1809.993276024,3023.096786522,1550.957059774,3751.399008344,2845.473675601,NA,2182.233287384,1395.595690677,1699.420940475,1729.130944182,2648.782108233
2017-09-10,253,"24hr",43.434464,3022.35354267,0,932.889989087,476.972893221,2359.840749748,1996.414973274,2420.41000853,1254.005947439,1860.398478358,1568.050200383,2730.040006574,2747.374496596,1888.603134982,3083.637806553,1658.308035609,1621.781187683,1407.671707356,2352.437498821,372.736273062,960.13155372,698.985248715,1388.380085822,2598.156438294,1288.444612645,3055.665590179,2109.743474659,NA,1712.482553461,1086.114540502,1327.044154593,1505.75282916,2037.673127107
