"Date","DOY","Interval","VPD","HBON9","HBOS9","HBIN9","HBIS9","HBON10","HBOS10","HBON11","HBON12","HBOS12","HBON13","HBON14","HBOS14","HBON15","HBON16","HBOS16","HBON17","HAON1","HAOS1","HAIN1","HAIS1","HAOS2","HAON2","HAON3","HAOS3","HAON4","HAOS4","HAON5","HAON6","HAOS6","HAON7","HAON8","HAOS8"
2017-08-01,213,"24hr",42.736072,832.624438993,1961.12296298,741.203039244,894.011989631,1837.396696706,1690.632329839,1914.092808293,1605.740449811,1443.006480668,873.55324334,1542.089250385,1707.266821776,587.530380355,1089.16086397,1290.284585698,1831.255423426,1650.584586833,913.266547962,1367.628186196,NA,902.078626906,1193.050765775,804.203130649,1261.533120838,2232.261497617,1023.971414979,1013.62752985,676.973576256,551.35165785,1134.704970824,1060.403975199,761.088470655
2017-08-02,214,"24hr",55.279722,899.028208816,2094.611142356,757.580925011,947.77351801,2022.73555629,1893.238822809,2084.35537931,1778.370133719,1544.199271766,955.353324231,1656.877233603,1835.5464915,646.429018688,1110.337318347,1361.583303306,1924.991848506,1675.449335817,896.265840022,1400.579405656,NA,944.027191948,1217.701302374,717.475062642,1273.390577101,2481.892721684,1078.972830733,1000.59023325,660.454183271,555.401838389,1231.036108846,1888.398518298,1022.314487466
2017-08-03,215,"24hr",71.196421,1141.558611068,2517.257035798,910.942970468,1138.516116081,2611.897729719,2434.918880734,2625.937794299,2368.781839559,1888.104299733,1266.000746446,2125.969279097,2364.888113673,816.002191542,1401.578562184,1752.744450437,2415.674877205,2037.805590109,1053.262492375,1677.898416763,NA,1126.890617381,1482.614813945,737.339434746,1467.70805382,3255.797551514,1333.03598412,1156.913188731,548.830473927,431.073724739,1266.742054083,1509.337484089,495.194635367
2017-08-04,216,"24hr",78.38401,1064.248806904,2392.099988634,847.772583986,1077.688542255,2508.525935826,2346.458792231,2554.752638927,2271.863732051,1786.912112413,1217.284700058,1979.058512542,2255.6368992,700.455985816,1269.205768469,1624.497975329,2185.249248565,1941.297363947,1023.380788515,1631.338844042,NA,1102.640077268,1394.01953715,721.073574909,1455.499508273,3088.488586659,1271.639343925,1125.037114467,548.308672438,423.857083483,1314.839022627,1770.808579066,364.900657438
2017-08-05,217,"24hr",94.916855,957.382934257,2351.174725311,858.752839265,1046.580376916,2267.906378919,2104.873597709,2260.651596252,2031.546487299,1779.651218793,982.044754162,1865.493168785,2095.858684638,528.255249075,1265.767075333,1520.285936331,1999.521552699,1851.019570619,1044.744388781,1573.260002881,NA,1025.442256102,1305.903542182,868.510367756,1446.790591136,2464.770958627,1204.669591179,1104.352809448,961.010557803,830.102345107,1381.706557609,2006.898349601,655.06917205
2017-08-06,218,"24hr",68.2411675,1068.08916309,2206.992087549,826.730395164,1065.735504958,2508.461979308,2238.828225375,2535.279186278,2212.710784791,1827.134077579,1010.191833917,2008.657356972,2194.845985133,956.153151049,1307.468298827,1688.770479386,2164.952039521,2020.207650092,1012.723279438,1640.178520276,NA,1094.087323812,1451.102055612,808.745397691,1464.12974269,2715.564206997,1228.329426682,1111.193596812,1300.641807959,1134.234521046,1989.737450726,1228.705588434,984.222856264
2017-08-07,219,"24hr",8.333,394.207318474,701.46127302,241.517278375,274.792643404,590.826215299,548.321740651,762.12817949,621.076632075,451.05732082,270.816512885,484.901134543,669.621293423,989.429465413,424.035255465,541.955021856,700.414230315,640.479693135,266.910853855,403.479423715,NA,258.547359196,381.594560809,250.482492485,367.319246685,828.97160191,352.302308471,313.803909934,304.226115535,268.230376659,619.753991213,293.600391812,279.600022777
2017-08-08,220,"24hr",12.210441,580.464522954,915.685572132,543.50086347,444.576943675,745.320436241,647.16983875,893.702920507,726.454859307,670.917225998,356.022683886,689.239248647,848.048587296,456.202166542,688.3386577,735.595980826,1079.560258092,862.467176123,572.384703156,759.262158181,NA,468.924059518,709.698469879,696.963795803,741.518864631,915.780721459,508.262322508,637.481363365,698.786057079,620.569583231,819.7833178,648.524330762,595.262151434
2017-08-09,221,"24hr",45.131264,1299.717256765,2075.382308581,1076.064831946,997.216282778,2124.377730528,1752.637100538,2228.13463709,2019.851181642,1625.229145818,1087.381492992,2020.480949443,2360.223069976,1013.618942082,1393.644529532,1766.529933101,2401.623974164,1951.971738511,1234.634769715,1787.208893918,NA,1062.218924745,1550.058852037,928.173741447,1507.626705115,3014.980206782,1354.073375678,1345.209541208,1535.934885105,1377.53359883,1968.696207348,1317.397334442,1172.99084045
2017-08-10,222,"24hr",32.998188,1039.263796661,1952.529262374,855.696331449,852.803855073,1787.818509644,1506.833174956,1960.85704151,1681.903707804,1391.131458084,908.555718925,1595.213472295,1840.009925228,755.662344337,1169.850831889,1466.075508385,2038.673225767,1700.865587045,949.13328555,1441.622403859,NA,900.159643893,1294.099223071,798.172633084,1279.955356155,2545.526416351,1050.757034037,1109.377582181,1184.956699053,1022.040239315,1709.744745642,1136.617152673,978.009416978
2017-08-11,223,"24hr",24.96775,894.169703543,1592.831583062,693.741201062,643.456944689,1352.908722312,1131.128242251,1180.063028392,931.360739209,766.616543915,503.798675879,1026.710227468,1289.00555435,674.977019987,901.862614269,1137.419291693,1559.41988353,1273.555654243,456.111584852,960.371793484,NA,1070.571994289,901.990995459,515.643341788,603.395920016,825.627000951,479.918680585,608.195617397,602.575565963,496.355293681,831.866427738,473.965239508,432.591127658
2017-08-12,224,"24hr",9.79798,1066.775416749,1435.51462578,895.966432416,768.645410774,1240.332417158,1016.984289759,1353.581960654,906.724371576,918.852539965,601.939304121,1138.434851594,1341.066282275,947.628312265,1106.984832256,1313.618164374,1739.338872674,1298.236956857,689.888230899,1159.348250409,678.564982783,979.892087401,1491.918790577,1561.44126197,984.448646646,1114.136011501,753.093404561,998.875179344,870.359495744,938.366951608,1143.07492538,898.563889925,718.90560442
2017-08-13,225,"24hr",27.995392,1002.173258618,1444.334041477,982.936670012,730.211901744,1245.194884606,1064.776121361,1426.864086896,1230.409460205,1079.1154644,641.393563712,1333.843186427,1638.494312246,1038.70702875,1146.265691498,1320.38830262,1824.45372854,1583.615803138,794.423658765,1422.196185424,792.020559458,1142.850002496,1479.610065598,1280.999705912,1245.119012315,1131.392088685,858.417907664,1390.723660888,1275.108988557,1363.920538473,1250.045338802,1344.404636498,955.188980135
2017-08-14,226,"24hr",4.391727,454.151216514,501.802315109,398.799673408,286.702086373,504.273295834,415.187807026,661.749142341,435.21577362,449.258467557,202.334891366,475.507606687,477.299118342,195.294017694,424.643125048,543.974865572,810.070203476,595.911119866,227.760054393,428.975664353,187.710057424,374.091954974,563.886474833,559.014209368,354.522861536,380.052466035,181.944861988,353.602158401,310.220943694,238.216113384,456.021814752,305.92396623,304.11340584
2017-08-15,227,"24hr",8.02214,870.448727289,1931.829437378,651.42675964,542.165354723,1041.675524482,812.834340035,1352.67795441,1024.497344013,885.156054409,556.080111591,1166.601770944,1177.269612604,1014.795815477,879.645225648,1106.77451631,1454.509167514,919.752088675,415.232963353,806.534944211,322.097852246,646.367155075,1138.585766545,1033.135693594,596.142370902,1280.022542457,602.671912842,801.417333758,534.937047157,467.103758607,871.681273427,541.217871355,491.03700504
2017-08-16,228,"24hr",45.238422,1268.553613216,1878.483214003,1080.112611507,840.989074143,1662.348415317,1399.638982184,1898.783787375,2925.055788494,1303.990367688,853.88177276,1853.042627026,2166.268183716,853.121168709,1366.628884097,1711.83565679,2330.889299913,1566.909416866,733.347782754,1578.758880897,673.75561827,1180.99520487,1282.781328312,1131.448205635,1103.47832079,1073.809502334,994.292664199,1144.5543285,1237.267802491,1062.22140663,1485.564806943,1078.862192667,947.793901597
