"Date","DOY","Interval","VPD","HCOS1","HCON1","HCON2","HCIS9","HCON3","HCOS4","HCON5","HCOS6","HCON6","HCOS7","HCON8","HCOS8","HCIN8","HCON9","HCOS2","HCON4","LOON10","LOOS10","LOIN10","LOIS10","LOON11","LOOS11","LOON17","LOOS17","LOON15","LOOS15","LOON14","LOOS14","LOON12","LOOS12","LOON16","LOON13"
2017-07-01,182,"24hr",46.892992,1371.666987352,1718.319036963,1329.343776283,1008.478498804,652.521051596,1168.793928675,1115.933655973,1929.357805131,972.531281717,972.917146316,1509.373102118,1232.221967575,515.162937205,2180.382012801,1509.326233251,1354.680635881,1524.931376991,2411.526546197,2367.910700254,926.823644989,2475.754137851,3452.645206433,1710.397202875,3023.898370353,3028.333952087,1425.855153931,3200.167355279,2232.484549726,5232.318746443,1059.037566079,1738.892937602,2858.52438105
2017-07-02,183,"24hr",51.871268,1492.531098022,1944.978711579,1450.79280711,1009.054292624,724.936036887,1201.842522497,1244.587764462,2162.970785159,1058.530445249,1019.886541018,1702.499468757,1302.787327886,701.706592618,2350.38851838,1715.401271576,1427.419502864,1618.187481471,2694.194480221,6067.793241883,898.900890118,2695.322631241,3904.050325006,1897.744617016,3387.948410756,3565.53345084,1434.319461273,3365.805301234,2427.967191984,5836.095782642,967.128068205,1861.706262156,3116.63161207
2017-07-03,184,"24hr",63.922738,1666.760791666,2221.203476627,1484.218117452,1029.881857302,742.036161118,1190.0078386,1400.190709126,2242.7772368,1136.704837593,1112.202659299,1856.093193532,1366.833474577,672.437021854,2380.177669765,1964.235080341,1448.418966366,1638.714697102,2927.56006086,4851.588258113,830.309481172,2898.303107807,4137.001058446,2090.342874983,3871.612544173,3985.618580206,1541.829109603,3582.077997519,2624.315413948,6315.824428542,1012.197107104,2006.204184392,3053.562942935
2017-07-04,185,"24hr",44.9102875,1199.420414529,1556.784085391,1073.214018703,801.26054556,526.298406298,910.496113114,969.62528009,1532.155349531,845.756381445,856.361498283,1318.91837162,1035.210291061,524.725804546,1850.470587944,1396.917216568,1117.860575018,1334.119793506,2233.222924811,3341.820248061,758.266818745,2221.034253074,3310.745744078,1501.031931051,2668.580082958,2834.817084706,1293.607879626,2656.256294184,1955.315847875,4154.904664169,953.669936219,1574.643422289,2440.119339805
2017-07-05,186,"24hr",20.68981,677.655245965,901.005940275,743.60402254,726.982100986,327.091353299,629.252316197,630.395443755,934.986039015,598.884648492,495.332886835,793.100760356,704.505672086,823.315401554,1428.990911825,765.896775685,756.539190859,1034.282605131,1351.354831232,2173.514702374,660.454204893,1484.556880986,2296.477271141,1049.218029427,1419.889026969,1768.732152608,1490.597910646,1681.338082871,1236.92100644,2669.165558745,1014.550173044,957.254590989,1771.700951966
2017-07-06,187,"24hr",44.22806,1482.097247956,1864.748761723,1435.607653435,1015.808238124,730.982144932,1195.123935313,1328.838560007,1924.576517786,1033.232473199,1029.185505099,1675.227629836,1295.965244047,878.63396143,2222.826293737,1613.329431549,1344.557702141,1416.547062557,2560.302115589,3571.156151857,961.884612315,2579.269422076,3800.919769405,1843.881570019,2650.842561103,3267.097772239,911.310352715,3219.251542128,2383.733299866,5117.658469166,518.877183688,1855.865415726,2550.270182437
2017-07-07,188,"24hr",50.2913206,1557.511077854,2024.786670978,1536.809624983,1022.266682707,719.122004727,1246.621072532,1384.296052213,2084.297850364,1137.721227805,1089.625450752,1711.763672899,1342.429526873,534.842487862,2192.981747241,1685.098427467,1390.978845362,1500.142363234,2589.874317229,6790.421316947,956.238223105,2450.177129899,3416.994711064,1835.70101146,2694.237604784,3227.850023594,896.045595027,3021.732245216,2244.955801808,4842.996206303,586.70870376,1804.022198448,2398.166415151
2017-07-08,189,"24hr",64.107986,1931.664108569,2661.236717403,1921.899413703,1154.645415212,898.152967083,1477.473620787,1776.021991956,2684.091807968,1324.443520903,1264.432423957,2149.787688422,1638.125587262,787.693324331,2727.649312309,2198.411143717,1689.559897587,1749.776455795,3171.624200052,2466.043923187,974.130250188,3150.87388751,3899.421962148,2348.29188363,3683.280150892,4310.820270457,1044.841358088,3867.432627942,2856.336895003,6681.341938167,524.386710475,2147.180017604,2728.579669404
2017-07-09,190,"24hr",60.6435203,1752.941348012,2421.166885368,1686.519910672,1085.494831271,815.777678998,1340.387178626,1533.348030678,2482.738818169,1244.394963793,1164.108071731,1961.891572163,1524.671140606,1227.422869929,2546.714476579,2028.160676137,1552.698976925,1651.72938847,2961.102673731,2179.276946702,958.262266789,2946.305460015,3565.804153748,2175.006964134,3280.851553127,3942.806271239,987.60902744,3562.498405719,2616.61845446,5798.071305627,474.362810516,1985.085842644,2520.40847756
2017-07-10,191,"24hr",72.452299,1765.658285021,2386.447904973,1608.733742197,1069.259508068,706.186415347,1218.12474964,1406.293004764,2391.559685162,1112.406500353,1165.906900845,1970.739076326,1471.149528615,726.012275513,2616.100294203,2006.346475969,1430.86147177,1645.854275501,3070.969555319,2361.696772906,965.829425267,3113.039415068,3853.173252643,2150.858119178,3791.344730945,4165.858506854,980.586286433,3794.220215416,2780.843276509,7172.50647722,458.955106792,2012.338953544,2492.756266421
