Date,DOY,Interval,VPD,HCOS1,HCON1,HCON2,HCIS9,HCON3,HCOS4,HCON5,HCOS6,HCON6,HCOS7,HCON8,HCOS8,HCIN8,HCON9,HCOS2,HCON4,LOON10,LOOS10,LOIN10,LOIS10,LOON11,LOOS11,LOON17,LOOS17,LOON15,LOOS15,LOON14,LOOS14,LOON12,LOOS12,LOON16,LOON13
6/1/2017,152,24hr,74.981027,1555.100676,2228.401897,1510.727829,966.1880918,681.0950381,1259.491164,1486.68547,2368.621535,929.3298185,917.0852338,1779.586079,1328.275307,662.6983849,2870.042875,1991.658011,1398.759984,1515.594957,2263.472562,2122.06549,889.5058647,2522.782436,4777.747907,2020.881825,3949.791979,2971.598287,1519.726765,3351.184026,2440.701765,7153.526062,1076.97038,1839.195208,3317.382734
6/2/2017,153,24hr,91.6940487,1734.928255,2569.160141,1790.503653,1015.23328,792.8857214,1394.138626,1733.912464,2708.752548,1013.392549,1115.521028,2184.172298,1532.915416,775.248177,3348.472281,2236.676235,1617.081943,1670.588908,2617.245709,2459.925725,989.0452451,2726.357238,5236.960085,2249.330652,4420.102584,4424.947954,2016.291663,3622.16312,2737.715685,7819.794834,1206.534048,2011.912994,3760.088945
6/3/2017,154,24hr,94.087924,1820.789676,2895.628469,1965.314503,1088.837825,832.2861721,1444.344225,1911.936302,2969.968135,1000.298314,1150.352147,2422.951401,1584.436318,797.734759,3690.904868,2530.505382,1671.432798,1725.095199,2744.195255,2952.233859,979.5680844,2965.595613,5639.69051,2393.425544,4974.224764,4076.314804,2108.724616,3902.240897,2999.900461,7895.184211,1073.070942,2276.378958,4017.071284
6/4/2017,155,24hr,45.978394,1308.346255,1954.834157,1333.328131,903.9169785,638.6518626,1068.249614,1251.068516,2203.402308,768.8819297,882.1232131,1559.224138,1215.428584,505.561449,2699.095834,1776.213135,1239.312203,1382.990614,2002.269603,1770.179795,746.0729633,2189.968857,4221.05595,1675.013103,3007.008623,3350.436992,1735.01561,2796.017702,2192.560052,5938.499774,853.5723606,1584.668652,3044.669843
6/5/2017,156,24hr,9.191109,288.8426354,366.712082,299.5857793,315.8174715,142.0259812,378.9391218,254.4726267,491.2040183,224.3279799,238.6037724,322.8115069,343.7639736,157.1752095,668.2470663,328.3028058,407.3045612,164.4502961,643.2025378,694.9915506,366.8094553,642.1485993,1194.471484,383.9519789,117.4902892,822.1122876,584.0194678,716.6058737,545.2925184,1051.099898,512.02035,485.1547681,913.185277
6/6/2017,157,24hr,85.80676,1441.09439,1920.731419,1397.95566,1045.88204,654.2197917,1228.710625,1292.840383,2078.981358,870.5441885,901.949734,1646.53518,1306.454834,549.8725762,2513.678018,1795.347204,1337.223804,1557.32409,2320.679113,2228.180477,1039.334211,2292.516159,4219.591721,1865.852763,3236.473801,3353.686802,1560.79016,3091.028195,2350.898263,5469.358703,1367.988947,1799.443282,3235.432247
6/7/2017,158,24hr,70.79616,1432.684136,1897.058329,1398.578557,1147.006371,713.2781907,1304.078111,1324.312185,2084.523825,951.5594062,968.6709745,1560.350343,1361.620689,556.0548723,2574.674491,1688.21305,1437.629937,1530.827852,2312.795816,2229.359782,1200.004167,2282.509073,4279.995867,1881.727433,3304.746689,3173.356856,1820.227281,3088.790318,2292.669555,4833.196198,1326.764178,1805.600781,3293.590801
6/8/2017,159,24hr,47.517702,977.7989226,1428.437464,1066.273659,806.6942226,484.0623064,1034.328341,970.183032,1511.673936,650.4957026,672.8340345,1121.839594,1048.526583,393.0463393,1960.115999,1232.948622,1129.714602,1254.389769,1774.507324,1577.715392,1029.215527,1790.185188,3354.47525,1429.394473,2331.469305,3733.516442,1532.009772,2286.307082,1760.122355,3329.101994,1184.442552,1329.302713,2693.222268
6/9/2017,160,24hr,69.37009,1652.854956,2401.064683,1680.331967,1152.65807,837.1611974,1401.414497,1617.347035,2485.205014,987.720925,1134.067609,1948.911946,1515.552319,642.2026504,2965.386616,2154.391089,1557.954308,1683.371942,2633.69705,2966.600642,931.8383023,2701.823838,5402.163953,2181.575419,4133.250253,4182.039653,2030.427274,3467.221537,2831.596717,6520.161384,1311.24352,1957.047639,3688.958877
6/10/2017,161,24hr,81.957761,1854.359279,2704.990769,1867.943076,1124.819211,892.0356353,1396.277408,1784.654461,2879.932681,968.7852249,1137.533688,2279.132475,1556.485558,366.4909619,3264.754576,2541.190886,1594.760034,1922.653888,2863.705216,2653.184648,768.8140771,3278.935013,6333.357543,2466.038778,5197.421067,6034.211342,2102.695347,4154.184026,3351.148824,10266.68643,1085.766098,2161.259073,4076.822216
6/11/2017,162,24hr,75.418582,1683.801574,2366.591921,1648.624473,1120.580659,797.2082703,1318.857489,1536.292796,2580.477535,879.087131,1108.097347,2066.134412,1496.836419,784.4991641,2764.982844,2187.472656,1515.007868,1784.798424,2635.726657,4982.551329,780.2880753,2989.926279,5658.003563,2232.862504,4676.017743,4267.251482,1907.583682,3806.071154,3041.681289,8324.423335,1105.03175,2009.718091,3820.426171
6/12/2017,163,24hr,53.802174,1428.417563,1873.420044,1347.649824,992.3546154,664.8681438,1166.532817,1193.352425,2122.465492,808.210481,1009.237122,1681.317452,1260.699786,635.4041036,2102.364839,1740.043806,1351.024933,1613.722817,2324.391927,2779.166601,699.3596233,2564.81803,5004.082104,1845.406677,3383.78686,3636.33272,1801.899694,3127.725082,2539.587529,5780.994718,1159.460846,1766.286772,3295.189993
6/13/2017,164,24hr,41.443446,1102.29176,1376.871566,969.1505417,806.5025345,520.3864949,938.3960874,890.407779,1608.950444,676.4553334,826.2619292,1215.237177,1057.561806,1233.354475,1625.759422,1228.013198,1144.756005,1442.224019,1862.697677,1446.867425,769.0307072,1933.874688,3830.660103,1425.299053,2292.383473,2427.88337,1531.594271,2348.47199,1854.128292,4104.9657,1144.291348,1319.912241,2622.311744
6/14/2017,165,24hr,60.250442,1564.156997,2135.272126,1555.611434,981.0531795,712.4515861,1240.254435,1423.931423,2276.054968,901.9001209,1017.700714,1777.497967,1372.465764,1307.384864,2278.858502,1909.393208,1402.882651,1696.058722,2469.646797,2133.227187,849.8004916,2806.846645,5203.093729,2040.248589,3364.304985,3527.384885,1720.409192,3344.895894,2632.52319,6996.059209,1110.886736,1873.719282,3534.557257
