"Date","DOY","Interval","VPD","LCON1","LCOS1","LCIN1","LCIS1","LCOS2","LCON2","LCON3","LCON4","LCOS4","LCON5","LCON6","LCOS6","LCON7","LCON8","LCOS8","LCON9","HOON10","HOOS10","HOIN10","HOIS10","HOON11","HOOS11","HOON12","HOOS12","HOON13","HOON14","HOOS14","HOON15","HOOS16","HOON16","HOOS17","HOON17"
2017-06-01,152,"24hr",74.981027,NA,2583.966534946,1427.591295477,947.43553322,NA,3128.855947112,1764.54152251,1976.881245445,2900.443387223,1323.194150404,1991.045453917,2540.611514884,2909.690541148,762.68662454,3917.580266301,1567.836963396,2775.819131243,4050.344603696,1212.247612269,826.041293828,1135.375822156,1511.479276285,1555.737671661,1467.574343854,2329.85629771,1870.533686641,2809.2234917,2488.224542326,2346.045892427,2224.119540261,3295.249410937,1436.999259205
2017-06-02,153,"24hr",91.6940487,NA,2749.576964964,1550.238793866,914.729122189,NA,3536.722013277,1868.732729712,2301.639196798,3219.203318069,1527.606740897,2321.81267001,2908.494116374,3242.385109909,904.185061341,4544.201937569,1857.317586715,3109.304789735,4762.996060125,1370.8233262,977.986502187,1317.444377639,1634.279659539,1735.440858483,1604.805812005,2563.471737848,2094.120735187,3016.307677826,2940.375286197,2650.051526508,2435.406372413,3658.388099378,1528.706896975
2017-06-03,154,"24hr",94.087924,NA,3398.230969081,2016.580074086,1212.762970538,NA,4321.512905726,2286.508315875,2495.83128056,3377.418020638,1614.747788059,2406.30846451,3080.365483019,3657.416416267,914.185680763,4643.046163162,2028.608578976,3251.970026251,5484.63601697,1503.449652927,1125.799672213,1381.819330462,1698.396228749,1729.301499905,1573.509247845,2806.885681537,2187.395110611,3285.544480879,3528.353140772,2777.307462532,2594.245024277,3965.049480484,1559.091141316
2017-06-04,155,"24hr",45.978394,NA,2722.998186129,1680.336468054,1134.712106134,NA,3248.709996557,2029.181395771,1679.832389966,2343.810615832,1170.673202448,1695.86715432,2184.678070777,2486.308345093,646.15753987,3268.921504337,1350.117253189,2450.466337218,3634.515781208,1065.122298838,767.876508533,1013.041014259,1249.171029931,1344.804637891,1297.477229397,2040.327971453,1555.026262175,2245.223691505,1832.551101875,1971.786515108,1855.426360151,2738.983095629,1127.280172813
2017-06-05,156,"24hr",9.191109,NA,496.932242943,249.952402494,191.87813854,NA,594.613460342,402.497482227,387.868226465,666.938665813,354.468314379,435.36441556,586.908893586,462.470512152,169.118743098,1171.955246369,308.858315078,727.534297924,694.419254919,266.375450565,178.275460649,327.890154549,385.468697821,595.720165473,567.507429783,458.500224237,503.992385852,521.70326763,862.184498828,599.198919828,548.33030999,720.413645148,408.572146438
2017-06-06,157,"24hr",85.80676,NA,2331.292346214,1160.310724179,761.427779992,NA,2811.488772953,1576.260632924,1901.014990019,2864.597403756,1297.076918337,1956.476588745,2504.698583099,2582.229864918,790.991305801,4004.154521482,1522.047815805,2616.436738756,3609.179896135,1101.798106499,826.230007523,1158.498170268,1378.395567107,1636.291318336,1439.551968677,1969.353054955,1956.335555517,2464.429416459,1481.917065468,2240.226305848,2167.518503896,3011.4681028,1488.495843029
2017-06-07,158,"24hr",70.79616,NA,2310.329515446,1237.819857688,899.967630095,NA,2860.662337462,1789.471974308,1756.707189639,2716.278147518,1251.932072588,1926.719182861,2473.386004026,2274.796580727,777.918442014,4201.417008975,1364.604485781,2644.582181315,3452.229621927,1068.05245903,799.62224305,1148.184732663,1417.058455208,1780.553506294,1611.739026482,1994.670044514,1786.35913238,2339.139250716,1552.147259829,2210.307479986,2094.39586791,3002.734602906,1432.782099465
2017-06-08,159,"24hr",47.517702,NA,2348.870467249,1431.465695196,1149.742628772,NA,3043.637985183,1913.262261445,1278.867505975,2053.518704514,942.024705619,1442.143667184,1921.985563184,1620.666500321,553.360533839,3565.743604189,1075.282989494,2017.107149332,2928.340474717,866.778035751,658.507861815,943.915431867,1153.866807918,1417.215503107,1310.843380748,1518.16626515,1320.721476716,1817.749243897,1517.56738299,1819.826489511,1626.590830285,2462.91847726,1148.171753702
2017-06-09,160,"24hr",69.37009,NA,2379.189802118,1201.537505484,696.259872766,NA,3070.128505851,1555.845721656,1876.848332623,2782.549589812,1256.331799415,1976.949041016,2543.050098533,2613.770705795,713.526846,3935.671637249,1558.127623253,2801.969460369,4295.19838735,1073.913282008,824.317190942,1149.77548473,1398.020849987,1550.80807362,1388.50949165,2236.964621221,1810.128006308,2558.716204731,2321.531649442,2330.23949986,2142.875571828,3273.607473476,1346.446730297
2017-06-10,161,"24hr",81.957761,881.176683542,3117.266514877,1701.715251312,927.748813154,4076.467849126,3762.48818731,1906.119876319,2548.938861284,3370.698596991,1645.151940041,2476.601637308,3170.314779214,3379.520600826,996.952568716,4449.632038446,2068.955606016,3327.538871933,5128.857940965,1400.972531583,1054.072454986,1364.890898401,1673.926076209,1704.093390543,1548.728501756,2858.602297157,2189.625554632,3067.737818882,3244.49990174,2749.503669854,2572.993161624,3758.282797885,1379.646050774
