"Date","DOY","Interval","VPD","LAON1","LAOS1","LAIN1","LAIS1","LAON2","LAOS2","LAON3","LAON4","LAOS4","LAON5","LAON6","LAOS6","LAON7","LAON8","LAOS8","LAON9","LBON10","LBOS10","LBIN10","LBIS10","LBON11","LBOS11","LBON12","LBOS12","LBON13","LBON14","LBOS14","LBON15","LBON16","LBOS16","LBON17","LBOS17"
2017-07-01,182,"24hr",46.892992,2302.372341683,1643.328504654,875.664725143,607.17612408,2702.64038629,2628.075730875,1878.929651511,1816.691658483,1420.355703785,1524.145431467,2180.244826677,2297.977790681,1402.416038964,3086.636049389,2257.616687621,1927.300545306,2037.233315398,3465.768419157,1323.108773073,1399.867163997,1097.498533692,1627.663641642,3188.152015451,1418.757663715,3344.769095126,2648.683239465,1836.537266909,2576.24057478,1676.515034446,1872.477152276,2214.53563443,2104.202746518
2017-07-02,183,"24hr",51.871268,2584.06165442,1965.314288319,1044.310875782,713.938303988,3052.708289348,2934.954224088,2082.257644311,2050.445386084,1518.34463955,1815.843747622,2363.304737371,2586.526391996,1509.898436832,3602.39234605,2542.55568732,2203.005194642,2101.456017956,3670.790152909,1299.533845041,1349.899186031,1182.167289836,1807.332783694,3557.036587804,1622.854396649,3843.660225733,2955.900933104,1843.541517611,2873.705517714,1838.206130254,2079.351171636,2513.573445028,2358.238507157
2017-07-03,184,"24hr",63.922738,2627.470638616,2122.842385026,1212.354817279,763.489249805,3207.076468345,3243.837300587,2484.64799536,2122.449262441,1464.594823981,2240.104769923,2520.514585554,2784.497549818,1457.254193322,3715.038867265,2762.101487564,2488.17275034,2105.903060229,3633.767109472,1323.455930089,1457.847949201,1426.666939415,2113.123060275,3973.235328082,1692.306609588,4231.49855105,3161.80571701,1998.089990089,2974.548997504,1933.504161233,2168.934734948,2424.37566936,2542.713783433
2017-07-04,185,"24hr",44.9102875,2107.55898024,1685.845773559,909.396142699,593.907644441,2298.693940629,2399.979725626,1706.642912679,1645.744102815,1273.110140027,1633.64884698,2121.62647595,2174.802673085,1303.835436932,2850.342803405,2097.501189434,1945.888921593,1597.014625502,2757.380295439,1151.996852969,1248.492297591,1077.407609862,1583.648847675,3142.652737772,1232.538493255,3228.977972275,2246.064764161,1661.443324747,2072.622123094,1415.088848205,1556.015099807,1796.166317901,1802.174351174
2017-07-05,186,"24hr",20.68981,1519.013326169,1421.256125108,541.0757623,387.847118004,1407.217056919,1468.456092354,859.296465552,1170.667604456,999.254043765,906.161945629,1488.961850961,1560.368851418,1056.401800715,1891.419678891,1314.443350991,1292.026700656,1046.935662709,1709.527693532,710.719289966,749.951092557,476.115392013,808.048184387,1769.657109808,809.45334657,1796.590836091,1400.763871082,985.563941345,1244.47970283,818.453287478,1028.119057919,1246.988738749,1163.109627292
2017-07-06,187,"24hr",44.22806,2647.341226592,1835.516663074,1047.554367574,682.144208465,2887.356133382,2950.378974965,2637.487246114,1897.821471188,1741.034204979,1794.234481935,2475.768354145,2422.319402101,1509.833174196,3443.609392917,2453.491774507,1780.147958834,2034.707966269,3513.483228273,1377.204220693,1435.173754985,1192.353458023,1914.768965306,3315.240098947,1525.99665755,3872.642587454,2899.392911117,1909.094666821,2678.422885588,1758.615740709,1998.614132487,2451.274623822,2473.78920812
2017-07-07,188,"24hr",50.2913206,2582.858299417,1245.068621054,961.532986288,642.622372854,2738.944949465,2704.103971995,2330.986024497,1796.774105176,1787.068097885,1984.037889888,2321.201098195,2315.547964967,1147.65042527,3257.186668561,2306.373917072,1669.628909757,1983.44578141,3425.97095895,1351.355516322,1351.454644418,1105.33737233,1784.434294304,3266.771693815,1474.426570742,3798.614919812,2840.881556586,1817.274888283,2615.828622115,1753.986671785,1944.050785613,2291.835692839,2238.402099352
2017-07-08,189,"24hr",64.107986,3107.164786568,1628.963396108,1261.96588423,777.429558849,3589.826414159,3495.628378939,2998.509234904,2240.2405643,1962.374538548,2533.844922097,2610.810055386,2875.960267801,1350.358149541,4161.785478685,2905.949352376,2138.306801699,2456.73389259,4140.02999918,1436.056628214,1470.218698056,1388.849537112,2237.075024004,4129.510595573,1885.551784966,5082.674951172,3754.895065144,2102.223331463,3440.716204191,2180.377234596,2481.941443213,2849.056259123,2772.928157927
2017-07-09,190,"24hr",60.6435203,2989.059260297,1566.928186077,1189.855242842,772.618578693,3209.697825369,3149.720930418,2985.937406817,2131.775322703,1965.380252798,2434.516086883,2585.530400999,2737.367585479,1302.209129432,3954.458857748,2716.226807869,1858.417387473,2334.735352816,3794.789578833,1312.0902458,1362.854627511,1256.754123204,2030.421572058,3786.749524118,1810.39299391,4480.833677415,3400.760994107,1983.232954666,3082.434630215,1945.023963807,2261.677096697,2645.693849654,2509.155628708
2017-07-10,191,"24hr",72.452299,3047.830166218,1524.012527288,1236.971316339,762.22017711,3625.195844746,3507.58038283,3021.439556209,2212.698721734,1891.304565867,2416.919278743,2499.823699331,2837.387775999,1171.079992185,4123.376302901,2883.983828634,1897.169747626,2520.758332132,4207.149461905,1409.59439725,1462.917716603,1460.187485092,2324.354229929,4159.022262621,1856.55375624,5067.353469842,3835.428182182,2085.921392335,3427.756817879,2160.218863732,2434.024295583,2732.375655028,2722.783395185
