Date,DOY,Interval,VPD,LAON1,LAOS1,LAIN1,LAIS1,LAON2,LAOS2,LAON3,LAON4,LAOS4,LAON5,LAON6,LAOS6,LAON7,LAON8,LAOS8,LAON9,LBON10,LBOS10,LBIN10,LBIS10,LBON11,LBOS11,LBON12,LBOS12,LBON13,LBON14,LBOS14,LBON15,LBON16,LBOS16,LBON17,LBOS17
6/1/2017,152,24hr,74.981027,2766.498177,2293.600977,1230.378913,859.0174645,2960.745059,2990.787441,3152.773021,1921.217145,2541.80737,1741.325007,2269.900385,2650.364994,1742.721769,3147.524786,2625.649791,2629.933478,2975.917203,3337.271044,1118.368039,1287.169507,1153.811743,1708.606123,3018.768813,1446.907952,3698.602956,3253.261668,1685.09148,2944.599389,2005.903183,2030.652532,2723.95835,2495.467881
6/2/2017,153,24hr,91.6940487,3124.777427,2572.193667,1394.73057,957.8623368,3283.51433,3191.050574,3439.023098,2192.340774,2186.051028,2315.812167,2656.218685,2874.153231,1951.117362,3544.894549,2898.040132,2897.731178,3472.171494,3503.900208,1163.195844,1335.53695,1266.33159,1864.146744,3432.449308,1637.644739,4386.844168,3559.712763,1887.906266,3493.166984,2329.553395,2313.682549,2952.829219,2707.990966
6/3/2017,154,24hr,94.087924,3292.95109,639.7698522,1562.116058,1050.883724,3705.417865,3469.735677,3745.930988,2330.344639,3026.998313,2777.940531,2786.28919,3083.384711,1933.345438,3804.967491,3106.606748,3156.411347,3670.923683,3259.953167,1101.006287,1268.033207,1355.320762,2000.124467,3664.851099,1720.610591,5095.173943,4014.329514,1929.517139,3922.562423,2540.055609,2539.914807,3019.038574,2993.754839
6/4/2017,155,24hr,45.978394,2425.388209,886.6696601,1066.925987,692.3973655,2647.226938,2466.993072,2786.575364,1688.915266,1763.438102,1929.991214,1997.74624,2173.795059,1605.788859,2754.895623,2298.70324,2285.425789,2595.085929,2419.388799,845.147023,1028.687454,1091.623295,1431.99955,2547.644521,1247.25833,3283.613623,2698.682886,1423.296839,2677.626115,1699.836407,1724.944362,2409.493296,2050.73576
6/5/2017,156,24hr,9.191109,672.5789819,409.8685184,207.7215166,170.4698326,523.4600567,571.053683,753.2424554,427.1450739,802.0160735,280.7320407,664.2730453,561.0168059,630.4981784,745.1361898,671.7530788,498.1849765,622.5262512,1299.576605,314.775404,736.509855,202.2502395,282.8537854,690.4088412,315.0402532,627.2743279,532.3714972,487.8443121,528.3986941,365.9899638,372.2317361,-874.8160815,523.3784933
6/6/2017,157,24hr,85.80676,2698.002173,1352.313671,1044.149207,674.7061085,2629.994632,2640.608585,2889.950436,1862.501071,2355.676658,1766.55666,2596.831027,2340.525959,1662.811242,3094.14091,2546.689911,2243.747552,3057.891073,3485.173197,1189.841816,1362.47597,1016.555038,1575.82702,3188.043333,1374.97463,3434.969029,2815.693671,1947.391469,2792.697154,1968.38162,1994.036678,4267.184581,3078.152065
6/7/2017,158,24hr,70.79616,2554.436826,1872.501673,946.9940297,618.7896001,2372.928179,2342.123181,2803.608959,1774.429683,4469.134669,1691.823929,2524.32521,2285.481227,1916.325388,3057.859085,2407.01644,1872.217705,2755.824631,3850.590157,1262.679614,1445.107118,983.7561657,1433.998209,2965.993062,1339.898659,3122.863458,2479.87692,1933.0825,2609.929112,1692.018297,1743.54245,2889.502524,2689.663193
6/8/2017,159,24hr,47.517702,2126.75547,1073.805391,769.6633885,523.3137784,1843.675605,1851.317402,2255.35147,1438.249882,3089.919693,1178.290079,2135.115376,1887.09839,1678.617383,2499.55415,1936.812787,1259.336186,2098.528941,2513.898039,882.8056706,1063.759352,622.8103085,953.4800138,2461.342058,1061.275702,2665.38584,2019.20433,1513.311262,2125.518993,1264.742703,1333.870025,1384.80209,1477.333027
6/9/2017,160,24hr,69.37009,3384.152143,2690.581608,1407.251202,955.1412818,3467.847149,3371.216419,3842.185349,2466.114399,2359.811124,2545.011072,2869.401242,2812.73033,2158.628415,3632.527526,2859.722452,2093.245113,3678.569498,4902.076265,1464.182094,1706.992568,1425.021806,2061.533835,3840.478596,1877.929039,4348.191101,3543.654271,2080.75929,3499.054485,2251.87201,2293.747809,2641.493995,2320.589997
6/10/2017,161,24hr,81.957761,3396.207063,2732.201503,1445.006817,832.9651079,4083.691224,3830.344387,4334.762088,2539.079095,2053.650653,2735.839102,2799.579959,3098.431419,2047.822341,4023.257558,3211.322037,2444.142925,3808.743437,4484.629472,1215.048177,1409.852871,1506.930231,2338.69785,4389.952195,1828.762763,5266.404052,4310.374146,2043.544835,4300.453394,2665.816929,2658.049494,2925.805218,3141.408091
6/11/2017,162,24hr,75.418582,3193.726935,2655.219943,1306.593639,782.1659853,3660.150397,3483.194448,4102.259878,2398.500542,3064.917726,2239.093902,2690.581325,2856.181233,2107.528618,3764.243346,3019.620605,2076.786068,3623.908254,4215.231522,1249.157738,1439.569933,1363.760616,2152.065312,4081.708057,1751.044957,4679.514595,3946.481268,1963.702117,3912.165063,2436.897749,2484.818906,2904.241458,2863.772535
6/12/2017,163,24hr,53.802174,2784.731714,2181.942495,1082.511782,682.9571665,2950.888047,2878.708887,3356.65647,2053.009821,2522.223901,1766.381046,2431.213767,2423.074416,2030.744971,3216.744894,2564.750999,1758.192195,2939.665955,3459.173556,1205.921762,1288.43325,1099.376432,1656.493955,3294.893402,1463.135769,3487.945255,3068.350048,1753.568998,2972.158745,1881.293753,1967.231554,2577.263462,2327.112608
6/13/2017,164,24hr,41.443446,2141.123542,1771.964152,748.3260299,488.4212543,2163.357002,2109.25081,2654.806851,1596.675931,2249.834357,1320.897163,1962.536731,1765.253346,1755.072524,2454.563932,1926.559107,1442.872214,2492.876311,2688.495318,960.5395694,1044.930199,889.0415856,1271.782555,2504.464935,1192.869562,2754.320178,2296.135938,1526.028503,2249.831935,1463.087898,1504.828792,1981.949772,1830.345007
6/14/2017,165,24hr,60.250442,2984.342835,2194.806024,1149.364376,735.2406092,3278.511064,3163.269973,3793.427519,2086.632167,2421.27073,2063.650535,2580.764298,2516.395629,1912.779164,3409.576531,2730.377523,2021.167287,3144.668071,3783.999284,1198.812465,1402.868714,1306.537843,1920.202203,3819.394995,1646.179448,4060.04644,3393.058678,1917.791425,3325.4047,2116.826745,2179.80602,2948.964316,2797.724457
6/15/2017,166,24hr,30.926736,2241.708475,1781.248661,801.5943909,510.6543923,2176.425524,2175.910684,2871.439941,1590.764571,1967.960917,1452.046232,1965.92998,1904.008413,1589.307011,2522.244941,1969.079357,1400.677033,2345.584864,2555.071452,879.7294975,977.9695622,885.8821471,1312.142458,2606.503146,1099.509,2646.867461,2201.478133,1431.434133,2169.542601,1371.163927,1422.523015,2017.598731,1824.263104
