"Date","DOY","Interval","VPD","HBON9","HBOS9","HBIN9","HBIS9","HBON10","HBOS10","HBON11","HBON12","HBOS12","HBON13","HBON14","HBOS14","HBON15","HBON16","HBOS16","HBON17","HAON1","HAOS1","HAIN1","HAIS1","HAOS2","HAON2","HAON3","HAOS3","HAON4","HAOS4","HAON5","HAON6","HAOS6","HAON7","HAON8","HAOS8"
2017-06-01,152,"24hr",74.981027,1652.21820469,2565.692515632,1351.6720555,1026.388548635,2212.097990573,1678.482536438,2602.886609148,2267.324914227,1470.786902657,1132.024249911,2274.099264139,2619.231067211,2155.157600941,1257.828483581,2063.712483018,2679.057610856,1804.614894639,1366.75817863,1746.095455385,1194.293738559,1143.277829557,1742.666109378,952.667466631,1388.363813858,3163.949218684,1349.917075485,1281.933199328,1329.368076075,962.388568248,2140.92375596,1717.336739381,1264.157158325
2017-06-02,153,"24hr",91.6940487,1855.448918159,2976.364883216,1525.825826267,1168.827096286,2552.98472989,2039.476906173,2870.212104738,2520.724051899,1685.74506866,1305.632981467,2602.846722267,3003.200942113,1495.083277775,1538.978961167,2316.030324325,2957.200475502,1975.442760359,1506.449333463,1869.665950846,1274.360742657,1224.571059438,1975.051624111,1049.65988305,1549.705131873,3630.032452719,1565.932319965,1451.317904623,1379.402782687,1198.772940232,2313.474348388,1749.259398957,1295.028519589
2017-06-03,154,"24hr",94.087924,1983.845236603,3357.304872954,1615.67196558,1232.467220421,2919.650692179,2321.971181915,3236.737221447,2806.216172318,1754.345209615,1459.907598186,2915.270357822,3358.963797281,2379.201044078,1634.083811822,2504.094177094,3218.322330699,2164.026034402,1611.873784149,2023.869296502,1392.399383228,1269.893049118,2126.562605938,1003.785936082,1594.722238539,4273.187274655,1753.15962926,1553.440722496,1253.251577202,1610.963022935,2449.475264807,1971.798255251,1180.972252137
2017-06-04,155,"24hr",45.978394,1485.645568348,2359.678949862,1216.669614293,904.542122044,2075.521507946,1666.776730242,2407.78092612,1990.787183032,1270.645684957,1092.867086124,2088.884669174,2413.788037759,1408.361338638,1223.572093963,1850.173926143,2342.834759122,1585.38865481,1178.373433259,1521.250550585,1018.277215097,973.222392269,1577.714174047,706.152494911,1193.380472529,3058.857489985,1261.592290994,1160.959252546,848.673444697,880.765013528,1748.761820539,1741.247166205,840.351489584
2017-06-05,156,"24hr",9.191109,337.046500791,431.195875822,329.33853124,204.394318268,353.000170653,262.306063182,464.005710746,328.690909422,321.34775352,159.573306966,385.599172591,443.525649566,674.400356838,319.190651809,394.61702428,619.682049992,399.059817892,257.290791983,329.350482445,206.582893579,205.710957831,324.541269863,305.501975917,350.177488967,408.288187371,217.475039254,296.699540966,273.380658372,168.405770231,412.133046298,316.959507939,280.361677661
2017-06-06,157,"24hr",85.80676,1628.108055872,2461.110444921,1423.416331512,1020.787317157,2062.755532753,1587.941800682,2327.81932446,1973.541091386,1504.649742212,1005.331881137,2111.461294483,2493.292050469,1544.248744274,1337.501994178,1911.061304494,2705.264803671,1710.005614057,1314.922230584,1745.912810721,1144.933669401,1075.943435386,1638.322118479,959.44997649,1385.350214943,2682.420881106,1198.347796011,1314.074104321,1301.204152194,2528.678208941,1934.434736519,1628.184242821,1252.53528949
2017-06-07,158,"24hr",70.79616,1644.072938543,2346.371420516,1473.389852901,1038.072570165,2122.575517718,1587.308352784,2349.177383233,2009.642298814,1607.76907199,1076.452819297,2127.006958723,2442.517309101,1510.057219874,1597.833410813,1943.055732982,2732.433396093,1800.85278107,1343.377120725,1728.88189154,1138.625021747,1118.457316552,1753.412406384,1075.202422019,1489.512562453,2541.56038578,1206.664067385,1355.165260946,1243.761016455,3432.085519305,1921.644485823,1622.445767705,1231.070879648
2017-06-08,159,"24hr",47.517702,1189.270545375,1593.237229865,1091.010506647,733.027941451,1585.419083221,1134.41321888,1751.096074318,1492.741306475,1210.081614885,725.215213028,1529.031380214,1768.359598207,999.354667562,1191.221274622,1443.391670572,2072.007558123,1470.260319256,974.801630169,1213.672305989,793.540952026,760.314305224,1269.513477994,851.577011537,1151.892141408,1811.121122167,860.562658415,1015.21241395,845.111714457,1529.172042933,1444.980516507,1067.344557604,814.369110999
2017-06-09,160,"24hr",69.37009,1573.430212989,2484.781167152,1312.514249912,958.20268781,2181.110274982,1716.173599355,2450.316637465,2150.517897561,1416.823097542,1103.259021103,2199.534294077,2728.41745639,1150.634884951,1483.030858601,2014.04104779,2641.215398796,1874.862567336,1405.300941412,1796.666518674,1184.574015373,1066.637988298,1674.793903532,907.572211724,1385.979487427,3093.866633256,1352.775391883,1323.417384654,1072.573253193,2002.657581772,2041.578182922,1696.329364606,955.280215372
2017-06-10,161,"24hr",81.957761,1967.894339573,3162.1698286,1596.172191417,1226.042801662,2782.365806987,2300.177941927,3238.818932435,2776.40942793,1749.368971965,1436.852735645,2841.796966495,3361.494032615,1679.914612549,1790.128217163,2419.333270575,3206.02148315,2234.196844447,1625.804052188,2146.995323291,1482.940428056,1348.893659462,2030.326086238,981.095173091,1599.912707486,4084.363293343,1752.390396017,1603.049413556,1306.304436194,1910.004005955,2451.482998616,1946.680142319,1255.422842022
2017-06-11,162,"24hr",75.418582,1833.583530152,2882.80328626,1536.995923159,1153.861480526,2513.335863265,2073.727152866,2980.992215907,2523.497075277,1673.228855229,1312.41593388,2527.24319314,2978.581380676,992.405567245,1711.955599906,2245.570644783,3008.233987451,2089.975695399,1497.375520384,1951.459570143,1358.227808139,1268.182186395,1896.834507959,1015.551215256,1563.348483561,3512.720403867,1636.454983713,1519.309800478,1355.91333955,2749.105943606,2254.10669691,1794.42443162,1336.369341561
2017-06-12,163,"24hr",53.802174,1539.709282675,2339.979260329,1316.968945932,970.665315245,2008.879990537,1666.576058985,2419.089318294,2038.782987823,1447.728377639,1070.022454083,2041.241508972,2282.268247467,1388.664974546,1475.272745654,1884.884639577,2590.171899582,1740.452015436,1244.887309125,1597.503453074,1124.497638476,1079.149693605,1591.774205318,940.421281406,1353.999382217,2714.30755425,1274.042866138,1282.849289423,1040.514476325,1215.904432449,1882.468978632,1440.903046012,1057.905808094
