System,Tree,Month,Diameter,r,Total Area,>40mm,20-40mm,0-20mm
1,HC1,Jan,13.3,5.15,83.32289115,4.154756284,27.01769682,52.15043805
1,HC1,Feb,13.5,5.25,86.59014751,4.908738521,28.27433388,53.40707511
1,HC1,Mar,13.4,5.2,84.94866535,4.523893421,27.64601535,52.77875658
1,HC1,Apr,13.75,5.375,90.76257526,5.939573611,29.84513021,54.97787144
1,HC1,May,14,5.5,95.03317777,7.068583471,31.41592654,56.54866776
1,HC1,Jun,14.3,5.65,100.2874915,8.552985999,33.30088213,58.43362336
1,HC1,Jul,14.4,5.7,102.0703453,9.079202769,33.92920066,59.06194189
1,HC1,Aug,14.4,5.7,102.0703453,9.079202769,33.92920066,59.06194189
1,HC1,Sep,14.3,5.65,100.2874915,8.552985999,33.30088213,58.43362336
1,HC1,Oct,14.7,5.85,107.5131546,10.75210086,35.81415625,60.94689748
1,HC1,Nov,14.6,5.8,105.6831769,10.1787602,35.18583772,60.31857895
1,HC1,Dec,14.5,5.75,103.8689071,9.621127502,34.55751919,59.69026042
1,HC2,Jan,14.9,5.95,111.2202339,11.94590607,37.07079331,62.20353454
1,HC2,Feb,14.5,5.75,103.8689071,9.621127502,34.55751919,59.69026042
1,HC2,Mar,14.9,5.95,111.2202339,11.94590607,37.07079331,62.20353454
1,HC2,Apr,15.3,6.15,118.8228881,14.52201204,39.58406744,64.71680866
1,HC2,May,15.4,6.2,120.7628216,15.20530844,40.21238597,65.34512719
1,HC2,Jun,15.45,6.225,121.7386788,15.55284713,40.52654523,65.65928646
1,HC2,Jul,15.5,6.25,122.718463,15.90431281,40.8407045,65.97344573
1,HC2,Aug,15.5,6.25,122.718463,15.90431281,40.8407045,65.97344573
1,HC2,Sep,16.2,6.6,136.847776,21.23716634,45.23893421,70.37167544
1,HC2,Oct,15.75,6.375,127.6762889,17.72054606,42.41150082,67.54424205
1,HC2,Nov,16.1,6.55,134.7821788,20.42820623,44.61061568,69.74335691
1,HC2,Dec,16,6.5,132.7322896,19.63495408,43.98229715,69.11503838
1,HC3,Jan,13.6,5.3,88.24733764,5.309291585,28.90265241,54.03539364
1,HC3,Feb,13.4,5.2,84.94866535,4.523893421,27.64601535,52.77875658
1,HC3,Mar,13.6,5.3,88.24733764,5.309291585,28.90265241,54.03539364
1,HC3,Apr,13.8,5.4,91.60884178,6.157521601,30.15928947,55.2920307
1,HC3,May,14,5.5,95.03317777,7.068583471,31.41592654,56.54866776
1,HC3,Jun,14.1,5.55,96.76890771,7.54767635,32.04424507,57.1769863
1,HC3,Jul,14.2,5.6,98.52034562,8.042477193,32.6725636,57.80530483
1,HC3,Aug,14.3,5.65,100.2874915,8.552985999,33.30088213,58.43362336
1,HC3,Sep,14.5,5.75,103.8689071,9.621127502,34.55751919,59.69026042
1,HC3,Oct,14.55,5.775,104.7740785,9.897980354,34.87167845,60.00441968
1,HC3,Nov,14.5,5.75,103.8689071,9.621127502,34.55751919,59.69026042
1,HC3,Dec,14.5,5.75,103.8689071,9.621127502,34.55751919,59.69026042
1,HC4,Jan,14.6,5.8,105.6831769,10.1787602,35.18583772,60.31857895
1,HC4,Feb,14.5,5.75,103.8689071,9.621127502,34.55751919,59.69026042
1,HC4,Mar,14.4,5.7,102.0703453,9.079202769,33.92920066,59.06194189
1,HC4,Apr,14.8,5.9,109.3588403,11.34114948,36.44247478,61.57521601
1,HC4,May,15.1,6.05,114.9901451,13.20254313,38.32743037,63.4601716
1,HC4,Jun,15.4,6.2,120.7628216,15.20530844,40.21238597,65.34512719
1,HC4,Jul,15.6,6.3,124.6898124,16.61902514,41.46902303,66.60176426
1,HC4,Aug,15.7,6.35,126.6768698,17.34944543,42.09734156,67.23008279
1,HC4,Sep,15.8,6.4,128.6796351,18.09557368,42.72566009,67.85840132
1,HC4,Oct,16,6.5,132.7322896,19.63495408,43.98229715,69.11503838
1,HC4,Nov,16.2,6.6,136.847776,21.23716634,45.23893421,70.37167544
1,HC4,Dec,16,6.5,132.7322896,19.63495408,43.98229715,69.11503838
1,HC5,Jan,13.8,5.4,91.60884178,6.157521601,30.15928947,55.2920307
1,HC5,Feb,13.8,5.4,91.60884178,6.157521601,30.15928947,55.2920307
1,HC5,Mar,13.8,5.4,91.60884178,6.157521601,30.15928947,55.2920307
1,HC5,Apr,14.25,5.625,99.40195505,8.295768101,32.98672286,58.11946409
1,HC5,May,14.45,5.725,102.9676627,9.34820164,34.24335992,59.37610115
1,HC5,Jun,14.55,5.775,104.7740785,9.897980354,34.87167845,60.00441968
1,HC5,Jul,14.65,5.825,106.5962022,10.46346703,35.49999699,60.63273821
1,HC5,Aug,14.7,5.85,107.5131546,10.75210086,35.81415625,60.94689748
1,HC5,Sep,14.9,5.95,111.2202339,11.94590607,37.07079331,62.20353454
1,HC5,Oct,15,6,113.0973355,12.56637061,37.69911184,62.83185307
1,HC5,Nov,15,6,113.0973355,12.56637061,37.69911184,62.83185307
1,HC5,Dec,14.8,5.9,109.3588403,11.34114948,36.44247478,61.57521601
1,HC6,Jan,13.6,5.3,88.24733764,5.309291585,28.90265241,54.03539364
1,HC6,Feb,13.5,5.25,86.59014751,4.908738521,28.27433388,53.40707511
1,HC6,Mar,13.7,5.35,89.92023573,5.725552611,29.53097094,54.66371217
1,HC6,Apr,14.1,5.55,96.76890771,7.54767635,32.04424507,57.1769863
1,HC6,May,14.3,5.65,100.2874915,8.552985999,33.30088213,58.43362336
1,HC6,Jun,14.35,5.675,101.1769549,8.814130889,33.61504139,58.74778262
1,HC6,Jul,14.45,5.725,102.9676627,9.34820164,34.24335992,59.37610115
1,HC6,Aug,14.5,5.75,103.8689071,9.621127502,34.55751919,59.69026042
1,HC6,Sep,14.7,5.85,107.5131546,10.75210086,35.81415625,60.94689748
1,HC6,Oct,14.8,5.9,109.3588403,11.34114948,36.44247478,61.57521601
1,HC6,Nov,14.8,5.9,109.3588403,11.34114948,36.44247478,61.57521601
1,HC6,Dec,14.7,5.85,107.5131546,10.75210086,35.81415625,60.94689748
1,HC7,Jan,14.2,5.6,98.52034562,8.042477193,32.6725636,57.80530483
1,HC7,Feb,14,5.5,95.03317777,7.068583471,31.41592654,56.54866776
1,HC7,Mar,14.2,5.6,98.52034562,8.042477193,32.6725636,57.80530483
1,HC7,Apr,14.6,5.8,105.6831769,10.1787602,35.18583772,60.31857895
1,HC7,May,14.85,5.925,110.2875736,11.64156428,36.75663405,61.88937528
1,HC7,Jun,15.1,6.05,114.9901451,13.20254313,38.32743037,63.4601716
1,HC7,Jul,15.15,6.075,115.9424404,13.52651987,38.64158964,63.77433087
1,HC7,Aug,15.1,6.05,114.9901451,13.20254313,38.32743037,63.4601716
1,HC7,Sep,15.4,6.2,120.7628216,15.20530844,40.21238597,65.34512719
1,HC7,Oct,15.45,6.225,121.7386788,15.55284713,40.52654523,65.65928646
1,HC7,Nov,15.5,6.25,122.718463,15.90431281,40.8407045,65.97344573
1,HC7,Dec,15.3,6.15,118.8228881,14.52201204,39.58406744,64.71680866
1,HC8,Jan,15.6,6.3,124.6898124,16.61902514,41.46902303,66.60176426
1,HC8,Feb,15.45,6.225,121.7386788,15.55284713,40.52654523,65.65928646
1,HC8,Mar,15.6,6.3,124.6898124,16.61902514,41.46902303,66.60176426
1,HC8,Apr,16.1,6.55,134.7821788,20.42820623,44.61061568,69.74335691
1,HC8,May,16.3,6.65,138.9290811,22.06183441,45.86725274,70.99999397
1,HC8,Jun,16.475,6.7375,142.6091624,23.54280082,46.96681017,72.0995514
1,HC8,Jul,16.625,6.8125,145.8018059,24.85048876,47.90928797,73.0420292
1,HC8,Aug,16.7,6.85,147.4113813,25.51758633,48.38052687,73.51326809
1,HC8,Sep,17,7,153.93804,28.27433388,50.26548246,75.39822369
1,HC8,Oct,17.35,7.175,161.7311533,31.66921744,52.46459731,77.59733854
1,HC8,Nov,17,7,153.93804,28.27433388,50.26548246,75.39822369
1,HC8,Dec,16.95,6.975,152.8404461,27.80505848,49.95132319,75.08406442
1,HC9,Jan,16.25,6.625,137.8864651,21.64753688,45.55309348,70.68583471
1,HC9,Feb,16.1,6.55,134.7821788,20.42820623,44.61061568,69.74335691
1,HC9,Mar,16.25,6.625,137.8864651,21.64753688,45.55309348,70.68583471
1,HC9,Apr,16.75,6.875,148.4893403,25.96722678,48.69468613,73.82742736
1,HC9,May,17.05,7.025,155.039561,28.74753628,50.57964172,75.71238295
1,HC9,Jun,17.35,7.175,161.7311533,31.66921744,52.46459731,77.59733854
1,HC9,Jul,17.6,7.3,167.4154725,34.211944,54.03539364,79.16813487
1,HC9,Aug,17.7,7.35,169.7166891,35.25652355,54.66371217,79.7964534
1,HC9,Sep,17.95,7.475,175.538453,37.93669479,56.2345085,81.36724973
1,HC9,Oct,17.25,7.125,159.4849146,30.67961576,51.83627878,76.96902001
1,HC9,Nov,18,7.5,176.7145868,38.48451001,56.54866776,81.68140899
1,HC9,Dec,18.1,7.55,179.0786352,39.59192142,57.1769863,82.30972752
1,LO10,Jan,17.6,7.3,167.4154725,34.211944,54.03539364,79.16813487
1,LO10,Feb,17.3,7.15,160.6060704,31.17245311,52.15043805,77.28317928
1,LO10,Mar,17.625,7.3125,167.989304,34.47161627,54.19247327,79.3252145
1,LO10,Apr,18.225,7.6125,182.0557851,40.998275,57.96238446,83.09512569
1,LO10,May,18.675,7.8375,192.9767466,46.26436969,60.78981785,85.92255908
1,LO10,Jun,19.05,8.025,202.3205304,50.89576448,63.14601234,88.27875357
1,LO10,Jul,19.475,8.2375,213.1771874,56.41171396,65.81636609,90.94910732
1,LO10,Aug,19.75,8.375,220.3532722,60.13204689,67.54424205,92.67698328
