Date,DOY,Interval,VPD,HCOS1,HCON1,HCON2,HCIS9,HCON3,HCOS4,HCON5,HCOS6,HCON6,HCOS7,HCON8,HCOS8,HCIN8,HCON9,HCOS2,HCON4,LOON10,LOOS10,LOIN10,LOIS10,LOON11,LOOS11,LOON17,LOOS17,LOON15,LOOS15,LOON14,LOOS14,LOON12,LOOS12,LOON16,LOON13
5/1/2017,121,24hr,23.578533,389.0693015,438.7995805,347.5065018,346.3290617,112.7416981,363.1788269,298.4787667,582.417868,262.7603534,170.2813891,309.2115596,430.6555898,156.0473244,871.1205701,406.4167449,457.3356691,1465.674836,583.2303411,563.9846729,270.1464755,674.7729917,1011.018288,383.6154111,632.9318788,949.445325,620.9083172,630.7216648,459.8551882,932.0098626,318.6185286,461.6640439,1006.923919
5/2/2017,122,24hr,100.6368187,1605.408444,2238.598212,1432.287898,1298.677886,524.3477832,1205.316768,1268.241472,2225.746024,837.2704052,821.0520218,1645.520268,1353.212713,478.5313745,2207.656879,1946.687954,1332.798024,2844.287097,1750.623034,1690.627544,1044.600985,2236.588389,3274.240224,1654.145312,2914.162825,3239.25188,1803.692819,2512.848952,1957.129887,4313.152479,778.0378144,1779.450905,2979.815093
5/3/2017,123,24hr,87.5038971,1580.446397,2384.632058,1452.600929,1139.229809,503.6208369,1152.00093,1337.534316,2203.916516,814.9346762,798.0941344,1636.894787,1167.502032,696.9747056,2113.409192,2127.211594,1217.363591,2960.699015,1758.743529,1924.631887,1139.258337,2280.433256,3313.59892,1590.828652,3333.786944,3438.597276,1764.447577,3723.42368,2068.112231,5465.859182,470.542228,1773.602511,2823.73052
5/4/2017,124,24hr,43.4812451,706.2925156,971.6090202,675.4355146,667.4155319,232.3077863,498.1833187,581.5950141,1010.560115,345.6199806,379.7921389,576.6986423,534.7799884,294.9515886,1151.925178,862.3091837,544.8470632,904.4203923,934.3951614,973.2975462,552.9808491,1298.835217,1500.516199,528.8870463,1383.96063,1842.127228,1032.086363,2869.246232,1100.915492,2168.165911,644.6699441,937.342251,1725.735539
5/5/2017,125,24hr,48.0123164,915.9889914,1046.26458,811.6928166,966.4782975,359.2801356,695.5424962,833.4493174,1211.53973,547.0563526,622.4179199,827.277801,725.1206172,366.9019138,1639.141037,1074.188156,685.7405534,2493.81623,1312.775752,818.8209355,533.9420619,1366.479972,1781.730789,716.2109184,1630.094452,1925.385962,1516.252173,2176.375263,1325.75547,2238.065443,1922.689532,1170.831441,1933.540848
5/6/2017,126,24hr,52.35363,1066.489377,1253.740435,941.8315194,1137.647947,395.0582022,921.8329596,901.0608147,1371.626958,656.0745719,649.965659,1037.727707,965.7458703,420.1378145,1688.453272,1194.110094,868.3841581,2943.092083,1320.606001,1121.592891,665.2861592,1559.524909,2189.30805,896.1892049,1762.437152,2336.37883,1556.003445,1812.657933,1475.526011,2492.157026,1286.216647,1335.378912,2347.246109
5/7/2017,127,24hr,68.95323,1482.099844,2031.481073,1344.760288,1160.278185,523.8901988,1202.275642,1252.620817,1943.095613,877.1240075,843.1068088,1568.489,1216.42825,604.1386368,2171.787536,1874.410894,1159.902425,4621.696659,1693.55913,1683.237371,964.6294896,2062.788165,3259.680183,1503.510924,2810.608439,3194.404635,1858.686545,2521.055907,1924.690509,4353.082892,1025.282856,1715.637583,2800.613668
5/8/2017,128,24hr,80.8898605,1552.298766,2296.714001,1426.244143,1092.144788,548.2473905,1207.299519,1315.487363,2105.699035,899.2585958,922.6173258,1683.50621,1295.895296,627.4574445,2208.210682,2131.373922,1335.067095,4438.449454,1831.749225,1795.337356,1082.695393,2209.546264,3558.334593,1744.406419,3133.115012,3524.853173,1848.225569,1388.655873,2092.955276,4895.187919,1103.021393,1774.277509,2877.678554
5/9/2017,129,24hr,5.114909,59.35178206,160.6990103,69.9289903,88.05973658,3.668357676,82.82574126,70.74463979,145.8212144,25.28950146,15.03064758,85.1862406,50.11379987,14.14438762,211.531934,198.8871305,94.50967284,1034.531177,146.3533275,306.2213597,179.4020332,335.8200639,320.2210671,127.1545531,343.1692447,490.1881166,198.3267385,518.6492136,212.7153369,612.6006053,91.67874831,139.4710614,337.6400518
5/10/2017,130,24hr,50.299337,1037.695668,1359.025266,1028.765201,891.5764571,467.5528973,1036.358643,1017.895153,1565.938981,727.0131106,626.547596,1274.394002,819.6035526,703.7768675,1897.935566,1497.967149,993.6289368,2353.306512,1710.153263,1294.477766,823.6839731,1991.347686,3020.276263,1234.437943,2619.815228,3214.637807,1561.622949,1889.517194,1717.569514,5024.214567,559.0874833,1484.279915,2224.891778
5/11/2017,131,24hr,31.0340669,723.1170663,964.3487499,693.6365907,1592.899658,346.8484601,700.6455536,681.7366428,1129.595468,499.1446085,379.8398512,812.0236476,690.065674,303.9518898,1510.115675,945.7062129,788.9555039,1609.368375,1078.747975,932.8263003,580.4395193,1341.311497,2023.318148,787.4517937,1707.55859,2583.618704,969.6080916,1624.729911,1124.259358,2981.911254,415.3060753,999.5491791,1807.892064
5/12/2017,132,24hr,0.0846493,22.02660829,41.33102146,31.61412582,40.52227583,13.40462181,38.66258644,17.56233178,42.09650778,41.57184432,19.88947354,13.86902923,57.78006056,27.25456526,23.77183584,28.30889194,73.10118256,43.82817774,129.3575873,17.86309735,8.511671356,6.294268828,35.59993944,25.85398758,41.01523416,122.4518813,33.41478153,18.93788394,2.841885506,33.57811693,194.0764109,14.81196932,52.75147053
5/13/2017,133,24hr,34.590223,762.560429,1129.657301,861.2615741,1026.84267,388.250835,743.0956977,766.6089733,1190.891613,585.86707,557.4289844,928.492875,709.393074,346.6198194,1698.672901,1012.299638,901.251063,2285.532157,1236.843993,1110.003518,656.5909356,1539.970013,2366.970782,1040.399814,1585.754565,2184.017228,1082.290583,1642.909138,1354.327204,2729.174607,786.3084748,1194.737187,1976.989
