"Date","DOY","Interval","VPD","HCOS1","HCON1","HCON2","HCIS9","HCON3","HCOS4","HCON5","HCOS6","HCON6","HCOS7","HCON8","HCOS8","HCIN8","HCON9","HCOS2","HCON4","LOON10","LOOS10","LOIN10","LOIS10","LOON11","LOOS11","LOON17","LOOS17","LOON15","LOOS15","LOON14","LOOS14","LOON12","LOOS12","LOON16","LOON13"
"8/1/2017",213,"24hr",42.736072,526.35329172,894.35101311,654.61095756,379.02173139,144.49209876,337.50717984,484.27052373,852.23696589,347.47985628,240.02631333,849.73137795,678.52059003,348.9334128,1368.8299449,952.6107528,445.12027416,834.61210272,1203.2436996,1039.0079061,403.56259641,1700.0026083,1831.8301317,1057.1528331,1741.9828788,1783.5437619,296.13895632,1410.1746723,950.9502843,2728.8744057,97.18902873,540.20028204,879.36583374
"8/2/2017",214,"24hr",55.279722,578.19332538,945.0212994,661.49769078,995.5284318,139.39439859,305.22373749,489.84489252,879.42836079,333.05816547,228.41901648,956.187828,759.64163787,486.45565218,1531.0212624,1069.0334559,417.48769422,865.90222254,1297.9529514,1077.9428115,406.24888896,1819.1004525,1973.0050191,1160.0977302,2047.9150377,1999.7654769,315.79804746,1491.2481681,1042.8592338,3388.854384,73.301881482,544.57865073,902.0990286
"8/3/2017",215,"24hr",71.196421,693.53367633,1231.4799891,870.02286246,371.76011604,175.85090073,327.45658644,657.44905482,1150.9525359,369.80903322,246.12535017,1213.4201211,877.29336729,524.32638588,1753.8011649,1372.6171242,459.80115741,966.6630216,1542.4949079,1182.9340062,393.24320847,2177.3656899,2338.7878989,1465.8082533,2587.5726318,2434.4247096,478.47138948,1784.7719883,1266.2628201,4274.5723965,64.116401859,595.36504863,982.7126307
"8/4/2017",216,"24hr",78.38401,601.53335901,1127.7051048,796.09683168,358.21937115,134.42026806,308.24491734,577.84284621,1058.5190511,325.810143,182.92842045,1092.1801788,747.73279998,523.03613931,1625.4071991,1305.3644496,416.4294492,872.18072118,1380.3354063,1044.3945888,337.62541563,1975.9173498,2104.3600578,1290.0855357,2380.714983,2260.5896349,398.2973958,1585.531044,1116.549198,3866.4403344,32.11020675,540.75533715,847.28488887
"8/5/2017",217,"24hr",94.916855,602.59852395,912.4478316,620.96747499,253.88504316,96.78987783,302.22155421,407.9972529,834.61471101,304.57207206,196.81410483,1070.8100226,770.0479416,428.57543916,1452.2309091,1067.6380761,448.24834773,886.88411667,1275.4771695,1026.5537979,384.8319567,1843.5268485,1985.360418,1002.1990986,1894.2737409,1714.5396738,359.53951158,1283.7169359,993.6883908,3229.9289379,95.62092111,496.27853136,825.41097936
"8/6/2017",218,"24hr",68.2411675,657.21276126,907.3905993,601.63961238,209.50625628,96.3471609,277.14897819,410.64031485,754.68391146,320.23670031,189.52302096,1170.6485814,799.84329723,535.33447227,1560.1032045,1070.19153,425.02804389,869.5209519,1376.3483784,1022.5234332,310.4763408,2080.3588704,2098.5123366,987.5414637,2210.3652033,1923.8728392,275.54379543,1375.4966067,1090.6504083,3899.1962493,72.638105481,513.97246404,741.53691729
"8/7/2017",219,"24hr",8.333,258.5294559,351.1033731,248.140422,160.92420417,67.075308468,175.25174004,229.90334553,321.66700308,182.23157574,64.717492635,359.66624292,264.27324708,77.193779994,600.41174625,330.24131208,243.85373001,351.56463633,495.85900914,376.19097444,150.95616237,643.55072724,612.12460788,382.59244872,740.43025326,813.10454496,178.85515608,576.71235495,361.9485369,1151.4414024,42.018443271,250.56741555,199.25141814
"8/8/2017",220,"24hr",12.210441,410.89226742,503.62738092,443.91120579,411.81708069,177.97712229,390.84607233,384.84631935,539.0177184,302.87787453,197.19252675,420.6655566,433.38139407,142.73205336,817.03893285,450.9786978,447.9135768,603.52456149,716.98931901,599.29778835,388.93338819,868.40907201,1014.0203763,526.39079256,571.90334544,823.28680098,431.75210625,717.76102833,544.56435378,1071.9243792,278.81518707,468.62467686,468.58310532
"8/9/2017",221,"24hr",45.131264,973.6441038,1347.0033024,1106.8925337,569.17169856,355.8651741,795.16895985,926.3736999,1434.6893574,620.18585073,469.5591015,1174.1171679,936.6562728,482.10584652,1782.395154,1443.6230355,863.85045798,1147.5392607,1758.7519371,1198.1213055,608.35784247,2112.4875519,2332.913283,1339.1577036,1889.3947608,2341.8517311,705.57082632,1972.1364975,1427.1895773,3740.5650474,267.25885731,1105.6327884,1074.9885651
"8/10/2017",222,"24hr",32.998188,716.75153469,1111.549788,837.18275967,470.88575613,245.50107795,505.38743946,696.67576821,1143.1782216,463.96628739,350.38540863,883.64907,695.19241395,441.98595459,1530.1822428,1167.5720538,624.50953272,975.5219241,1454.5327059,1015.6073796,482.33769687,1846.3999698,1989.7885395,1073.082024,1651.9440771,2192.4586593,598.72849947,1683.0460737,1178.8813575,3170.3219073,92.04640893,852.24944295,887.71125339
"8/11/2017",223,"24hr",24.96775,869.66976474,1128.4895259,899.26724583,648.26696601,485.9531037,682.08245379,773.27327169,1172.0167002,757.5015546,615.46269456,987.8103567,825.64977627,987.476337,1464.8640354,1123.7377365,476.32717872,748.07175645,1144.0198557,1080.7966269,709.99604649,1443.8866725,1612.5599232,1106.863713,1621.6611327,2052.8656623,460.01010267,1317.6942075,1288.3393179,2629.0101195,244.70321139,947.5217478,775.93903758
"8/12/2017",224,"24hr",9.79798,1182.929427,1356.0480576,1220.5430073,961.8778008,838.26337851,1167.4674846,1131.309702,1448.0077338,1107.0777888,913.7950542,1163.5449885,1144.0316088,1189.2634641,1756.3705848,1249.4442312,607.6167786,824.73588927,1113.3655065,1434.4161147,1317.776886,1300.6080081,1794.9258135,1456.375572,1550.5855722,2089.5536565,631.81339857,1315.137816,1568.2032729,1809.6785703,710.18622135,1329.4547937,881.53523028
"8/13/2017",225,"24hr",27.995392,774.13434507,926.929422,776.30006754,570.85797402,317.75387958,726.09773148,681.62113503,1059.8200137,589.66259094,496.8071451,819.7124508,737.04532437,236.26041183,1482.1840251,853.25809482,780.04298808,973.0622673,1377.6686352,992.9643219,789.86993472,1556.7457725,1977.8814216,982.376946,1339.8974145,1622.5953966,633.02254722,1498.7714535,1148.8547565,2291.7462219,355.31182143,993.2851269,936.7708104
