"Date","DOY","Interval","VPD","LCON1","LCOS1","LCIN1","LCIS1","LCOS2","LCON2","LCON3","LCON4","LCOS4","LCON5","LCON6","LCOS6","LCON7","LCON8","LCOS8","LCON9","HOON10","HOOS10","HOIN10","HOIS10","HOON11","HOOS11","HOON12","HOOS12","HOON13","HOON14","HOOS14","HOON15","HOOS16","HOON16","HOOS17","HOON17"
"8/1/2017",213,"24hr",42.736072,416.96270451,1897.2610128,1119.1601673,618.2537706,1875.3544512,1946.8878048,1206.8236431,1574.5997952,1550.646576,863.89300449,1635.5037276,2166.4490076,1279.6404534,586.86633549,1572.1631766,1244.3539518,1247.8539924,2913.3113751,681.64181649,591.37637742,795.65743467,943.5196476,1210.8974544,879.87815397,1505.729133,1289.4188616,1426.2192234,1535.9483187,1635.4680534,1659.8262015,2219.072049,885.91146183
"8/2/2017",214,"24hr",55.279722,523.09003716,2337.9938235,1345.8433527,699.10169193,2207.4016419,2359.999917,1368.8775567,1918.5043851,1703.2046085,995.4606708,1895.2726959,2550.9178467,1532.2916916,678.05294697,1692.2741004,1489.7151387,1359.5268888,3222.2078325,722.77974567,615.61822761,773.15038695,953.4340872,1243.134594,919.9606023,1694.4498981,1440.7628562,1597.1461263,1757.2715073,1795.5646443,1861.2060363,2405.1802518,959.5095192
"8/3/2017",215,"24hr",71.196421,661.19273649,2937.9672081,1664.7887565,797.40785331,2711.5756965,2866.3578027,1547.6692203,2413.983501,1913.1645303,1134.8922762,2294.5012695,3035.0523798,1979.2542825,799.8667821,1781.387334,1852.2763866,1561.4505054,4080.106773,876.13618914,726.46994646,886.18184388,1121.1435756,1331.8594452,1003.2581529,2154.8024667,1679.1985971,1984.8236472,2679.3569637,2092.7307456,2245.6260225,2880.0326268,1118.0623437
"8/4/2017",216,"24hr",78.38401,548.08720488,2699.8353585,1479.5913114,688.29197238,2436.7119561,2993.0689017,1415.4137001,2334.8998881,1848.4180299,1095.4181844,2208.1673502,2943.284706,1869.6606057,794.65295079,1705.5720522,1780.2365688,1452.1989339,3746.4273531,821.26787364,677.21038794,841.3704882,1063.2158082,1251.126288,963.5629437,2091.3906852,1556.5447143,1807.071696,2342.8283076,2017.8120834,2151.117306,2635.6693545,1036.011717
"8/5/2017",217,"24hr",94.916855,866.56946814,3142.7300772,1846.9683018,1030.8987081,3025.4225148,3822.387741,1869.7956777,2244.8232909,2012.0690898,1067.8483413,2216.0173086,2909.3376474,1413.0469602,767.57473881,1857.6083763,1767.8426085,1548.5952267,3690.6513588,805.55888763,675.54609885,839.29609602,1054.7173692,1302.398406,975.2417928,1891.2690387,1582.4888586,1767.6181125,2299.4237349,2016.9389016,2144.1155193,2654.1295371,1092.945771
"8/6/2017",218,"24hr",68.2411675,624.6337023,2523.3381009,1539.6725628,819.81578241,2549.5933302,2484.6023178,1565.1561519,2243.2088421,1987.1140716,1074.5876763,2198.2671891,2915.6633289,1529.7762879,770.32656063,1761.86574,1786.0508559,1601.5074849,4067.0337069,885.12958674,742.00741425,859.20585732,1097.2295424,1328.6562192,970.7751486,2078.5843548,1628.0966097,1945.1525166,2425.9320243,2223.7939467,2415.485286,2861.1335916,1105.9975791
"8/7/2017",219,"24hr",8.333,190.93871349,693.0002295,420.36594012,244.13589558,793.36727298,719.21165742,442.1113209,547.77976416,617.94772623,315.07169724,562.97048985,729.94736394,561.40488153,265.65356862,688.87608237,501.247188,592.22771415,1212.5866482,275.84747154,249.44453415,305.76539016,343.65888198,563.20617105,350.27001612,648.8043237,534.94769043,585.22716414,1363.4877321,890.91456174,694.99720908,882.83377575,352.26146808
"8/8/2017",220,"24hr",12.210441,168.76895256,775.29795084,420.54236775,294.22563048,930.2905692,826.66095444,501.30192843,551.15551692,744.52187133,323.10740061,620.1894771,783.47667024,574.51220127,247.79004804,907.3541745,441.36646317,818.30635353,1203.8775786,311.84250246,249.40569987,440.1690264,497.32818894,842.0307534,605.43556533,633.51770175,688.88515653,697.83433515,677.85903261,798.26338503,749.1153645,1056.2351184,566.60218011
"8/9/2017",221,"24hr",45.131264,537.8013432,2135.6565768,1166.615028,723.90496698,2233.3758219,2000.6603478,1319.7238551,1713.2771142,1644.1697637,877.55984361,1729.3993929,2168.621496,1858.3948395,704.71004211,1658.7161073,1367.2642419,1693.8471897,3360.9743019,769.95146583,622.00859877,875.51435484,1040.418918,1463.2986105,1124.3360358,1664.5114593,1617.9943041,1813.9363191,1727.4980268,1916.5123098,1931.597037,2358.605151,1127.817918
"8/10/2017",222,"24hr",32.998188,358.14877056,1711.913706,956.2771116,571.98380319,1779.8487399,1693.7639694,1097.2394973,1385.8252578,1430.1810936,752.97033756,1356.2100162,1810.9472013,1415.9881566,521.1446697,1435.6363725,1072.0277811,1412.1841392,2768.5799793,679.01968458,566.47292733,730.18190214,868.69182465,1264.6489023,932.9613264,1391.8913037,1219.5377181,1450.5830199,1384.6536684,1576.1870424,1570.3741161,2007.7409781,876.99934467
