Date,DOY,Interval,VPD,LCON1,LCOS1,LCIN1,LCIS1,LCOS2,LCON2,LCON3,LCON4,LCOS4,LCON5,LCON6,LCOS6,LCON7,LCON8,LCOS8,LCON9,HOON10,HOOS10,HOIN10,HOIS10,HOON11,HOOS11,HOON12,HOOS12,HOON13,HOON14,HOOS14,HOON15,HOOS16,HOON16,HOOS17,HOON17
9/1/2017,244,24hr,-4.44E-16,36.27389876,23.0270035,10.8055203,1.675177549,17.34747254,5.131598945,13.73553932,8.950532252,29.99706217,22.15194243,63.78662874,32.56100724,31.00581757,57.20123624,67.99324379,12.20153666,42.44065968,251.5422847,5.635968778,6.026671176,43.17655661,25.64864735,40.48036011,70.46205706,34.16133643,53.18350038,16.36067119,19.78072305,27.30671069,135.9507967,49.12610897,19.62895286
9/2/2017,245,24hr,1.214742,48.39543344,234.742502,77.81598376,39.57286079,269.9380694,200.5023223,81.94107283,160.6542279,67.57136037,25.26456794,116.4682852,135.7975813,154.187742,32.91118047,84.85085878,77.25894901,116.8136051,415.622651,106.0672226,75.53097914,60.00221415,98.10135999,104.8612523,105.4929884,189.2644101,97.87078566,209.9443613,133.7163961,166.9319437,288.8031253,270.2389829,72.87364871
9/3/2017,246,24hr,45.061515,1152.923722,2971.060436,1116.995595,1320.220843,2951.090075,2352.593768,1905.311708,1473.995144,1398.962201,781.0613523,1496.77838,1878.103571,1757.538578,664.3413081,1307.27081,1162.67527,1458.907402,2632.898185,655.4875253,465.0078944,798.3882158,978.5541501,1267.275922,1045.557179,1379.312249,1415.141784,1757.056528,1494.596773,1761.138225,2034.103353,2045.257404,1098.99086
9/4/2017,247,24hr,58.34705,1357.179473,3306.652999,1089.148544,1706.390563,3198.673831,2753.112076,2204.883814,1991.632658,1604.114949,947.7500859,1787.36565,2262.459155,2364.975366,839.1614496,1514.998848,1433.279372,1824.582533,3322.668266,908.2153917,623.9610459,927.6215409,1167.251054,1513.785312,1234.678662,1891.076992,1668.024831,2206.213535,1918.777581,2187.830979,2482.557951,2554.640666,1305.436204
9/5/2017,248,24hr,42.66844,693.5345322,1979.062403,995.8318416,830.8520495,1989.784387,1651.9166,979.0927749,1729.013052,1298.558167,772.7296097,1550.405543,1942.155383,2116.252696,714.2685413,1268.424126,1202.81061,1449.731255,2938.561178,733.0129393,560.4499084,777.4489064,1005.332647,1304.114584,1042.521634,1717.050317,1423.767547,1890.489812,1838.076784,1880.707993,2089.255064,2212.332511,1057.783658
9/6/2017,249,24hr,-4.44E-16,174.1271038,36.15663575,199.6774635,192.9222231,54.53304443,64.69579988,12.85383987,63.97688937,93.11513958,76.80643436,97.4487897,92.84915223,108.0920881,74.46922704,85.51387192,84.821404,37.96899367,261.7336851,38.71252463,34.29081198,37.92877212,47.35421948,41.6796903,26.63072372,78.23299792,65.89559412,78.5867267,95.50654821,97.79461542,81.80763827,116.2296703,42.60338889
9/7/2017,250,24hr,35.5439725,591.3664993,2027.106685,1022.588144,614.677917,2345.385873,1739.838713,1217.081223,1747.51938,1607.642744,796.7244417,1609.189092,2276.071066,2195.806092,658.9597988,1387.444689,1336.582052,1530.189754,3430.667749,758.5799128,606.5543984,845.9788886,1105.578486,1434.738479,1135.736713,1682.113702,1518.418523,2149.936549,1825.743574,1992.243605,2135.553205,2338.185401,1146.007304
9/8/2017,251,24hr,53.506565,603.7469618,2180.96719,913.3827309,434.4479861,2391.311337,1764.172576,1023.050774,1977.336369,1503.356944,814.314267,1785.31349,2303.152693,2448.129536,672.7583425,1322.399459,1410.208039,1559.197239,4027.135228,804.652023,656.5435867,839.2101117,1124.578409,1460.926922,1098.577064,2083.020089,1617.341019,2258.643551,1934.666951,2172.799643,3176.588273,2553.603819,1070.441723
9/9/2017,252,24hr,47.1944114,707.3348612,2290.579817,1158.299204,668.8990398,2532.020666,1989.899139,1302.663431,1864.453159,1662.041632,860.970618,1824.562454,2143.292096,2232.898682,693.4618722,1587.765159,1332.055854,1859.11583,3810.410811,861.5244346,691.3978902,979.6820355,1248.469964,1620.641865,1229.257218,1857.754255,1691.569781,2185.000637,2040.477457,2212.596785,2356.773827,2667.107808,1288.140639
9/10/2017,253,24hr,43.434464,504.5323888,1725.373016,957.1999923,579.8702179,1935.959985,1562.497718,1176.015286,1473.905374,1525.126645,777.7224806,1572.675954,1838.391053,1636.889539,639.6377751,1595.911828,1003.68018,1710.630346,3111.367802,742.5812866,615.2637174,950.5814193,1140.642816,1478.348363,1159.000292,1497.233144,1493.751724,1770.338737,1640.386843,1835.034055,1958.282132,2246.634578,1186.154948
