Date,DOY,Interval,VPD,LAON1,LAOS1,LAIN1,LAIS1,LAON2,LAOS2,LAON3,LAON4,LAOS4,LAON5,LAON6,LAOS6,LAON7,LAON8,LAOS8,LAON9,LBON10,LBOS10,LBIN10,LBIS10,LBON11,LBOS11,LBON12,LBOS12,LBON13,LBON14,LBOS14,LBON15,LBON16,LBOS16,LBON17,LBOS17
7/1/2017,182,24hr,46.892992,2072.135108,1478.995654,788.0982526,546.4585117,2432.376348,2365.268158,1691.036686,1635.022493,1278.320133,1371.730888,1962.220344,2068.180012,1262.174435,2777.972444,2031.855019,1734.570491,1833.509984,3119.191577,1190.797896,1259.880448,987.7486803,1464.897277,2869.336814,1276.881897,3010.292186,2383.814916,1652.88354,2318.616517,1508.863531,1685.229437,1993.082071,1893.782472
7/2/2017,183,24hr,51.871268,2325.655489,1768.782859,939.8797882,642.5444736,2747.43746,2641.458802,1874.03188,1845.400847,1366.510176,1634.259373,2126.974264,2327.873753,1358.908593,3242.153111,2288.300119,1982.704675,1891.310416,3303.711138,1169.580461,1214.909267,1063.950561,1626.599505,3201.332929,1460.568957,3459.294203,2660.31084,1659.187366,2586.334966,1654.385517,1871.416054,2262.216101,2122.414656
7/3/2017,184,24hr,63.922738,2364.723575,1910.558147,1091.119336,687.1403248,2886.368822,2919.453571,2236.183196,1910.204336,1318.135342,2016.094293,2268.463127,2506.047795,1311.528774,3343.534981,2485.891339,2239.355475,1895.312754,3270.390399,1191.110337,1312.063154,1284.000245,1901.810754,3575.911795,1523.075949,3808.348696,2845.625145,1798.280991,2677.094098,1740.153745,1952.041261,2181.938102,2288.442405
7/4/2017,185,24hr,44.9102875,1896.803082,1517.261196,818.4565284,534.51688,2068.824547,2159.981753,1535.978621,1481.169693,1145.799126,1470.283962,1909.463828,1957.322406,1173.451893,2565.308523,1887.75107,1751.300029,1437.313163,2481.642266,1036.797168,1123.643068,969.6668489,1425.283963,2828.387464,1109.284644,2906.080175,2021.458288,1495.298992,1865.359911,1273.579963,1400.41359,1616.549686,1621.956916
7/5/2017,186,24hr,20.68981,1367.111994,1279.130513,486.9681861,349.0624062,1266.495351,1321.610483,773.366819,1053.600844,899.3286394,815.5457511,1340.065666,1404.331966,950.7616206,1702.277711,1182.999016,1162.824031,942.2420964,1538.574924,639.647361,674.9559833,428.5038528,727.2433659,1592.691399,728.5080119,1616.931752,1260.687484,887.0075472,1120.031733,736.6079587,925.3071521,1122.289865,1046.798665
7/6/2017,187,24hr,44.22806,2382.607104,1651.964997,942.7989308,613.9297876,2598.62052,2655.341077,2373.738522,1708.039324,1566.930784,1614.811034,2228.191519,2180.087462,1358.849857,3099.248454,2208.142597,1602.133163,1831.23717,3162.134905,1239.483799,1291.656379,1073.118112,1723.292069,2983.716089,1373.396992,3485.378329,2609.45362,1718.1852,2410.580597,1582.754167,1798.752719,2206.147161,2226.410287
7/7/2017,188,24hr,50.2913206,2324.572469,1120.561759,865.3796877,578.3601356,2465.050455,2433.693575,2097.887422,1617.096695,1608.361288,1785.634101,2089.080988,2083.993168,1032.885383,2931.468002,2075.736525,1502.666019,1785.101203,3083.373863,1216.219965,1216.30918,994.8036351,1605.990865,2940.094524,1326.983914,3418.753428,2556.793401,1635.547399,2354.24576,1578.588005,1749.645707,2062.652124,2014.561889
7/8/2017,189,24hr,64.107986,2796.448308,1466.067056,1135.769296,699.686603,3230.843773,3146.065541,2698.658311,2016.216508,1766.137085,2280.46043,2349.72905,2588.364241,1215.322335,3745.606931,2615.354417,1924.476122,2211.060503,3726.026999,1292.450965,1323.196828,1249.964583,2013.367522,3716.559536,1696.996606,4574.407456,3379.405559,1892.000998,3096.644584,1962.339511,2233.747299,2564.150633,2495.635342
7/9/2017,190,24hr,60.6435203,2690.153334,1410.235367,1070.869719,695.3567208,2888.728043,2834.748837,2687.343666,1918.59779,1768.842228,2191.064478,2326.977361,2463.630827,1171.988216,3559.012972,2444.604127,1672.575649,2101.261818,3415.310621,1180.881221,1226.569165,1131.078711,1827.379415,3408.074572,1629.353695,4032.75031,3060.684895,1784.909659,2774.191167,1750.521567,2035.509387,2381.124465,2258.240066
7/10/2017,191,24hr,72.452299,2743.04715,1371.611275,1113.274185,685.9981594,3262.67626,3156.822345,2719.295601,1991.42885,1702.174109,2175.227351,2249.841329,2553.648998,1053.971993,3711.038673,2595.585446,1707.452773,2268.682499,3786.434516,1268.634958,1316.625945,1314.168737,2091.918807,3743.120036,1670.898381,4560.618123,3451.885364,1877.329253,3084.981136,1944.196977,2190.621866,2459.13809,2450.505056
7/11/2017,192,24hr,88.142589,2687.843931,1419.36376,1062.401839,659.1913995,3280.702118,3077.372691,2802.853487,1958.957184,1701.611599,1945.262225,2161.398882,2478.943505,1383.042269,3654.437507,2557.427975,1721.249024,2263.53814,3846.768507,1293.783056,1376.168892,1343.33805,2103.671062,3702.368067,1643.139664,4464.890201,3465.120381,1891.677203,3113.150575,1963.639538,2192.834757,2390.578119,2458.758937
7/12/2017,193,24hr,57.282181,2506.660177,1225.171041,976.7922504,594.8473116,2920.927919,2780.98229,2418.663074,1760.325805,1618.005403,1751.481232,2021.627856,2247.464677,1155.587232,3373.346547,2324.74907,1553.244127,2023.36053,3380.446538,1146.810833,1203.473464,1112.530723,1777.771772,3264.237886,1450.593062,3860.25984,2993.923971,1702.757738,2683.821861,1659.615329,1937.398653,2192.917625,2072.678771
7/13/2017,194,24hr,36.221953,1874.718421,819.8404322,669.5354594,434.8090448,2006.821602,1978.753888,1843.987418,1309.724901,1431.298821,1198.067822,1574.956481,1693.659539,974.667906,2503.100514,1716.966201,1114.024681,1491.299411,2472.004611,871.5255756,924.016556,788.7289848,1273.223583,2329.60436,1048.762641,2726.015117,2158.15147,1304.992699,1871.552752,1149.784474,1377.882118,1602.1038,1493.420328
7/14/2017,195,24hr,19.159048,1584.98152,841.6115243,514.0216648,347.5009394,1442.065939,1428.524233,1541.068038,1065.440959,1140.013355,827.0589709,1354.044088,1324.382365,791.6479876,1860.787869,1264.454553,959.2800228,1196.256125,1911.917886,758.2109737,727.8365191,546.4714609,888.513072,1788.854597,822.5144234,1925.572232,1490.179669,1068.846917,1321.438528,823.6809199,1001.452526,1247.964596,1108.25155
7/15/2017,196,24hr,47.969764,2368.194159,974.2346194,911.5452029,594.5844855,2447.547765,2528.293738,2167.095381,1550.452223,1514.656141,1388.046107,2150.029472,2169.399249,1105.14423,3019.66884,2138.617966,1491.310946,1830.231458,3217.74275,1202.29806,1169.904296,935.2332393,1509.847645,3085.68709,1356.071734,3093.766914,2552.234054,1650.737808,2325.496396,1525.432416,1817.190902,2081.421682,2117.485639
7/16/2017,197,24hr,64.516258,2803.824465,1014.158844,1121.297833,715.6794432,3000.943805,3026.548791,2869.148386,1920.09761,1782.257239,2062.444073,2446.316195,2624.98616,1315.957915,3763.628296,2576.942713,1789.509944,2180.185098,3652.555941,1222.827039,1289.868798,1204.689842,1987.400671,3705.739932,1633.348393,4070.811919,3169.601663,1897.617607,2844.857441,1825.015475,2180.958727,2390.562702,2497.469055
7/17/2017,198,24hr,61.658313,2613.20884,957.4773124,1072.594446,667.9907687,3024.125465,3001.701586,2695.268671,1835.184411,1576.149066,1991.682399,2101.532861,2556.489306,1126.156657,3714.042304,2497.976189,1696.115163,2068.405916,3473.236336,1094.851299,1154.302114,1139.339954,1931.70364,3629.782811,1572.015748,4204.527924,3198.224262,1802.153849,2760.828511,1697.356087,2088.467979,2203.433411,2381.602949
7/18/2017,199,24hr,37.230775,2149.179077,765.2973101,803.0174687,524.312269,2171.801332,2220.355506,2152.855755,1480.551466,1506.645984,1254.369958,1900.64136,2008.114004,1061.958268,2867.760883,1914.324726,1289.622374,1668.761571,2771.813857,968.6508937,947.5776077,760.7617029,1339.529855,2669.934141,1238.373621,3044.720756,2331.604796,1481.158312,2052.217191,1218.469451,1576.385024,1757.966758,1759.188078
