"Date","DOY","Interval","VPD","HBON9","HBOS9","HBIN9","HBIS9","HBON10","HBOS10","HBON11","HBON12","HBOS12","HBON13","HBON14","HBOS14","HBON15","HBON16","HBOS16","HBON17","HAON1","HAOS1","HAIN1","HAIS1","HAOS2","HAON2","HAON3","HAOS3","HAON4","HAOS4","HAON5","HAON6","HAOS6","HAON7","HAON8","HAOS8"
"2017-07-01",182,"24hr",46.892992,1279.7667709002,1790.8584124095,1093.8111352218,810.6501307239,1530.811363644,1348.1291297844,1952.1033547248,1595.8412222058,580.6361159766,846.3284373654,1739.4616485657,1982.4949789821,1074.2162526288,1301.6863182321,1615.17125637,2405.6626318578,1378.1746333719,1021.1664855024,1399.6884215214,955.8647434494,873.058819509,1211.9705910405,828.7074994392,1194.6596858109,2000.7592029378,1038.0351222918,1089.1551565467,1017.4932756324,916.7376995865,1318.2955999317,1127.58798573,888.8052772971
"2017-07-02",183,"24hr",51.871268,1519.1104416732,2133.3291325839,1238.2909340373,940.5570039363,1923.0181287831,1712.2763217609,2357.1360290475,2021.1288431445,1321.6376891349,1127.5781953419,2136.8855959893,2468.1848421519,1030.6494712431,1493.4648887289,1904.9421974616,2822.7957335046,1674.1880687673,1215.677250342,1656.2006156961,1141.9067133306,1045.9846964817,1473.7763588436,876.5673953832,1372.486470768,2654.7105881817,1334.4165205722,1276.2287894646,2030.3435261853,1877.8951307763,2611.2485167515,2263.080428595,1866.7970883594
"2017-07-03",184,"24hr",63.922738,1874.7795199689,2698.0410228471,1503.5078283327,1222.4551745673,2465.3934960741,2177.501425857,2785.6682706564,2439.8903186532,2049.8808478599,1569.3958164924,2659.4500551255,3338.6519046672,1280.8668614265,1803.6600811623,2316.3036262497,3028.7352671595,2271.9376795959,1627.1798776407,2187.209587221,1555.4206442115,1385.3862616572,1865.1835312218,1160.6326009758,1754.9394630381,3834.1056056499,1918.3075267941,1676.7113744529,1673.0855558226,1498.1931486585,2378.1177089532,1980.5084425539,1479.7408091751
"2017-07-04",185,"24hr",44.9102875,1284.3791701443,1842.8834793168,1059.3679724505,838.1482172334,1559.2391269344,1418.5213935642,1870.7282295921,1568.2680382968,1285.6563615474,951.5820572613,1750.9902891444,2033.4784635981,1014.8745803598,1273.4835411078,1583.0471274723,2105.8754502843,1462.8484267812,1001.3920333236,1390.7011188708,954.7835799501,911.5322043942,1253.8965037572,820.9752752907,1118.9146101399,2252.0642115951,1118.4472669788,1040.9124658428,1333.0141525557,1191.6210358422,1776.4875973521,1493.3138718285,1230.6554301681
"2017-07-05",186,"24hr",20.68981,909.0050771232,1222.7906930751,816.4707389541,651.93221088,1072.659086559,936.979001982,1247.0864746302,1033.5403824966,795.6643145202,652.0399316919,1112.5293754815,1492.2407136204,1267.6601560275,940.7696501979,1109.3033196612,1652.385665421,1286.0356957425,903.0727528245,1137.263029074,828.382211181,665.9827154298,918.7455623283,906.600846096,994.7891744496,1601.575678089,928.9427011227,967.2700472964,1290.6829069785,1155.7237588452,1473.1605825228,1279.6227968544,1113.4478984265
"2017-07-06",187,"24hr",44.22806,1494.3310164945,1936.8799229124,1251.2555250318,916.853182254,1787.47603497,1521.214741683,2175.0460303635,1911.3236819901,1376.5686844032,1025.2826767827,1950.2389938078,2248.5935342835,1209.9187565766,1444.8663303876,1805.4047091582,2578.7109945978,1630.4845599909,1196.8949894571,1670.7209109372,1125.5314376304,1041.9639731289,1501.4015773497,968.3318612898,1383.3471377862,2493.3326066451,1255.9772216736,1257.4931609412,1399.6529972748,1177.9600602744,1844.6171201109,1494.076866093,1250.9941186818
"2017-07-07",188,"24hr",50.2913206,1383.871963635,1819.4945582241,1198.0874816433,879.5942382969,1667.3362397514,1445.776270452,2043.5666889627,1803.7566840798,1197.5054284476,961.729298091,1894.1945357124,2159.7671738115,1198.8258787062,1401.6648764493,1708.7792065614,2414.9232486828,1555.7494991445,1148.3165938959,1584.0479211894,1094.4554002938,967.751446518,1413.9684917424,961.8935837535,1362.2906069136,2402.0875665702,1211.7358489455,1233.3031158672,1333.237083246,989.5396072167,1676.0981338641,1258.9126887492,1126.6804906164
"2017-07-08",189,"24hr",64.107986,1787.760419427,2476.2126632535,1470.6010883772,1130.118686649,2366.3179808748,2015.6838553512,2806.3252663704,2468.7249037506,1415.7128355714,1290.514917375,2525.9746705488,2897.8831858572,1413.7236462276,1792.3329991305,2243.5448010237,3143.8860784605,2110.4988956901,1466.354538963,2045.5805803779,1402.3224895779,1276.9200721962,1828.4295141252,1112.3364107781,1637.1911295756,3409.7379673032,1664.469527553,1575.9609061536,1583.4127196961,1290.5210904525,2213.0231824737,1606.8631982247,1384.2760507497
"2017-07-09",190,"24hr",60.6435203,1711.2586534407,2458.1170327725,1441.7273328768,1124.823397338,2344.3213928148,1976.504421465,2655.7720152804,2398.9653129348,1579.2416635347,1279.0185012738,2513.14803864,2847.1809214377,1166.3547427566,1787.139730809,2182.8989515266,3054.8853766242,2081.1423577959,1475.178190155,1962.0763871229,1378.3815745425,1255.217357034,1840.3260822621,1129.0014971496,1579.0998165084,3306.24903024,1666.6458341013,1529.923926591,1452.4887057876,1299.5008100424,2155.7417187312,1550.8788750324,1363.1120814519
"2017-07-10",191,"24hr",72.452299,1723.8760541046,2532.2751901476,1425.8319646329,1118.7733868469,2353.0409036046,2092.6691879427,2754.2380971429,2468.7693117639,1565.656277319,1309.1271273009,2602.5364855917,2858.0331983472,1267.4660604498,1757.994078222,2209.7105984016,3052.8053960319,2044.1856501396,1430.0929708596,1966.3623281772,1395.4829495058,1265.877050553,1778.3672163858,1055.5390263456,1567.4753435589,3419.5263497235,1661.0764262535,1486.056414978,1452.533717484,1055.7562484286,2153.2918535154,1565.0789307957,1256.5648008
"2017-07-11",192,"24hr",88.142589,1593.9044157951,2388.6280477314,1355.2278853626,1072.7899278507,2179.9224073899,1992.7555990353,2610.1267177032,2320.477335045,1487.9296983897,1219.3336936431,2395.2679102449,2620.5489757962,1109.4311918322,1582.7469670296,2036.5207897554,2810.6824696803,1840.014662067,1297.4308701822,1819.2649356081,1257.5946191589,1212.4272323133,1646.6930979903,994.5899353557,1498.9568720022,3078.9489259791,1495.8242303022,1357.667616456,1477.332184842,1169.0326577988,2012.9182229394,1528.9396211709,1251.8227862955
"2017-07-12",193,"24hr",57.282181,1428.0762206232,2197.4033850435,1227.909982545,1004.9705551251,2018.7662633568,1800.334623492,2453.1146308926,2064.1232650968,1388.6345889108,1091.8015404687,2096.8432461531,2312.3174762736,1062.2656760625,1435.8100783239,1808.6844371076,2592.4954687236,1762.861286997,1150.1306032266,1660.5712267992,1168.5496530096,1103.2715012985,1499.8299427764,910.4345713818,1373.3534517543,2741.1796767906,1299.2171421852,1217.4570515304,1293.3771777693,939.1856178564,1856.2258544247,1399.4032854024,1173.9086660313
"2017-07-13",194,"24hr",36.221953,1238.319606717,1928.9730141945,1104.5553367149,945.3634997157,1763.2221944913,1567.7764631874,1919.462568345,1592.384513814,1174.4894566431,867.8201398326,1636.4671507026,1844.9937061758,1029.0763341846,1270.608828777,1553.1362742537,2213.5607709642,1503.6806984346,973.458489114,1374.8712087105,982.465932546,1016.6850715104,1352.395545372,855.6431472297,1158.0676269867,2182.3001348274,1090.5060359853,1012.4895302406,1042.3651444236,771.184949652,1451.5984243485,1100.9632983309,981.8000171757
"2017-07-14",195,"24hr",19.159048,819.3136546944,1357.309746135,729.7401230874,600.9033339684,1098.3445686351,973.3075749747,1360.4101626015,1028.2235149368,868.8442350168,553.1428547424,1134.7770999753,1258.0456804875,663.1894371654,898.9951824279,1054.3769469297,1568.448499464,1056.3863218281,660.9590787807,924.3050860368,650.8972223109,624.9132428652,897.1430756256,672.793373511,834.875790507,1387.5753713661,685.0285834464,696.6206424963,697.9680372726,544.384986777,1017.9760987143,773.9854138656,706.0920152589
"2017-07-15",196,"24hr",47.969764,1366.1658279387,2014.3246084785,1185.5238689007,899.2998838485,1770.8995958337,1583.0392224096,2132.1551250009,1797.4306822788,1375.3638348372,949.9067233776,1930.3308587511,2158.180266375,1973.4974994618,1415.732236821,1734.074468811,2438.6551350462,1658.5180826589,1168.8847537608,1641.5679720132,1119.0678217191,992.4042644523,1459.4713891659,1035.150526251,1393.2215860041,2441.500796502,1216.542533553,1211.8090490874,1336.7126099088,1053.4187241135,1664.7830966313,1309.7456268498,1188.956370978
"2017-07-16",197,"24hr",64.516258,1666.4447606571,2687.2635270159,1392.4656421488,1139.1282674046,2397.4554191463,2130.3651623454,2678.1668186346,2385.448376589,1702.4329226844,1314.3614974227,2530.0798240401,2829.1783591314,1400.3905601682,1734.9195688011,2167.5061053027,2942.7891347169,2115.425404206,1468.4356061784,2039.3175537684,1404.6968103723,1295.0367117921,1881.6802315452,1193.9465357676,1662.4084476609,3348.8835522408,1648.1809904427,1489.9556727513,1660.6452267711,1340.6077199655,2209.8521425689,1688.1412557312,1450.2788772066
"2017-07-17",198,"24hr",61.658313,1487.9449875987,2497.469837697,1189.9717342209,1056.5333650692,2310.5529683271,2075.4606681243,2588.3052309099,2270.6736321897,1561.2334270398,1225.001932668,2368.661542785,2601.2832451209,1163.0118383055,1558.1004455961,2001.9094195896,2702.1076556967,1972.801638288,1254.5623505952,1799.9929376802,1240.4985122799,1169.8624345149,1656.1304200647,927.1857262419,1413.6659678475,3308.6369252925,1498.6786614165,1281.8475807642,1343.0111813028,1101.5480449449,2007.6117975459,1498.051089405,1185.2881328934
"2017-07-18",199,"24hr",37.230775,1166.3318659788,2030.8090360419,1017.0432330993,907.1411338827,1773.2792236923,1602.4862200329,2060.160552738,1744.9618800519,1363.2523908597,922.3980468732,1758.4217754282,1914.3740014542,894.5831802834,1303.7520354741,1584.4626409302,2274.6554277822,1585.856672847,998.6083196625,1394.3415105954,946.187841141,935.1890481933,1318.8047864418,892.4334994971,1173.3934492098,2293.6093918137,1114.8833980152,1026.6630930045,1064.5993181448,843.0487724016,1554.1190437392,1164.6491836977,1035.6182986014
