"Date","DOY","Interval","VPD","LCON1","LCOS1","LCIN1","LCIS1","LCOS2","LCON2","LCON3","LCON4","LCOS4","LCON5","LCON6","LCOS6","LCON7","LCON8","LCOS8","LCON9","HOON10","HOOS10","HOIN10","HOIS10","HOON11","HOOS11","HOON12","HOOS12","HOON13","HOON14","HOOS14","HOON15","HOOS16","HOON16","HOOS17","HOON17"
2017-03-01,60,"24hr",16.033889,1254.43836369213,808.16848492192,1292.99027174553,NA,NA,966.777468036395,719.876044411756,1343.4308225503,792.424908851423,876.298135415643,812.213117477193,917.673765050768,694.934901975918,764.892595917883,1577.35999384955,614.416898957709,NA,1245.63107152044,NA,NA,586.331130253359,696.471874089947,636.147777635367,597.253525030464,764.668490927206,783.305910824335,2127.97321581674,892.61474660576,1790.10776816482,1817.68869776552,2288.78471285448,648.093861959789
2017-03-02,61,"24hr",62.96341,1794.40845720798,567.077699033997,1075.92528227257,696.20954383298,NA,1053.49026324173,686.200383810922,1517.57726275333,837.476937358339,952.200626723645,689.046493033626,877.208292130039,433.07087367179,1173.38236462373,2744.7094701383,456.241893647478,NA,1417.48025606184,1130.07654241034,739.87237109679,353.17405578809,508.56357417813,515.11154292076,526.296983458163,500.158115431069,972.704269026656,2882.46426366679,827.250206103535,2208.6501431831,2392.34923000306,2843.82334001475,452.870976013582
2017-03-03,62,"24hr",36.592553,2072.6218735619,602.888374991305,323.347023077907,148.645921983323,3837.92353900377,1120.11543467097,700.127300999231,414.933497281937,861.644263840728,1059.69859007687,697.796857443959,916.286790346786,413.708268095601,1640.53229850816,2887.53964026512,442.668890686429,NA,1643.6212434779,609.338137650962,417.158329670857,231.289812467531,339.514140657283,283.067275900723,251.089054217577,603.460871771197,837.977951163845,1770.40262732323,1076.72518506951,1231.96603181453,1209.58746751942,2063.33065427213,411.840047718639
2017-03-04,63,"24hr",41.243195,821.950793623611,601.114485364468,566.025560535981,137.450881628712,3209.25830079745,742.152974712762,912.5771595743,336.897491654187,748.348444753905,425.394756341928,873.485431377291,1084.05061799089,389.053034059057,1064.87116087149,3025.9108026589,592.421513754311,NA,2470.98657172822,1027.56948072375,796.970863656767,394.114945356917,422.302176852914,287.308868732302,254.587655845554,880.824759808734,417.94183528223,1881.11681592741,1049.28069671037,1465.94007640994,1292.01368433563,2663.19660769877,633.497469605265
2017-03-05,64,"24hr",36.76804,298.583347754685,684.976118515039,866.660762333253,266.856888778799,NA,831.446331193217,1295.16958566473,413.895076911945,1332.97972344713,334.300516366457,1093.78683740402,1461.16855598236,409.051808772236,1025.80654146978,4062.78110704255,965.724444331374,NA,2830.02623776568,1258.99356415428,1092.52596800937,531.550740874411,642.290696504276,355.133320948668,353.891607070991,1241.3276526284,512.328972138331,1695.1135986785,891.941492844574,1447.59496561734,1128.20185840014,2623.60816182083,625.897991007782
2017-03-06,65,"24hr",34.599268,75.761176829788,380.090952987807,397.112669642394,20.6888788784302,NA,984.383937169397,594.751316366081,141.093855793062,996.826284131336,166.518304020009,741.145663179226,872.905980102443,235.031683350833,406.108209455474,2117.57046647977,454.116306668405,NA,2232.11574092612,1047.89154873938,722.853301921299,309.275114625713,568.163604774987,193.105286776935,173.888482926325,834.344142378102,240.078407711666,1429.49229827633,543.478537323046,995.562472774958,827.359533023326,2032.44932659645,438.7715155239
2017-03-07,66,"24hr",36.7243287,282.811451655295,846.079061732292,514.994537695493,271.163912030063,NA,1210.07752801506,919.417178873601,492.516557961134,1291.04899105919,595.141920037814,1624.41261917106,1211.20845187659,553.401414084525,1229.13867818212,2560.81626035702,663.910151899605,NA,1795.09976853777,1809.18588054423,1228.17929607706,1090.93061474575,816.849970605047,1060.43817823625,865.420740813214,940.898191211489,829.493051300877,1405.44823998295,964.945935298637,1456.89141138765,1387.70526286083,2155.15876456072,1526.4328000924
2017-03-08,67,"24hr",76.9111053,967.657580568009,2039.92900594742,671.960346926228,1133.74359611764,841.509419737439,1437.24637566862,2028.95008033657,1450.62097013405,1628.56894378808,1552.66810306788,2891.30334823873,2386.82391947773,1286.84391426539,2368.07052832559,4043.86324442261,1507.93508906263,NA,2409.55132338011,2921.98133017101,2089.4010724429,2458.77987119359,1758.217524736,2934.1803473414,2378.85717788393,1690.05640483842,1898.29589908774,2513.81063716879,2510.30943077853,2802.45847774887,3137.14371017897,2789.6907050635,3521.57034348019
2017-03-09,68,"24hr",91.771391,1039.71742975233,2193.68964944154,NA,NA,2052.88138271172,NA,2070.84331950347,1558.45766027936,805.658886046948,NA,2418.5406206387,2102.40043755609,1386.76253500834,1605.90388019936,3434.73793722859,NA,NA,3238.85059071662,NA,NA,NA,1601.3038268157,2509.97807129939,1730.14193430795,1612.18445353267,1370.54867849141,3154.94413092712,2985.51281217049,2423.03519613346,3515.48573578333,2797.34552756262,2927.7055944687
2017-03-10,69,"24hr",54.09546,907.767663353333,2083.70621305884,921.351272170021,NA,3763.64859955704,NA,2208.97124788976,1653.2806379306,1100.5035872795,NA,2252.59987886063,2103.29694235602,1173.07864998385,1498.92184898702,3264.14553650569,1832.71710652686,2779.27302760713,2213.30559664446,NA,NA,2252.68860578181,1595.55510743258,2977.42896138221,1635.38183350562,1147.07937396236,1392.85940138124,1256.59896573428,2025.61911432762,1330.25977380202,2528.06656796494,1890.63712167902,2283.23873638365
