Date,DOY,Time,VPD,PAR,HCOS1,HCON1,HCON2,HCIS9,HCON3,HCOS4,HCON5,HCOS6,HCON6,HCOS7,HCON8,HCOS8,HCIN8,HCON9,HCOS2,HCON4,LOON10,LOOS10,LOIN10,LOIS10,LOON11,LOOS11,LOON17,LOOS17,LOON15,LOOS15,LOON14,LOOS14,LOON12,LOOS12,LOON16,LOON13
12/1/2017,335,0,0.30002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/1/2017,335,15,0.27852,0,0.0043769,0.003006,0.0035227,0,0.0020124,0.00034337,0.0017442,0.00019303,0.0012881,0.0023478,0.0065512,0,0.010258,0,0.00077733,0.0006998,0.0054294,0.0044277,0.00043546,0,0.0019801,1.24E-05,0.0079186,0.0070491,0.0073795,0.010584,0.0074532,0.0052103,0.012546,0.0032311,0.0045621,0.0017153
12/1/2017,335,30,0.275,0,0.0038796,0.0045854,0.0031315,0,0.0054552,0.00068673,0.0034885,0,0.0025763,0.00015234,0.0065853,0,0.013472,0.0012327,0.0019252,0.0015864,0.0069518,0.0073435,0.00087091,0,0.0022445,2.47E-05,0,0.0089359,0.008054,0.0088803,0.009762,0.0097559,0.0090916,0.00025039,0.0058372,0.0026084
12/1/2017,335,45,0.26373,0,0.0022089,0.0068782,0.00036097,0,0.00021142,0.0010301,0.0052327,0,0.0036722,0.0003193,0.00299,0.00045364,0.021827,0,0.0014102,0.0021002,0.0084742,0.0094975,0.0013064,0,0.0025089,3.71E-05,0,0.008099,0.0087284,0.0036063,0.0058663,0.011352,0.0047731,0,0.0069179,0.0035014
12/1/2017,335,100,0.24883,0,0.0028889,0.0031077,0,0,0.00045815,0.0013735,0.0057142,0,0,0,0,0.0014345,0.027844,0,0.0014497,0.0020541,0.0099966,0.010107,0.0017418,0,0.0027733,4.95E-05,0,0.0025343,0.0053584,0.022641,0.0029932,0.01476,0,0.0051746,0.0079986,0.0043945
12/1/2017,335,115,0.24849,0,0.0037366,0.0023754,0,0,0.00035236,0.0017168,0.00082233,0,0,0.0032035,0,0.0024153,0.036987,0,0,0.0025676,0.011124,0.011104,0.0021773,0,0.0030376,6.19E-05,0,0.00081809,0.00030434,0.027251,0.0029011,0.018165,0,0.018389,0.0082991,0.0052876
12/1/2017,335,130,0.2546,0,0.0045842,0.0046475,0,0,0.00042283,0.0020602,0.0025529,0,0,0.0066715,0,0.0033962,0.056898,0,0,0.0030811,0.012843,0.011907,0.0026127,0,0.0030152,7.42E-05,0,0.002457,0,0.027616,0,0.018146,0,0.018122,0.0084043,0.0061807
12/1/2017,335,145,0.26361,0,0.0054319,0.0069196,0,0,0.00049331,0.0024036,0.0033906,0,0,0.0066581,0,0.004377,0.063613,0,0,0.0035946,0.0078695,0.012516,0.0030482,0,0,8.66E-05,0,0,0,0.027981,0,0.01429,0,0.017855,0.0065672,0.0070737
12/1/2017,335,200,0.22487,0,0.0029253,0.0044139,0,0,0,0.0027469,0.004941,0,0.0005299,0.0064608,0,0.0053579,0.015214,0,0,0.0041081,0.0062575,0.0096447,0.0034837,0,0,0.00081719,0.012857,0,0,0.028345,0,0.016306,0,0.02324,0.007255,0.0079668
12/1/2017,335,215,0.20042,0,0.0026004,0.0024566,0,0,0,0.0030903,0.0066697,0,0.0018056,0.0062635,0,0.0056236,0.0062385,0,0,0.0046217,0.0077651,0.010252,0.0039191,0,0,0.00011135,0,0,0,0.022871,0,0.016967,0,0.027045,0.0075545,0.0088599
12/1/2017,335,230,0.18591,0,0,0.0040072,0,0,0,0.0034337,0.002517,0,0.0021307,0.005515,0,0,0.02578,0,0,0.0051352,0.0092728,0.0064431,0.0038792,0,0,0.00012373,0,0,0,0.028008,0,0.013831,0,0.038354,0.0045713,0.0076817
12/1/2017,335,245,0.14965,0,0.00012577,0,0,0,0,0.003777,0.00052219,0,0,0.0031195,0,0,0.039047,0,0,0.0056487,0.0084393,0.0064747,0.00099777,0,0,0.0001361,0,0,0,0.025183,0,0.008319,0,0.038082,0.0056414,0.0056848
12/1/2017,335,300,0.12562,0,0,0,0,0,0,0.0035652,0,0,0,0.0029227,0,0,0.019325,0,0,0.0031744,0.0031666,0.0061247,0.00017331,0,0,0.00014847,0,0,0,0.020799,0,0.0061558,0,0.044964,0.0067116,0.0026768
