,Date,DOY,Time,VPD,PAR,HCOS1,HCON1,HCON2,HCIS9,HCON3,HCOS4,HCON5,HCOS6,HCON6,HCOS7,HCON8,HCOS8,HCIN8,HCON9,HCOS2,HCON4,LOON10,LOOS10,LOIN10,LOIS10,LOON11,LOOS11,LOON17,LOOS17,LOON15,LOOS15,LOON14,LOOS14,LOON12,LOOS12,LOON16,LOON13
1,7/1/2017,182,0,4.44E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7/1/2017,182,15,0,0,0,0.0028795,0,2.52E-05,0.00035778,0,0,0.00033691,0,0,0.0035512,0,0.00092648,9.45E-06,0,0,8.41E-06,0,0,0,0.00094204,0,0,0,0.0013971,0,0,0.00048683,0.002145,0.0074756,8.63E-06,0
3,7/1/2017,182,30,0,0,0,0.0039491,0,5.05E-05,0,0,0,0.0003096,0,0,0,0,0.0012575,0.0011536,0.00055499,0,1.68E-05,0,0,0.00062035,0.0018841,0,0,0.0002031,0.0027941,0,0,0.00097365,0.0042899,0.00050287,1.73E-05,0.00062073
4,7/1/2017,182,45,0,0,0,0.00088153,0,7.57E-05,0,0,0,0,0,0,0,0,0.0052077,2.83E-05,0,0,0.00036171,0,0,0.0040473,0,0,0,0,0.0030848,0,0,0.0006963,0,0.0083756,2.59E-05,0.0015518
5,7/1/2017,182,100,0,0,0,0,0,0.00010091,0,0,0,0,0,0,0,0,0.0053467,0.0013603,0,0,0,0,0,0.0024876,0,0,0,0,0,0,0,0,0,0.0068165,3.45E-05,0.0024829
6,7/1/2017,182,115,4.44E-16,0,0,0,0,0.00012614,0,0,0,0,0,0,0,0,0.0062966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052574,4.31E-05,0
7,7/1/2017,182,130,-4.44E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0056261,0,0,0,0,0,0,0.00062112,0,0,0,0,0,0,0,0,0,0.0036983,0,0
8,7/1/2017,182,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045491,0,0,0,0,0,0,0.00031056,0,0,0,0,0,0,0,0,0,0.0021392,0,0
9,7/1/2017,182,200,0,0,0,0,0,0,0,0,0,0,0,0.00068717,0,0,0.0048909,0,0,0,0,0,0.032429,0.0024907,0,0,0,0,0,0,0,0,0,0.00058013,6.90E-05,0
10,7/1/2017,182,215,0,0,0,0,0,0,0,0,0,0,0,0.00077346,0,0,0.0058448,0,0,0,0,0,0.036707,0.0021793,0,0,0,0,0,0,0,0,0,0.0041181,7.77E-05,0
11,7/1/2017,182,230,0,0,0.00039026,0,0,0,0,0,0,0,0.0028329,0.0031024,0,0,0.0047629,0,0,0,0.00042059,0,0,0.0031172,0,0.0015939,0,0,0,0.0013043,0,0,0,0.0080616,0,0
