"","sectionArea","increment","tree","system"
"1","5215.04380495906","20","1","1"
"2","2701.76968208722","40","1","1"
"3","51.5","415.47562843725","1","1"
"4","5215.04380495906","20","1","1"
"5","2701.76968208722","40","1","1"
"6","51.5","415.47562843725","1","1"
"7","5215.04380495906","20","1","1"
"8","2701.76968208722","40","1","1"
"9","51.5","415.47562843725","1","1"
"10","5215.04380495906","20","1","1"
"11","2701.76968208722","40","1","1"
"12","51.5","415.47562843725","1","1"
"13","5215.04380495906","20","1","1"
"14","2701.76968208722","40","1","1"
"15","51.5","415.47562843725","1","1"
"16","5215.04380495906","20","1","1"
"17","2701.76968208722","40","1","1"
"18","51.5","415.47562843725","1","1"
"19","5215.04380495906","20","1","1"
"20","2701.76968208722","40","1","1"
"21","51.5","415.47562843725","1","1"
"22","5215.04380495906","20","1","1"
"23","2701.76968208722","40","1","1"
"24","51.5","415.47562843725","1","1"
"25","5215.04380495906","20","1","1"
"26","2701.76968208722","40","1","1"
"27","51.5","415.47562843725","1","1"
"28","5215.04380495906","20","1","1"
"29","2701.76968208722","40","1","1"
"30","51.5","415.47562843725","1","1"
"31","5215.04380495906","20","1","1"
"32","2701.76968208722","40","1","1"
"33","51.5","415.47562843725","1","1"
"34","5215.04380495906","20","1","1"
"35","2701.76968208722","40","1","1"
"36","51.5","415.47562843725","1","1"
"37","5215.04380495906","20","1","1"
"38","2701.76968208722","40","1","1"
"39","51.5","415.47562843725","1","1"
"40","5215.04380495906","20","1","1"
"41","2701.76968208722","40","1","1"
"42","51.5","415.47562843725","1","1"
"43","5215.04380495906","20","1","1"
"44","2701.76968208722","40","1","1"
"45","51.5","415.47562843725","1","1"
"46","5215.04380495906","20","1","1"
"47","2701.76968208722","40","1","1"
"48","51.5","415.47562843725","1","1"
"49","5215.04380495906","20","1","1"
"50","2701.76968208722","40","1","1"
"51","51.5","415.47562843725","1","1"
"52","5215.04380495906","20","1","1"
"53","2701.76968208722","40","1","1"
"54","51.5","415.47562843725","1","1"
"55","5215.04380495906","20","1","1"
"56","2701.76968208722","40","1","1"
"57","51.5","415.47562843725","1","1"
"58","5215.04380495906","20","1","1"
"59","2701.76968208722","40","1","1"
"60","51.5","415.47562843725","1","1"
"61","5215.04380495906","20","1","1"
"62","2701.76968208722","40","1","1"
"63","51.5","415.47562843725","1","1"
"64","5215.04380495906","20","1","1"
"65","2701.76968208722","40","1","1"
"66","51.5","415.47562843725","1","1"
"67","5215.04380495906","20","1","1"
"68","2701.76968208722","40","1","1"
"69","51.5","415.47562843725","1","1"
"70","5215.04380495906","20","1","1"
"71","2701.76968208722","40","1","1"
"72","51.5","415.47562843725","1","1"
"73","5215.04380495906","20","1","1"
"74","2701.76968208722","40","1","1"
"75","51.5","415.47562843725","1","1"
"76","5215.04380495906","20","1","1"
"77","2701.76968208722","40","1","1"
"78","51.5","415.47562843725","1","1"
"79","5215.04380495906","20","1","1"
"80","2701.76968208722","40","1","1"
"81","51.5","415.47562843725","1","1"
"82","5215.04380495906","20","1","1"
"83","2701.76968208722","40","1","1"
"84","51.5","415.47562843725","1","1"
"85","5215.04380495906","20","1","1"
"86","2701.76968208722","40","1","1"
"87","51.5","415.47562843725","1","1"
"88","5215.04380495906","20","1","1"
"89","2701.76968208722","40","1","1"
"90","51.5","415.47562843725","1","1"
"91","5215.04380495906","20","1","1"
"92","2701.76968208722","40","1","1"
"93","51.5","415.47562843725","1","1"
"94","5215.04380495906","20","1","1"
"95","2701.76968208722","40","1","1"
"96","51.5","415.47562843725","1","1"
"97","5215.04380495906","20","1","1"
"98","2701.76968208722","40","1","1"
"99","51.5","415.47562843725","1","1"
"100","5215.04380495906","20","1","1"
"101","2701.76968208722","40","1","1"
"102","51.5","415.47562843725","1","1"
"103","5215.04380495906","20","1","1"
"104","2701.76968208722","40","1","1"
"105","51.5","415.47562843725","1","1"
"106","5215.04380495906","20","1","1"
"107","2701.76968208722","40","1","1"
"108","51.5","415.47562843725","1","1"
"109","5215.04380495906","20","1","1"
"110","2701.76968208722","40","1","1"
"111","51.5","415.47562843725","1","1"
"112","5215.04380495906","20","1","1"
"113","2701.76968208722","40","1","1"
"114","51.5","415.47562843725","1","1"
"115","5215.04380495906","20","1","1"
"116","2701.76968208722","40","1","1"
"117","51.5","415.47562843725","1","1"
"118","5215.04380495906","20","1","1"
"119","2701.76968208722","40","1","1"
"120","51.5","415.47562843725","1","1"
"121","5215.04380495906","20","1","1"
"122","2701.76968208722","40","1","1"
"123","51.5","415.47562843725","1","1"
"124","5215.04380495906","20","1","1"
"125","2701.76968208722","40","1","1"
"126","51.5","415.47562843725","1","1"
"127","5215.04380495906","20","1","1"
"128","2701.76968208722","40","1","1"
"129","51.5","415.47562843725","1","1"
"130","5215.04380495906","20","1","1"
"131","2701.76968208722","40","1","1"
"132","51.5","415.47562843725","1","1"
"133","5215.04380495906","20","1","1"
"134","2701.76968208722","40","1","1"
"135","51.5","415.47562843725","1","1"
"136","5215.04380495906","20","1","1"
"137","2701.76968208722","40","1","1"
"138","51.5","415.47562843725","1","1"
"139","5215.04380495906","20","1","1"
"140","2701.76968208722","40","1","1"
"141","51.5","415.47562843725","1","1"
"142","5215.04380495906","20","1","1"
"143","2701.76968208722","40","1","1"
"144","51.5","415.47562843725","1","1"
"145","5215.04380495906","20","1","1"
"146","2701.76968208722","40","1","1"
"147","51.5","415.47562843725","1","1"
"148","5215.04380495906","20","1","1"
"149","2701.76968208722","40","1","1"
"150","51.5","415.47562843725","1","1"
"151","5215.04380495906","20","1","1"
"152","2701.76968208722","40","1","1"
"153","51.5","415.47562843725","1","1"
"154","5215.04380495906","20","1","1"
"155","2701.76968208722","40","1","1"
"156","51.5","415.47562843725","1","1"
"157","5215.04380495906","20","1","1"
"158","2701.76968208722","40","1","1"
"159","51.5","415.47562843725","1","1"
"160","5215.04380495906","20","1","1"
"161","2701.76968208722","40","1","1"
"162","51.5","415.47562843725","1","1"
"163","5215.04380495906","20","1","1"
"164","2701.76968208722","40","1","1"
"165","51.5","415.47562843725","1","1"
"166","5215.04380495906","20","1","1"
"167","2701.76968208722","40","1","1"
"168","51.5","415.47562843725","1","1"
"169","5215.04380495906","20","1","1"
"170","2701.76968208722","40","1","1"
"171","51.5","415.47562843725","1","1"
"172","5215.04380495906","20","1","1"
"173","2701.76968208722","40","1","1"
"174","51.5","415.47562843725","1","1"
"175","5215.04380495906","20","1","1"
"176","2701.76968208722","40","1","1"
"177","51.5","415.47562843725","1","1"
"178","5215.04380495906","20","1","1"
"179","2701.76968208722","40","1","1"
"180","51.5","415.47562843725","1","1"
"181","5215.04380495906","20","1","1"
"182","2701.76968208722","40","1","1"
"183","51.5","415.47562843725","1","1"
"184","5215.04380495906","20","1","1"
"185","2701.76968208722","40","1","1"
"186","51.5","415.47562843725","1","1"
"187","5215.04380495906","20","1","1"
"188","2701.76968208722","40","1","1"
"189","51.5","415.47562843725","1","1"
"190","5215.04380495906","20","1","1"
"191","2701.76968208722","40","1","1"
"192","51.5","415.47562843725","1","1"
"193","5215.04380495906","20","1","1"
"194","2701.76968208722","40","1","1"
"195","51.5","415.47562843725","1","1"
"196","5215.04380495906","20","1","1"
"197","2701.76968208722","40","1","1"
"198","51.5","415.47562843725","1","1"
"199","5215.04380495906","20","1","1"
"200","2701.76968208722","40","1","1"
"201","51.5","415.47562843725","1","1"
"202","5215.04380495906","20","1","1"
"203","2701.76968208722","40","1","1"
"204","51.5","415.47562843725","1","1"
"205","5215.04380495906","20","1","1"
"206","2701.76968208722","40","1","1"
"207","51.5","415.47562843725","1","1"
"208","5215.04380495906","20","1","1"
"209","2701.76968208722","40","1","1"
"210","51.5","415.47562843725","1","1"
"211","5215.04380495906","20","1","1"
"212","2701.76968208722","40","1","1"
"213","51.5","415.47562843725","1","1"
