Day,Sum,Depth,Density
1,1087.734519,I,H
1,740.159094,I,H
1,2111.886288,I,L
1,898.5999538,I,L
1,1569.502893,I,H
1,1074.632599,I,H
1,1104.328778,I,L
1,771.6461365,I,L
1,1216.240263,I,H
1,922.158792,I,H
1,1006.51205,I,L
1,812.992806,I,L
1,868.6939878,I,H
1,1798.137388,I,H
1,1284.023449,I,L
1,852.0261801,I,L
2,1233.759249,I,H
2,880.3551343,I,H
2,2464.061879,I,L
2,1002.595213,I,L
2,1682.699356,I,H
2,1147.115797,I,H
2,1255.967787,I,L
2,862.7167111,I,L
2,1373.243244,I,H
2,1051.944387,I,H
2,1049.127554,I,L
2,838.7964942,I,L
2,913.7265033,I,H
2,2086.135364,I,H
2,1395.620061,I,L
2,823.25621,I,L
3,1353.091131,I,H
3,1013.052423,I,H
3,2743.237678,I,L
3,976.1295293,I,L
3,1821.482367,I,H
3,1252.968316,I,H
3,1405.23023,I,L
3,945.1509493,I,L
3,1455.355248,I,H
3,1109.220498,I,H
3,990.3279448,I,L
3,803.1933306,I,L
3,981.7796083,I,H
3,2340.34341,I,H
3,1833.210294,I,L
3,1109.873654,I,L
4,968.1043599,I,H
4,691.8085247,I,H
4,1936.446717,I,L
4,733.2174912,I,L
4,1369.789708,I,H
4,916.5464748,I,H
4,960.9748193,I,L
4,623.1975951,I,L
4,1102.036258,I,H
4,815.7637703,I,H
4,766.6281528,I,L
4,667.7431065,I,L
4,820.1616944,I,H
4,1590.019587,I,H
4,1493.609448,I,L
4,1002.853915,I,L
5,230.2389163,I,H
5,159.7282476,I,H
5,505.3578642,I,L
5,362.7435644,I,L
5,295.8542549,I,H
5,185.827623,I,H
5,186.1718812,I,L
5,153.3828832,I,L
5,288.9020319,I,H
5,182.279026,I,H
5,279.5980864,I,L
5,372.8464013,I,L
5,277.2663341,I,H
5,290.4328664,I,H
5,224.9571623,I,L
5,172.6903247,I,L
6,1004.768348,I,H
6,746.6847063,I,H
6,2302.037508,I,L
6,1092.113105,I,L
6,1571.301923,I,H
6,1030.440302,I,H
6,940.0421554,I,L
6,608.1912326,I,L
6,1308.69329,I,H
6,923.1313116,I,H
6,1105.128095,I,L
6,872.7048213,I,L
6,952.5320782,I,H
6,1556.174286,I,H
6,1044.828033,I,L
6,685.7292915,I,L
7,966.9827088,I,H
7,717.1897203,I,H
7,2298.51893,I,L
7,1186.484731,I,L
7,1555.954683,I,H
7,1024.76252,I,H
7,853.9117496,I,L
7,558.291396,I,L
7,1330.473214,I,H
7,936.6330709,I,H
7,1123.769634,I,L
7,883.9922734,I,L
7,1022.832212,I,H
7,1543.57869,I,H
7,1281.747097,I,L
7,991.8982405,I,L
8,761.4336881,I,H
8,595.1085257,I,H
8,1758.370286,I,L
8,991.9325477,I,L
8,1092.379544,I,H
8,714.1868568,I,H
8,690.7720574,I,L
8,468.8069753,I,L
8,949.6896044,I,H
8,652.9346634,I,H
8,769.4947296,I,L
8,669.4788188,I,L
8,722.7509407,I,H
8,1155.213273,I,H
8,1120.282059,I,L
8,852.8805711,I,L
9,966.3029496,I,H
9,738.8266208,I,H
9,2014.71589,I,L
9,928.6327116,I,L
9,1616.880991,I,H
9,1066.116614,I,H
9,1269.01678,I,L
9,864.5018009,I,L
9,1180.6603,I,H
9,862.382419,I,H
9,1329.531036,I,L
9,296.1031495,I,L
9,1045.697263,I,H
9,1939.340186,I,H
9,1081.163216,I,L
9,626.1500174,I,L
10,1261.735974,I,H
10,948.6652095,I,H
10,2653.479878,I,L
10,773.2146511,I,L
10,1932.851737,I,H
10,1335.735303,I,H
10,1298.015436,I,L
10,744.6328843,I,L
10,1436.707043,I,H
10,1103.438521,I,H
10,1081.211757,I,L
10,1268.867584,I,L
10,1006.228538,I,H
10,2191.066382,I,H
10,1532.77101,I,L
10,834.9932767,I,L
11,1155.843428,I,H
11,884.3685624,I,H
11,2622.064279,I,L
11,776.5417195,I,L
11,1755.757667,I,H
11,1221.325288,I,H
11,1175.934322,I,L
11,703.9493868,I,L
11,1384.172204,I,H
11,1038.475332,I,H
11,1124.480572,I,L
11,1295.61294,I,L
11,1013.442278,I,H
11,1917.06902,I,H
11,1441.082468,I,L
11,804.089124,I,L
12,942.8790996,I,H
12,767.8241859,I,H
12,2563.629031,I,L
12,698.1138352,I,L
12,1437.75458,I,H
12,1012.045533,I,H
12,979.5711459,I,L
12,616.0035269,I,L
12,1186.699849,I,H
12,873.5987837,I,H
12,1085.281721,I,L
12,1159.589925,I,L
12,892.3937577,I,H
12,1520.388992,I,H
12,1169.721776,I,L
12,691.2726282,I,L
13,691.2898971,I,H
13,544.3036667,I,H
13,1407.223307,I,L
13,769.8054608,I,L
13,1105.864811,I,H
13,742.4079407,I,H
13,668.9391241,I,L
13,438.2370519,I,L
13,940.5899957,I,H
13,668.8757021,I,H
13,864.3720956,I,L
13,940.4434006,I,L
13,719.8902973,I,H
13,1112.724594,I,H
13,844.2596261,I,L
13,528.9931384,I,L
14,1010.300807,I,H
14,806.0955609,I,H
14,2144.314322,I,L
14,849.9299091,I,L
14,1612.613151,I,H
14,1094.676873,I,H
14,1034.692608,I,L
14,661.8543296,I,L
14,1241.933236,I,H
14,897.1519469,I,H
14,1078.803988,I,L
14,1262.575621,I,L
14,882.7496373,I,H
14,1729.039617,I,H
14,1234.715333,I,L
14,715.6109438,I,L
15,698.753047,I,H
15,560.7793905,I,H
15,1371.471249,I,L
15,690.3861496,I,L
15,1281.153401,I,H
15,902.741643,I,H
15,723.1901272,I,L
15,461.3236813,I,L
15,998.8435319,I,H
15,745.7034963,I,H
15,795.3149545,I,L
15,880.1726059,I,L
15,734.7299526,I,H
15,1121.083023,I,H
15,848.2829112,I,L
15,523.1556646,I,L
16,560.0337151,I,H
16,460.2371396,I,H
16,1027.563855,I,L
16,581.6261397,I,L
16,863.3053509,I,H
16,557.2158815,I,H
16,520.7816168,I,L
16,396.7964755,I,L
16,670.8826478,I,H
16,479.6315878,I,H
16,564.9494763,I,L
16,789.9362111,I,L
16,646.1689896,I,H
