Day,Sum,Depth
1,1087.734519,I
1,740.159094,I
1,2111.886288,I
1,898.5999538,I
1,1569.502893,I
1,1074.632599,I
1,1104.328778,I
1,771.6461365,I
1,1216.240263,I
1,922.158792,I
1,1006.51205,I
1,812.992806,I
1,868.6939878,I
1,1798.137388,I
1,1284.023449,I
1,852.0261801,I
2,1233.759249,I
2,880.3551343,I
2,2464.061879,I
2,1002.595213,I
2,1682.699356,I
2,1147.115797,I
2,1255.967787,I
2,862.7167111,I
2,1373.243244,I
2,1051.944387,I
2,1049.127554,I
2,838.7964942,I
2,913.7265033,I
2,2086.135364,I
2,1395.620061,I
2,823.25621,I
3,1353.091131,I
3,1013.052423,I
3,2743.237678,I
3,976.1295293,I
3,1821.482367,I
3,1252.968316,I
3,1405.23023,I
3,945.1509493,I
3,1455.355248,I
3,1109.220498,I
3,990.3279448,I
3,803.1933306,I
3,981.7796083,I
3,2340.34341,I
3,1833.210294,I
3,1109.873654,I
4,968.1043599,I
4,691.8085247,I
4,1936.446717,I
4,733.2174912,I
4,1369.789708,I
4,916.5464748,I
4,960.9748193,I
4,623.1975951,I
4,1102.036258,I
4,815.7637703,I
4,766.6281528,I
4,667.7431065,I
4,820.1616944,I
4,1590.019587,I
4,1493.609448,I
4,1002.853915,I
5,230.2389163,I
5,159.7282476,I
5,505.3578642,I
5,362.7435644,I
5,295.8542549,I
5,185.827623,I
5,186.1718812,I
5,153.3828832,I
5,288.9020319,I
5,182.279026,I
5,279.5980864,I
5,372.8464013,I
5,277.2663341,I
5,290.4328664,I
5,224.9571623,I
5,172.6903247,I
6,1004.768348,I
6,746.6847063,I
6,2302.037508,I
6,1092.113105,I
6,1571.301923,I
6,1030.440302,I
6,940.0421554,I
6,608.1912326,I
6,1308.69329,I
6,923.1313116,I
6,1105.128095,I
6,872.7048213,I
6,952.5320782,I
6,1556.174286,I
6,1044.828033,I
6,685.7292915,I
7,966.9827088,I
7,717.1897203,I
7,2298.51893,I
7,1186.484731,I
7,1555.954683,I
7,1024.76252,I
7,853.9117496,I
7,558.291396,I
7,1330.473214,I
7,936.6330709,I
7,1123.769634,I
7,883.9922734,I
7,1022.832212,I
7,1543.57869,I
7,1281.747097,I
7,991.8982405,I
8,761.4336881,I
8,595.1085257,I
8,1758.370286,I
8,991.9325477,I
8,1092.379544,I
8,714.1868568,I
8,690.7720574,I
8,468.8069753,I
8,949.6896044,I
8,652.9346634,I
8,769.4947296,I
8,669.4788188,I
8,722.7509407,I
8,1155.213273,I
8,1120.282059,I
8,852.8805711,I
9,966.3029496,I
9,738.8266208,I
9,2014.71589,I
9,928.6327116,I
9,1616.880991,I
9,1066.116614,I
9,1269.01678,I
9,864.5018009,I
9,1180.6603,I
9,862.382419,I
9,1329.531036,I
9,296.1031495,I
9,1045.697263,I
9,1939.340186,I
9,1081.163216,I
9,626.1500174,I
10,1261.735974,I
10,948.6652095,I
10,2653.479878,I
10,773.2146511,I
10,1932.851737,I
10,1335.735303,I
10,1298.015436,I
10,744.6328843,I
10,1436.707043,I
10,1103.438521,I
10,1081.211757,I
10,1268.867584,I
10,1006.228538,I
10,2191.066382,I
10,1532.77101,I
10,834.9932767,I
11,1155.843428,I
11,884.3685624,I
11,2622.064279,I
11,776.5417195,I
11,1755.757667,I
11,1221.325288,I
11,1175.934322,I
11,703.9493868,I
11,1384.172204,I
11,1038.475332,I
11,1124.480572,I
11,1295.61294,I
11,1013.442278,I
11,1917.06902,I
11,1441.082468,I
11,804.089124,I
12,942.8790996,I
12,767.8241859,I
12,2563.629031,I
12,698.1138352,I
12,1437.75458,I
12,1012.045533,I
12,979.5711459,I
12,616.0035269,I
12,1186.699849,I
12,873.5987837,I
12,1085.281721,I
12,1159.589925,I
12,892.3937577,I
12,1520.388992,I
12,1169.721776,I
12,691.2726282,I
13,691.2898971,I
13,544.3036667,I
