Day,Ratio,Density
1,1.606867883,L
1,0.441155744,L
1,0.443901206,L
1,0.374259128,L
1,0.376762426,L
1,0.227425202,L
1,1.770197788,L
1,0.366843181,L
1,1.623928538,L
1,0.425635921,L
1,0.446598132,L
1,0.372649422,L
1,0.335725229,L
1,0.203338882,L
1,1.805610535,L
1,0.332637007,L
2,1.725738265,L
2,0.3952302,L
2,0.474154279,L
2,0.465607335,L
2,0.299707319,L
2,0.184948911,L
2,1.906098967,L
2,0.360400491,L
2,1.632795276,L
2,0.405799591,L
2,0.437585128,L
2,0.779673596,L
2,0.327228846,L
2,0.210254866,L
2,1.968710945,L
2,0.412820495,L
3,1.229041066,L
3,0.628120758,L
3,0.314435037,L
3,0.417279141,L
3,0.505994135,L
3,0.371632261,L
3,1.610732584,L
3,0.386162678,L
3,1.703135094,L
3,0.523723138,L
3,0.386842845,L
3,0.499712493,L
3,0.395690891,L
3,0.23446328,L
3,1.58724407,L
3,0.325334613,L
4,1.707713603,L
4,0.570038367,L
4,0.371725172,L
4,0.331280758,L
4,0.449359363,L
4,0.262493851,L
4,1.803134443,L
4,0.435784279,L
4,1.686707595,L
4,0.621100438,L
4,0.360828132,L
4,0.484335252,L
4,0.420885271,L
4,0.262390224,L
4,1.879116958,L
4,0.446779589,L
5,1.314211221,L
5,0.391762737,L
5,0.416642012,L
5,0.355554511,L
5,0.400417947,L
5,0.190135801,L
5,1.617798264,L
5,0.29261068,L
5,1.530975216,L
5,0.300004555,L
5,0.424718899,L
5,0.304190305,L
5,0.316287538,L
5,0.313989356,L
5,1.932818872,L
5,0.297560491,L
6,1.627041381,L
6,0.327364033,L
6,0.409112538,L
6,0.29453969,L
6,0.344887355,L
6,0.341366279,L
6,2.136223823,L
6,0.310716276,L
6,1.760845447,L
6,0.332660236,L
6,0.390599513,L
6,0.313447385,L
6,0.410116278,L
6,0.372084903,L
6,2.529313064,L
6,0.325409258,L
7,1.080705184,L
7,0.459416962,L
7,0.347401874,L
7,0.27499289,L
7,0.385009417,L
7,0.390234647,L
7,1.70842719,L
7,0.330612632,L
7,1.417442463,L
7,0.383366035,L
7,0.385234224,L
7,0.334957635,L
7,0.381250405,L
7,0.370328907,L
7,2.355705592,L
7,0.302246113,L
8,1.163690104,L
8,0.421358583,L
8,0.355601943,L
8,0.283988472,L
8,0.37219383,L
8,0.382015488,L
8,2.142807788,L
8,0.315715045,L
