Date,DOY,Time,VPD,PAR,Probe_1,Probe_2,Probe_3,Probe_4,Probe_5,Probe_6,Probe_7,Probe_8,Probe_9,Probe_10,Probe_11,Probe_12,Probe_13,Probe_14,Probe_15,Probe_16,Probe_17,Probe_18,Probe_19,Probe_20,Probe_21,Probe_22,Probe_23,Probe_24,Probe_25,Probe_26,Probe_27,Probe_28,Probe_29,Probe_30,Probe_31,Probe_32
5/1/2017,121,0,0.29039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,.,0,0,0,0,0,0,0,0,0,0,0,0
5/1/2017,121,15,0.34631,0,0.001564,0,0.00028751,9.77E-05,0.0061904,0.010559,0.0026735,0,0.012407,0.0049435,0.0050956,0.0036274,0.00018717,0.0060179,0.0069019,0.00058071,0.012916,.,0.018151,.,0.0022988,0.004523,0.043626,0.0018087,0.040944,0.0091709,0.013974,0.018557,0.005714,0.0052373,0.0093337,0.013401
5/1/2017,121,30,0.35497,0,0.0066472,0,0.00057502,6.12E-05,0.019102,0.027392,0.0099282,0.0016329,0.02885,0.0096257,0.016154,0.01147,0.0061348,0.018938,0.021143,0.003416,0.037476,.,0.041399,.,0.0087788,0.019466,0.099931,0.012182,0.06746,0.035753,0.037964,0.042948,0.01859,0.018849,0.020052,0.019904
5/1/2017,121,45,0.3122,0,0.0069817,0,0.0012511,2.47E-05,0.023819,0.037386,0.014545,0.0032891,0.041252,0.0105,0.019674,0.013236,0.009038,0.026372,0.030136,0.0076873,0.038303,.,0.036729,.,0.010321,0.026633,0.068193,0.015396,0.03892,0.040074,0.038841,0.031686,0.021848,0.020538,0.01663,0.011099
5/1/2017,121,100,0.26205,0,0.0073162,0,0.0012795,0,0.015128,0.025777,0.013503,0.0017643,0.039827,0.006639,0.017417,0.013421,0.016277,0.02688,0.024874,0.0037349,0.030246,.,0.020526,.,0.0031147,0.016063,0.038463,0.010638,0.03562,0.023537,0.022665,0.018849,0.013639,0.0099946,0.012932,0.0068381
5/1/2017,121,115,0.30679,0,0.0059917,0,0.0014375,0,0.0083905,0.020405,0.0082881,0,0.033573,0.0069002,0.010407,0.0090523,0.013328,0.018678,0.018862,0.0017806,0.020589,.,0.019611,.,0,0.01084,0.038064,0.009783,0.039908,0.016917,0.021443,0.019373,0.011648,0.0045336,0.014637,0.011229
5/1/2017,121,130,0.37458,0,0.0075698,0,0.0017251,0,0.012182,0.020885,0.011006,0,0.034236,0.0073135,0.014269,0.01379,0.0084495,0.018591,0.020473,0.0020806,0.037563,.,0.030926,.,0.0030019,0.013549,0.060084,0.011458,0.053808,0.022678,0.026072,0.028584,0.012257,0.0081779,0.04323,0.016674
5/1/2017,121,145,0.3851,0,0.0083197,0,0.0020126,0,0.017492,0.027409,0.012479,0.0018778,0.041827,0.010015,0.024747,0.014503,0.014897,0.025812,0.026812,0.0023805,0.041256,.,0.040714,.,0.0071063,0.023962,0.084527,0.016884,0.066589,0.029464,0.033818,0.037378,0.018468,0.01038,0.044713,0.017861
5/1/2017,121,200,0.35197,0,0.0086543,0.00072057,0.0023001,0,0.021677,0.03122,0.01522,0.0048791,0.05307,0.0099708,0.029701,0.018222,0.015881,0.027315,0.033389,0.0049375,0.05594,.,0.045106,.,0.013056,0.034944,0.08857,0.021677,0.065407,0.037806,0.044036,0.041516,0.022286,0.017035,0.044925,0.018231
5/1/2017,121,215,0.39193,0,0.010864,0,0.002847,0,0.02085,0.031704,0.018399,0.0050294,0.055886,0.010691,0.029757,0.020183,0.021231,0.027026,0.032716,0.0077903,0.051632,.,0.040227,.,0.012196,0.034531,0.076821,0.019601,0.065696,0.037683,0.03808,0.038808,0.022714,0.016857,0.045455,0.017783
5/1/2017,121,230,0.41645,0,0.013502,0.0019136,0.0044342,0,0.022701,0.032188,0.024165,0.007204,0.059793,0.014021,0.029813,0.021793,0.023829,0.029331,0.035523,0.010086,0.055046,.,0.039807,.,0.0081343,0.030008,0.07553,0.021826,0.073173,0.039363,0.040908,0.043714,0.023141,0.015565,0.045668,0.021229
5/1/2017,121,245,0.42715,0,0.015941,0.0049745,0.0066783,0,0.025062,0.035654,0.025677,0.008879,0.071763,0.017681,0.034815,0.025021,0.024832,0.035072,0.038677,0.014114,0.058479,.,0.047057,.,0.011081,0.035682,0.089966,0.027364,0.083772,0.040882,0.044931,0.046155,0.023569,0.018362,0.050679,0.024488
5/1/2017,121,300,0.43893,0,0.019449,0.0063284,0.0085378,0.0010395,0.028276,0.042535,0.023753,0.012435,0.074662,0.017633,0.040669,0.027364,0.027046,0.038223,0.04522,0.018173,0.063424,.,0.05459,.,0.017694,0.042144,0.10633,0.028924,0.092363,0.042899,0.055175,0.055198,0.024186,0.01893,0.062266,0.025688
5/1/2017,121,315,0.44213,0,0.021274,0.0063922,0.0097457,0.0028893,0.030825,0.043024,0.01907,0.017394,0.084305,0.017894,0.045777,0.033532,0.034973,0.040778,0.047746,0.018477,0.0787,.,0.059648,.,0.02543,0.055177,0.1141,0.034716,0.092428,0.05092,0.055079,0.056114,0.02861,0.018751,0.062481,0.026061
5/1/2017,121,330,0.45209,0,0.025888,0.006456,0.010166,0.0040691,0.031509,0.043512,0.022914,0.016342,0.088397,0.018466,0.049705,0.034629,0.035181,0.043343,0.048407,0.018781,0.079185,.,0.058842,.,0.024964,0.058672,0.10513,0.037897,0.090956,0.051791,0.055988,0.057226,0.029804,0.020068,0.062697,0.025604
5/1/2017,121,345,0.47654,0,0.027087,0.0065198,0.010982,0.0062022,0.032192,0.044,0.0038203,0.017703,0.093659,0.018572,0.050376,0.035728,0.03539,0.043656,0.048898,0.019085,0.07967,.,0.056756,.,0.022233,0.050412,0.1042,0.037174,0.096529,0.051823,0.054887,0.057947,0.030234,0.019515,0.061927,0.029093
5/1/2017,121,400,0.44765,0,0.027857,0.0065836,0.01114,0.0061655,0.032706,0.044489,0.0083813,0.014759,0.093591,0.019299,0.050433,0.036095,0.035188,0.042532,0.049219,0.019389,0.080155,.,0.059437,.,0.021974,0.050167,0.10481,0.037162,0.097257,0.050516,0.056198,0.058863,0.030472,0.018402,0.063128,0.031555
5/1/2017,121,415,0.4602,0,0.028844,0.0066474,0.011429,0.0053141,0.032368,0.044977,0.0077665,0.014227,0.096586,0.019715,0.05049,0.036463,0.034167,0.040186,0.04971,0.019694,0.08064,.,0.059367,.,0.02336,0.051032,0.11299,0.03715,0.097984,0.047053,0.057917,0.059779,0.029181,0.018596,0.063344,0.032139
5/1/2017,121,430,0.48725,0,0.032648,0.0095191,0.011718,0.0055488,0.032031,0.045466,0.013412,0.019377,0.10153,0.020132,0.053629,0.038298,0.038073,0.040906,0.052249,0.019998,0.081125,.,0.059849,.,0.028066,0.058984,0.11563,0.037849,0.098267,0.050248,0.059641,0.060696,0.029419,0.019539,0.065536,0.032094
5/1/2017,121,445,0.46469,0,0.033424,0.0082851,0.012008,0.0060553,0.031694,0.045954,0.019121,0.015563,0.098749,0.020548,0.050604,0.037197,0.034582,0.040401,0.051886,0.020302,0.08161,.,0.060514,.,0.028013,0.060612,0.11625,0.038193,0.099438,0.049781,0.061371,0.061612,0.031378,0.021047,0.070394,0.033516
5/1/2017,121,500,0.45505,0,0.034201,0.010948,0.012297,0.0061545,0.031358,0.046443,0.027046,0.017267,0.099832,0.020965,0.053949,0.039586,0.040148,0.04337,0.054604,0.020606,0.081709,.,0.060076,.,0.025884,0.060172,0.118,0.037469,0.10017,0.049149,0.063311,0.062528,0.032191,0.021243,0.080359,0.03389
5/1/2017,121,515,0.44188,0,0.034543,0.010361,0.012587,0.0061177,0.031531,0.046931,0.022547,0.016215,0.10362,0.021381,0.054418,0.04106,0.034179,0.041227,0.055268,0.020911,0.082579,.,0.06019,.,0.024383,0.052458,0.111,0.037102,0.10089,0.047028,0.055718,0.063445,0.028416,0.017322,0.072163,0.033215
5/1/2017,121,530,0.44085,0,0.034666,0.0082608,0.012876,0.006081,0.029002,0.047419,0.023197,0.013451,0.10161,0.021798,0.052006,0.039034,0.033568,0.04113,0.052848,0.021215,0.080752,.,0.057001,.,0.022062,0.052027,0.10828,0.036202,0.093011,0.043437,0.054416,0.061025,0.028274,0.017143,0.081476,0.030244
5/1/2017,121,545,0.44384,0,0.035008,0.010489,0.013297,0.0060443,0.029175,0.047908,0.026641,0.015319,0.10231,0.023149,0.052063,0.039585,0.035005,0.041442,0.052656,0.021519,0.079699,.,0.05748,.,0.024069,0.052338,0.1089,0.036545,0.09111,0.041999,0.05412,0.060375,0.028701,0.016964,0.081356,0.029575
5/1/2017,121,600,0.43975,0,0.035567,0.012292,0.013983,0.0060075,0.032556,0.048396,0.019801,0.015817,0.10262,0.027165,0.051094,0.042535,0.034803,0.041753,0.055029,0.022114,0.072937,.,0.056313,.,0.02505,0.052648,0.10951,0.032995,0.092484,0.042201,0.054024,0.060701,0.029129,0.016786,0.079879,0.029532
5/1/2017,121,615,0.3607,0,0.035909,0.012138,0.013876,0.0059708,0.030868,0.048314,0.023651,0.013397,0.10332,0.027269,0.050946,0.041979,0.034601,0.042064,0.054151,0.022128,0.070018,.,0.054421,.,0.02293,0.052587,0.10703,0.030345,0.093205,0.039303,0.052926,0.058691,0.028036,0.015119,0.081454,0.029696
5/1/2017,121,630,0.10269,0,0.032555,0.0098143,0.014033,0.0059341,0.023341,0.04012,0.021309,0.010648,0.11813,0.023152,0.046717,0.038668,0.033989,0.034269,0.050211,0.020398,0.063016,.,0.042126,.,0.01836,0.042994,0.087273,0.027534,0.070376,0.031121,0.042131,0.051496,0.022608,0.0071999,0.074923,0.024893
5/1/2017,121,645,0.039607,0,0.026222,0.0083642,0.014323,0.0056256,0.012671,0.029855,0.013489,0.0062229,0.10782,0.016146,0.035514,0.029224,0.032151,0.024421,0.038449,0.011789,0.04523,.,0.025106,.,0.011603,0.032688,0.060487,0.020247,0.041329,0.013722,0.027534,0.036545,0.015019,0,0.064512,0.015672
5/1/2017,121,700,0.018558,22.69,0.022087,0.0073494,0.011452,0.0024752,0.0051071,0.021601,0.0095235,0.0053619,0.099634,0.012277,0.029243,0.022081,0.029911,0.020015,0.029071,0.0086799,0.030829,.,0.014833,.,0.0085298,0.025214,0.039076,0.016636,0.023132,0.0045962,0.015382,0.025479,0.010836,0,.,0.0072176
5/1/2017,121,715,0,22.69,0.018408,0.0074132,0.0088597,0.0023037,0.00066828,0.014019,0,0,0.083702,0.009499,0.019567,0.015742,0.020042,0.012751,0.022754,0.0089799,0.022635,.,0.0077466,.,0.0058726,0.018025,0.024911,0.010851,0.010589,0,0.011949,0.017698,0.0063278,0,.,0.0055969
